CAN Message; 0x150:0300af9a576728e3
Timestamp;Amplitude
1739209861.5550053;-38.13080360867914
1739209861.5550125;-45.120503652039325
1739209861.5550196;-38.13080360867914
1739209861.5550268;-45.120503652039325
1739209861.555034;-45.120503652039325
1739209861.555041;-35.57807855764607
1739209861.5550482;-35.57807855764607
1739209861.5550554;-45.120503652039325
1739209861.5550625;-38.13080360867914
1739209861.5550697;-38.13080360867914
1739209861.5550768;-45.120503652039325
1739209861.555084;-45.120503652039325
1739209861.5550911;-45.120503652039325
1739209861.5550985;-45.120503652039325
1739209861.5551057;-45.120503652039325
1739209861.5551128;-35.57807855764607
1739209861.55512;-45.120503652039325
1739209861.5551271;-38.13080360867914
1739209861.5551343;-35.57807855764607
1739209861.5551414;-45.120503652039325
1739209861.5551486;-45.120503652039325
1739209861.5551558;-45.120503652039325
1739209861.555163;-38.13080360867914
1739209861.55517;-45.120503652039325
1739209861.5551772;-45.120503652039325
1739209861.5551844;-45.120503652039325
1739209861.5551915;-45.120503652039325
1739209861.5551987;-38.13080360867914
1739209861.5552058;-35.57807855764607
1739209861.555213;-38.13080360867914
1739209861.5552201;-38.13080360867914
1739209861.5552273;-38.13080360867914
1739209861.5552344;-38.13080360867914
1739209861.5552416;-38.13080360867914
1739209861.5552487;-32.816014438256545
1739209861.555256;-33.981070128970906
1739209861.555263;-38.13080360867914
1739209861.5552702;-45.120503652039325
1739209861.5552773;-38.13080360867914
1739209861.5552847;-38.13080360867914
1739209861.555292;-45.120503652039325
1739209861.555299;-38.13080360867914
1739209861.5553062;-33.981070128970906
1739209861.5553133;-38.13080360867914
1739209861.5553205;-45.120503652039325
1739209861.5553277;-38.13080360867914
1739209861.5553348;-38.13080360867914
1739209861.555342;-38.13080360867914
1739209861.555349;-45.120503652039325
1739209861.5553563;-38.13080360867914
1739209861.5553634;-45.120503652039325
1739209861.5553706;-45.120503652039325
1739209861.5553777;-38.13080360867914
1739209861.5553849;-33.981070128970906
1739209861.555392;-32.816014438256545
1739209861.5553992;-31.141103565318915
1739209861.5554063;-38.13080360867914
1739209861.5554135;-45.120503652039325
1739209861.5554206;-45.120503652039325
1739209861.5554278;-45.120503652039325
1739209861.555435;-45.120503652039325
1739209861.555442;-45.120503652039325
1739209861.5554492;-33.981070128970906
1739209861.5554564;-31.141103565318915
1739209861.5554636;-38.13080360867914
1739209861.555471;-38.13080360867914
1739209861.555478;-45.120503652039325
1739209861.5554852;-38.13080360867914
1739209861.5554924;-35.57807855764607
1739209861.5554996;-35.57807855764607
1739209861.5555067;-45.120503652039325
1739209861.5555139;-38.13080360867914
1739209861.555521;-35.57807855764607
1739209861.5555282;-38.13080360867914
1739209861.5555353;-38.13080360867914
1739209861.5555425;-45.120503652039325
1739209861.5555496;-38.13080360867914
1739209861.5555568;-35.57807855764607
1739209861.555564;-35.57807855764607
1739209861.555571;-33.981070128970906
1739209861.5555782;-45.120503652039325
1739209861.5555854;-38.13080360867914
1739209861.5555925;-38.13080360867914
1739209861.5555997;-38.13080360867914
1739209861.5556068;-45.120503652039325
1739209861.555614;-38.13080360867914
1739209861.5556211;-38.13080360867914
1739209861.5556283;-31.14110356531892
1739209861.5556355;-38.13080360867914
1739209861.5556426;-35.57807855764607
1739209861.5556498;-38.13080360867914
1739209861.5556571;-38.13080360867914
1739209861.5556643;-35.57807855764607
1739209861.5556715;-38.13080360867914
1739209861.5556786;-38.13080360867914
1739209861.5556858;-31.141103565318915
1739209861.555693;-33.981070128970906
1739209861.5557;-45.120503652039325
1739209861.5557072;-45.120503652039325
1739209861.5557144;-45.120503652039325
1739209861.5557215;-45.120503652039325
1739209861.5557287;-45.120503652039325
1739209861.5557358;-38.13080360867914
1739209861.555743;-38.13080360867914
1739209861.5557501;-45.120503652039325
1739209861.5557573;-38.13080360867914
1739209861.5557644;-38.13080360867914
1739209861.5557716;-38.13080360867914
1739209861.5557787;-45.120503652039325
1739209861.555786;-35.57807855764607
1739209861.555793;-45.120503652039325
1739209861.5558002;-45.120503652039325
1739209861.5558074;-45.120503652039325
1739209861.5558145;-38.13080360867914
1739209861.5558217;-45.120503652039325
1739209861.5558288;-38.13080360867914
1739209861.555836;-35.57807855764607
1739209861.555843;-38.13080360867914
1739209861.5558505;-45.120503652039325
1739209861.5558577;-31.141103565318915
1739209861.5558648;-35.57807855764607
1739209861.555872;-38.13080360867914
1739209861.555879;-38.13080360867914
1739209861.5558863;-33.981070128970906
1739209861.5558934;-38.13080360867914
1739209861.5559006;-38.13080360867914
1739209861.5559077;-45.120503652039325
1739209861.5559149;-38.13080360867914
1739209861.555922;-32.816014438256545
1739209861.5559292;-33.981070128970906
1739209861.5559363;-45.120503652039325
1739209861.5559435;-35.57807855764607
1739209861.5559506;-32.816014438256545
1739209861.5559578;-45.120503652039325
1739209861.555965;-45.120503652039325
1739209861.555972;-38.13080360867914
1739209861.5559793;-38.13080360867914
1739209861.5559864;-38.13080360867914
1739209861.5559936;-38.13080360867914
1739209861.5560007;-45.120503652039325
1739209861.5560079;-45.120503652039325
1739209861.556015;-45.120503652039325
1739209861.5560222;-45.120503652039325
1739209861.5560293;-45.120503652039325
1739209861.5560367;-45.120503652039325
1739209861.5560439;-45.120503652039325
1739209861.556051;-38.13080360867914
1739209861.5560582;-33.981070128970906
1739209861.5560653;-45.120503652039325
1739209861.5560725;-38.13080360867914
1739209861.5560796;-33.981070128970906
1739209861.5560868;-45.120503652039325
1739209861.556094;-45.120503652039325
1739209861.556101;-45.120503652039325
1739209861.5561082;-38.13080360867914
1739209861.5561154;-45.120503652039325
1739209861.5561225;-38.13080360867914
1739209861.5561297;-38.13080360867914
1739209861.5561368;-45.120503652039325
1739209861.556144;-33.981070128970906
1739209861.5561512;-45.120503652039325
1739209861.5561583;-45.120503652039325
1739209861.5561655;-45.120503652039325
1739209861.5561726;-38.13080360867914
1739209861.5561798;-38.13080360867914
1739209861.556187;-45.120503652039325
1739209861.556194;-45.120503652039325
1739209861.5562012;-35.57807855764607
1739209861.5562084;-32.816014438256545
1739209861.5562155;-38.13080360867914
1739209861.556223;-45.120503652039325
1739209861.55623;-35.57807855764607
1739209861.5562372;-35.57807855764607
1739209861.5562444;-45.120503652039325
1739209861.5562515;-45.120503652039325
1739209861.5562587;-45.120503652039325
1739209861.5562658;-38.13080360867914
1739209861.556273;-38.13080360867914
1739209861.5562801;-45.120503652039325
1739209861.5562873;-45.120503652039325
1739209861.5562944;-45.120503652039325
1739209861.5563016;-45.120503652039325
1739209861.5563087;-38.13080360867914
1739209861.556316;-38.13080360867914
1739209861.556323;-38.13080360867914
1739209861.5563302;-38.13080360867914
1739209861.5563374;-45.120503652039325
1739209861.5563445;-38.13080360867914
1739209861.5563517;-38.13080360867914
1739209861.5563588;-45.120503652039325
1739209861.556366;-45.120503652039325
1739209861.5563731;-35.57807855764607
1739209861.5563803;-26.991370085610722
1739209861.5563874;-38.13080360867914
1739209861.5563946;-38.13080360867914
