CAN Message; 0x1d3:0000ba14c497386b
Timestamp;Amplitude
1739209798.8629894;-38.13080360867914
1739209798.8629913;-45.120503652039325
1739209798.862993;-38.13080360867914
1739209798.862995;-33.981070128970906
1739209798.8629966;-38.13080360867914
1739209798.8629982;-45.120503652039325
1739209798.8630002;-45.120503652039325
1739209798.8630018;-32.816014438256545
1739209798.8630035;-32.816014438256545
1739209798.8630054;-45.120503652039325
1739209798.863007;-38.13080360867914
1739209798.863009;-31.141103565318893
1739209798.8630106;-27.267205301931607
1739209798.8630123;-45.120503652039325
1739209798.8630142;-45.120503652039325
1739209798.863016;-45.120503652039325
1739209798.8630178;-38.13080360867914
1739209798.8630195;-45.120503652039325
1739209798.8630211;-45.120503652039325
1739209798.863023;-35.57807855764607
1739209798.8630247;-35.57807855764607
1739209798.8630264;-45.120503652039325
1739209798.8630283;-35.57807855764607
1739209798.86303;-38.13080360867914
1739209798.8630319;-45.120503652039325
1739209798.8630335;-45.120503652039325
1739209798.8630352;-38.13080360867914
1739209798.863037;-45.120503652039325
1739209798.8630388;-38.13080360867914
1739209798.8630404;-38.13080360867914
1739209798.8630424;-45.120503652039325
1739209798.863044;-45.120503652039325
1739209798.863046;-45.120503652039325
1739209798.8630476;-35.57807855764607
1739209798.8630493;-38.13080360867914
1739209798.8630512;-45.120503652039325
1739209798.8630528;-31.141103565318915
1739209798.8630548;-35.57807855764607
1739209798.8630564;-38.13080360867914
1739209798.863058;-45.120503652039325
1739209798.86306;-38.13080360867914
1739209798.8630617;-30.49652367304973
1739209798.8630633;-38.13080360867914
1739209798.8630652;-38.13080360867914
1739209798.863067;-28.218542851754165
1739209798.8630688;-33.981070128970906
1739209798.8630705;-33.981070128970906
1739209798.8630722;-45.120503652039325
1739209798.863074;-45.120503652039325
1739209798.8630757;-38.13080360867914
1739209798.8630776;-38.13080360867914
1739209798.8630793;-38.13080360867914
1739209798.863081;-45.120503652039325
1739209798.863083;-38.13080360867914
1739209798.8630846;-38.13080360867914
1739209798.8630862;-45.120503652039325
1739209798.8630881;-45.120503652039325
1739209798.8630898;-33.981070128970906
1739209798.8630917;-33.981070128970906
1739209798.8630934;-38.13080360867914
1739209798.863095;-35.57807855764607
1739209798.863097;-38.13080360867914
1739209798.8630986;-38.13080360867914
1739209798.8631005;-45.120503652039325
1739209798.8631022;-45.120503652039325
1739209798.8631039;-32.816014438256545
1739209798.8631058;-38.13080360867914
1739209798.8631074;-45.120503652039325
1739209798.863109;-38.13080360867914
1739209798.863111;-45.120503652039325
1739209798.8631127;-38.13080360867914
1739209798.8631146;-45.120503652039325
1739209798.8631163;-38.13080360867914
1739209798.863118;-45.120503652039325
1739209798.8631198;-45.120503652039325
1739209798.8631215;-45.120503652039325
1739209798.8631232;-45.120503652039325
1739209798.863125;-45.120503652039325
1739209798.8631268;-45.120503652039325
1739209798.8631287;-38.13080360867914
1739209798.8631303;-45.120503652039325
1739209798.863132;-38.13080360867914
1739209798.863134;-38.13080360867914
1739209798.8631356;-38.13080360867914
1739209798.8631375;-38.13080360867914
1739209798.8631392;-38.13080360867914
