CAN Message; 0x1d3:0000a1dffb91b434
Timestamp;Amplitude
1739209672.45872;-45.120503652039325
1739209672.4587276;-26.991370085610736
1739209672.4587352;-32.816014438256545
1739209672.4587429;-38.13080360867914
1739209672.4587505;-35.57807855764607
1739209672.4587579;-31.141103565318893
1739209672.4587655;-35.57807855764607
1739209672.4587731;-45.120503652039325
1739209672.4587808;-35.57807855764607
1739209672.4587884;-45.120503652039325
1739209672.458796;-45.120503652039325
1739209672.4588037;-45.120503652039325
1739209672.4588113;-45.120503652039325
1739209672.458819;-45.120503652039325
1739209672.4588265;-38.13080360867914
1739209672.4588342;-35.57807855764607
1739209672.4588418;-45.120503652039325
1739209672.4588492;-31.141103565318893
1739209672.4588568;-35.57807855764607
1739209672.4588645;-38.13080360867914
1739209672.458872;-38.13080360867914
1739209672.4588797;-45.120503652039325
1739209672.4588873;-38.13080360867914
1739209672.458895;-38.13080360867914
1739209672.4589026;-45.120503652039325
1739209672.4589102;-35.57807855764607
1739209672.4589179;-35.57807855764607
1739209672.4589255;-45.120503652039325
1739209672.458933;-38.13080360867914
1739209672.4589405;-38.13080360867914
1739209672.4589481;-38.13080360867914
1739209672.4589558;-45.120503652039325
1739209672.4589634;-38.13080360867914
1739209672.458971;-45.120503652039325
1739209672.4589787;-45.120503652039325
1739209672.4589863;-32.816014438256545
1739209672.458994;-35.57807855764607
1739209672.4590015;-45.120503652039325
1739209672.4590092;-33.981070128970906
1739209672.4590168;-35.57807855764607
1739209672.4590242;-38.13080360867914
1739209672.4590318;-35.57807855764607
1739209672.4590394;-35.57807855764607
1739209672.459047;-38.13080360867914
1739209672.4590547;-38.13080360867914
1739209672.4590623;-38.13080360867914
1739209672.45907;-45.120503652039325
1739209672.4590776;-45.120503652039325
1739209672.4590852;-35.57807855764607
1739209672.4590929;-45.120503652039325
1739209672.4591005;-45.120503652039325
1739209672.459108;-45.120503652039325
1739209672.4591155;-38.13080360867914
1739209672.4591231;-45.120503652039325
1739209672.4591308;-45.120503652039325
1739209672.4591384;-38.13080360867914
1739209672.459146;-38.13080360867914
1739209672.4591537;-38.13080360867914
1739209672.4591613;-38.13080360867914
1739209672.459169;-45.120503652039325
1739209672.4591765;-38.13080360867914
1739209672.4591842;-38.13080360867914
