CAN Message; 0x1bb:0000af266bd0e2d9
Timestamp;Amplitude
1739209731.4338994;-45.120503652039325
1739209731.4339073;-45.120503652039325
1739209731.433915;-45.120503652039325
1739209731.4339228;-45.120503652039325
1739209731.4339306;-45.120503652039325
1739209731.4339385;-45.120503652039325
1739209731.4339464;-38.13080360867914
1739209731.4339542;-38.13080360867914
1739209731.4339619;-45.120503652039325
1739209731.4339697;-38.13080360867914
1739209731.4339776;-38.13080360867914
1739209731.4339855;-45.120503652039325
1739209731.4339933;-45.120503652039325
1739209731.434001;-33.981070128970906
1739209731.4340088;-45.120503652039325
1739209731.4340167;-38.13080360867914
1739209731.4340246;-38.13080360867914
1739209731.4340324;-45.120503652039325
1739209731.43404;-38.13080360867914
1739209731.434048;-38.13080360867914
1739209731.4340558;-45.120503652039325
1739209731.4340637;-45.120503652039325
1739209731.4340715;-45.120503652039325
1739209731.4340794;-45.120503652039325
1739209731.434087;-45.120503652039325
1739209731.434095;-33.981070128970906
1739209731.4341028;-35.57807855764607
1739209731.4341106;-38.13080360867914
1739209731.4341185;-45.120503652039325
1739209731.4341261;-35.57807855764607
1739209731.434134;-32.816014438256545
1739209731.4341419;-45.120503652039325
1739209731.4341497;-38.13080360867914
1739209731.4341576;-45.120503652039325
1739209731.4341652;-38.13080360867914
1739209731.434173;-45.120503652039325
1739209731.434181;-45.120503652039325
1739209731.4341888;-38.13080360867914
1739209731.4341967;-45.120503652039325
1739209731.4342046;-38.13080360867914
1739209731.4342122;-45.120503652039325
1739209731.43422;-38.13080360867914
1739209731.434228;-45.120503652039325
1739209731.4342358;-45.120503652039325
1739209731.4342437;-45.120503652039325
1739209731.4342513;-35.57807855764607
1739209731.4342592;-28.21854285175415
1739209731.434267;-45.120503652039325
1739209731.434275;-45.120503652039325
1739209731.4342828;-45.120503652039325
1739209731.4342904;-33.981070128970906
1739209731.4342983;-38.13080360867914
1739209731.4343061;-45.120503652039325
1739209731.434314;-38.13080360867914
1739209731.4343219;-45.120503652039325
1739209731.4343297;-38.13080360867914
1739209731.4343374;-38.13080360867914
1739209731.4343452;-45.120503652039325
