CAN Message; 0x1a7:00008afc9129fe2f
Timestamp;Amplitude
1739209734.0312452;-45.120503652039325
1739209734.0312507;-35.57807855764607
1739209734.031256;-32.816014438256545
1739209734.0312614;-45.120503652039325
1739209734.0312667;-45.120503652039325
1739209734.0312722;-35.57807855764607
1739209734.0312774;-35.57807855764607
1739209734.031283;-45.120503652039325
1739209734.0312881;-33.981070128970906
1739209734.0312936;-35.57807855764607
1739209734.0312989;-38.13080360867914
1739209734.0313041;-35.57807855764607
1739209734.0313096;-38.13080360867914
1739209734.0313148;-38.13080360867914
1739209734.0313203;-45.120503652039325
1739209734.0313256;-45.120503652039325
1739209734.031331;-45.120503652039325
1739209734.0313363;-45.120503652039325
1739209734.0313418;-45.120503652039325
1739209734.031347;-45.120503652039325
1739209734.0313523;-45.120503652039325
1739209734.0313578;-38.13080360867914
1739209734.031363;-38.13080360867914
1739209734.0313685;-45.120503652039325
1739209734.0313737;-38.13080360867914
1739209734.0313792;-38.13080360867914
1739209734.0313845;-38.13080360867914
1739209734.03139;-38.13080360867914
1739209734.0313952;-35.57807855764607
1739209734.0314007;-45.120503652039325
1739209734.031406;-45.120503652039325
1739209734.0314112;-45.120503652039325
1739209734.0314167;-38.13080360867914
1739209734.031422;-38.13080360867914
1739209734.0314274;-45.120503652039325
1739209734.0314326;-38.13080360867914
1739209734.031438;-45.120503652039325
1739209734.0314434;-45.120503652039325
1739209734.0314488;-45.120503652039325
1739209734.031454;-35.57807855764607
1739209734.0314596;-35.57807855764607
1739209734.0314648;-45.120503652039325
1739209734.03147;-45.120503652039325
1739209734.0314755;-45.120503652039325
1739209734.0314808;-38.13080360867914
1739209734.0314863;-38.13080360867914
1739209734.0314915;-38.13080360867914
1739209734.031497;-38.13080360867914
1739209734.0315022;-38.13080360867914
1739209734.0315077;-38.13080360867914
1739209734.031513;-45.120503652039325
1739209734.0315185;-38.13080360867914
1739209734.0315237;-38.13080360867914
1739209734.031529;-45.120503652039325
1739209734.0315344;-45.120503652039325
1739209734.0315397;-32.816014438256545
1739209734.0315452;-27.8777449560314
1739209734.0315504;-45.120503652039325
1739209734.031556;-45.120503652039325
1739209734.0315611;-33.981070128970906
1739209734.0315666;-31.141103565318915
1739209734.0315719;-38.13080360867914
1739209734.031577;-38.13080360867914
1739209734.0315826;-38.13080360867914
1739209734.0315878;-45.120503652039325
1739209734.0315933;-38.13080360867914
1739209734.0315986;-38.13080360867914
1739209734.031604;-32.816014438256545
1739209734.0316093;-33.981070128970906
1739209734.0316148;-38.13080360867914
1739209734.03162;-45.120503652039325
1739209734.0316255;-38.13080360867914
1739209734.0316308;-38.13080360867914
1739209734.031636;-45.120503652039325
1739209734.0316415;-45.120503652039325
1739209734.0316467;-38.13080360867914
1739209734.0316522;-33.981070128970906
1739209734.0316575;-38.13080360867914
1739209734.031663;-38.13080360867914
1739209734.0316682;-38.13080360867914
1739209734.0316737;-38.13080360867914
1739209734.031679;-38.13080360867914
1739209734.0316844;-38.13080360867914
1739209734.0316896;-38.13080360867914
1739209734.031695;-35.57807855764607
1739209734.0317004;-45.120503652039325
1739209734.0317056;-45.120503652039325
1739209734.031711;-38.13080360867914
1739209734.0317163;-38.13080360867914
1739209734.0317218;-45.120503652039325
1739209734.031727;-38.13080360867914
1739209734.0317326;-45.120503652039325
1739209734.0317378;-35.57807855764607
1739209734.0317433;-33.981070128970906
1739209734.0317485;-45.120503652039325
1739209734.0317538;-38.13080360867914
1739209734.0317593;-33.981070128970906
1739209734.0317645;-45.120503652039325
1739209734.03177;-45.120503652039325
