CAN Message; 0x1a7:0000045c1fd8a93d
Timestamp;Amplitude
1739209848.847852;-38.13080360867914
1739209848.847854;-45.120503652039325
1739209848.847856;-38.13080360867914
1739209848.8478582;-45.120503652039325
1739209848.84786;-35.57807855764607
1739209848.8478622;-32.816014438256545
1739209848.8478644;-38.13080360867914
1739209848.8478663;-45.120503652039325
1739209848.8478684;-38.13080360867914
1739209848.8478706;-35.57807855764607
1739209848.8478725;-45.120503652039325
1739209848.8478746;-45.120503652039325
1739209848.8478768;-45.120503652039325
1739209848.8478787;-38.13080360867914
1739209848.8478808;-38.13080360867914
1739209848.847883;-38.13080360867914
1739209848.847885;-38.13080360867914
1739209848.847887;-45.120503652039325
1739209848.8478892;-33.981070128970906
1739209848.8478913;-45.120503652039325
1739209848.8478932;-38.13080360867914
1739209848.8478954;-30.49652367304973
1739209848.8478975;-35.57807855764607
1739209848.8478994;-45.120503652039325
1739209848.8479016;-45.120503652039325
1739209848.8479037;-38.13080360867914
1739209848.8479056;-45.120503652039325
1739209848.8479078;-38.13080360867914
1739209848.84791;-45.120503652039325
1739209848.8479118;-38.13080360867914
1739209848.847914;-45.120503652039325
1739209848.8479161;-32.816014438256545
1739209848.847918;-38.13080360867914
1739209848.8479202;-45.120503652039325
1739209848.8479223;-45.120503652039325
1739209848.8479242;-45.120503652039325
1739209848.8479264;-45.120503652039325
1739209848.8479285;-35.57807855764607
1739209848.8479304;-38.13080360867914
1739209848.8479326;-32.816014438256545
1739209848.8479347;-35.57807855764607
1739209848.8479366;-38.13080360867914
1739209848.8479388;-38.13080360867914
1739209848.847941;-35.57807855764607
1739209848.8479428;-33.981070128970906
1739209848.847945;-45.120503652039325
1739209848.8479471;-38.13080360867914
1739209848.847949;-38.13080360867914
1739209848.8479512;-45.120503652039325
1739209848.8479533;-38.13080360867914
1739209848.8479552;-38.13080360867914
1739209848.8479574;-33.981070128970906
1739209848.8479595;-33.981070128970906
1739209848.8479614;-45.120503652039325
1739209848.8479636;-45.120503652039325
1739209848.8479657;-38.13080360867914
1739209848.8479676;-38.13080360867914
1739209848.8479698;-45.120503652039325
1739209848.847972;-45.120503652039325
1739209848.8479738;-32.816014438256545
1739209848.847976;-38.13080360867914
1739209848.847978;-32.816014438256545
1739209848.84798;-32.816014438256545
1739209848.8479822;-45.120503652039325
1739209848.8479843;-38.13080360867914
1739209848.8479862;-45.120503652039325
1739209848.8479884;-45.120503652039325
1739209848.8479905;-33.981070128970906
1739209848.8479924;-33.981070128970906
1739209848.8479946;-33.981070128970956
1739209848.8479967;-45.120503652039325
1739209848.8479986;-45.120503652039325
1739209848.8480008;-38.13080360867914
1739209848.848003;-45.120503652039325
1739209848.8480048;-45.120503652039325
1739209848.848007;-45.120503652039325
1739209848.848009;-45.120503652039325
1739209848.848011;-26.991370085610736
1739209848.8480132;-35.57807855764607
1739209848.8480153;-45.120503652039325
1739209848.8480172;-45.120503652039325
1739209848.8480194;-32.816014438256545
1739209848.8480215;-35.57807855764607
1739209848.8480234;-45.120503652039325
1739209848.8480256;-38.13080360867914
1739209848.8480277;-45.120503652039325
1739209848.8480296;-45.120503652039325
1739209848.8480318;-35.57807855764607
1739209848.848034;-45.120503652039325
1739209848.8480358;-45.120503652039325
