CAN Message; 0x1a7:00001355a0309bea
Timestamp;Amplitude
1739209911.4243803;-38.13080360867914
1739209911.4243894;-35.57807855764607
1739209911.4243984;-38.13080360867914
1739209911.4244075;-31.141103565318915
1739209911.4244165;-38.13080360867914
1739209911.4244256;-38.13080360867914
1739209911.4244347;-45.120503652039325
1739209911.4244437;-45.120503652039325
1739209911.4244528;-38.13080360867914
1739209911.4244618;-38.13080360867914
1739209911.424471;-38.13080360867914
1739209911.42448;-32.816014438256545
1739209911.4244893;-45.120503652039325
1739209911.4244983;-45.120503652039325
1739209911.4245074;-45.120503652039325
1739209911.4245164;-38.13080360867914
1739209911.4245255;-35.57807855764607
1739209911.4245346;-38.13080360867914
1739209911.4245436;-45.120503652039325
1739209911.4245527;-27.267205301931607
1739209911.4245617;-35.57807855764607
1739209911.4245708;-35.57807855764607
1739209911.4245799;-45.120503652039325
1739209911.424589;-45.120503652039325
1739209911.424598;-35.57807855764607
1739209911.424607;-38.13080360867914
1739209911.424616;-45.120503652039325
1739209911.4246252;-45.120503652039325
1739209911.4246342;-35.57807855764607
1739209911.4246433;-38.13080360867914
1739209911.4246523;-45.120503652039325
1739209911.4246614;-45.120503652039325
1739209911.4246705;-38.13080360867914
1739209911.4246795;-45.120503652039325
1739209911.4246886;-45.120503652039325
1739209911.4246976;-33.981070128970906
1739209911.424707;-38.13080360867914
1739209911.424716;-45.120503652039325
1739209911.424725;-45.120503652039325
1739209911.424734;-38.13080360867914
1739209911.4247432;-38.13080360867914
1739209911.4247522;-38.13080360867914
1739209911.4247613;-45.120503652039325
1739209911.4247704;-33.981070128970906
1739209911.4247794;-38.13080360867914
1739209911.4247885;-38.13080360867914
1739209911.4247975;-45.120503652039325
1739209911.4248066;-45.120503652039325
1739209911.4248157;-35.57807855764607
1739209911.4248247;-35.57807855764607
1739209911.4248338;-45.120503652039325
1739209911.4248428;-33.981070128970906
1739209911.424852;-33.981070128970906
1739209911.424861;-45.120503652039325
1739209911.42487;-45.120503652039325
1739209911.424879;-45.120503652039325
1739209911.4248881;-45.120503652039325
1739209911.4248972;-38.13080360867914
1739209911.4249063;-45.120503652039325
1739209911.4249153;-45.120503652039325
1739209911.4249246;-38.13080360867914
1739209911.4249337;-35.57807855764607
1739209911.4249427;-45.120503652039325
1739209911.4249518;-38.13080360867914
1739209911.4249609;-38.13080360867914
1739209911.42497;-38.13080360867914
1739209911.424979;-45.120503652039325
1739209911.424988;-45.120503652039325
1739209911.424997;-35.57807855764607
1739209911.4250062;-35.57807855764607
1739209911.4250152;-45.120503652039325
1739209911.4250243;-38.13080360867914
1739209911.4250333;-32.816014438256545
1739209911.4250424;-38.13080360867914
1739209911.4250515;-45.120503652039325
1739209911.4250605;-38.13080360867914
1739209911.4250696;-38.13080360867914
1739209911.4250786;-38.13080360867914
1739209911.4250877;-45.120503652039325
1739209911.4250968;-38.13080360867914
1739209911.4251058;-45.120503652039325
1739209911.4251149;-38.13080360867914
1739209911.425124;-38.13080360867914
1739209911.425133;-38.13080360867914
1739209911.425142;-33.981070128970906
1739209911.4251513;-33.981070128970906
1739209911.4251604;-45.120503652039325
1739209911.4251695;-38.13080360867914
1739209911.4251785;-38.13080360867914
1739209911.4251876;-45.120503652039325
1739209911.4251966;-45.120503652039325
1739209911.4252057;-45.120503652039325
1739209911.4252148;-32.816014438256545
1739209911.4252238;-33.981070128970906
