CAN Message; 0x98:0000aaa07092114c
Timestamp;Amplitude
1739209722.9716876;-45.120503652039325
1739209722.9716895;-45.120503652039325
1739209722.9716911;-38.13080360867914
1739209722.9716928;-45.120503652039325
1739209722.9716945;-45.120503652039325
1739209722.9716964;-38.13080360867914
1739209722.971698;-38.13080360867914
1739209722.9716997;-45.120503652039325
1739209722.9717014;-45.120503652039325
1739209722.9717033;-45.120503652039325
1739209722.971705;-38.13080360867914
1739209722.9717066;-45.120503652039325
1739209722.9717083;-45.120503652039325
1739209722.9717102;-38.13080360867914
1739209722.9717119;-45.120503652039325
1739209722.9717135;-38.13080360867914
1739209722.9717152;-45.120503652039325
1739209722.9717171;-45.120503652039325
1739209722.9717188;-45.120503652039325
1739209722.9717205;-38.13080360867914
1739209722.9717221;-31.141103565318893
1739209722.971724;-38.13080360867914
1739209722.9717257;-38.13080360867914
1739209722.9717274;-45.120503652039325
1739209722.9717293;-38.13080360867914
1739209722.971731;-38.13080360867914
1739209722.9717326;-45.120503652039325
1739209722.9717343;-38.13080360867914
1739209722.9717362;-45.120503652039325
1739209722.9717379;-38.13080360867914
1739209722.9717395;-35.57807855764607
1739209722.9717412;-38.13080360867914
1739209722.971743;-38.13080360867914
1739209722.9717448;-45.120503652039325
1739209722.9717464;-45.120503652039325
1739209722.971748;-45.120503652039325
1739209722.97175;-27.8777449560314
1739209722.9717517;-35.57807855764607
1739209722.9717534;-45.120503652039325
1739209722.971755;-45.120503652039325
1739209722.971757;-33.981070128970906
1739209722.9717586;-35.57807855764607
1739209722.9717603;-45.120503652039325
1739209722.971762;-33.981070128970906
1739209722.9717638;-45.120503652039325
1739209722.9717655;-45.120503652039325
1739209722.9717672;-45.120503652039325
1739209722.971769;-45.120503652039325
1739209722.9717708;-45.120503652039325
1739209722.9717724;-45.120503652039325
1739209722.971774;-45.120503652039325
1739209722.971776;-45.120503652039325
1739209722.9717777;-45.120503652039325
1739209722.9717793;-45.120503652039325
1739209722.971781;-45.120503652039325
1739209722.971783;-45.120503652039325
1739209722.9717846;-32.816014438256545
1739209722.9717863;-38.13080360867914
1739209722.971788;-45.120503652039325
1739209722.9717898;-45.120503652039325
1739209722.9717915;-28.58837851428586
1739209722.9717932;-35.57807855764607
1739209722.9717948;-45.120503652039325
1739209722.9717968;-38.13080360867914
1739209722.9717984;-45.120503652039325
1739209722.9718;-35.57807855764607
1739209722.9718018;-38.13080360867914
1739209722.9718037;-38.13080360867914
1739209722.9718053;-33.981070128970956
1739209722.971807;-45.120503652039325
1739209722.971809;-45.120503652039325
1739209722.9718106;-45.120503652039325
1739209722.9718122;-45.120503652039325
1739209722.971814;-45.120503652039325
1739209722.9718158;-45.120503652039325
1739209722.9718175;-38.13080360867914
1739209722.9718192;-29.438486411369333
1739209722.9718208;-33.981070128970906
1739209722.9718227;-45.120503652039325
1739209722.9718244;-38.13080360867914
1739209722.971826;-32.816014438256545
1739209722.9718277;-38.13080360867914
1739209722.9718297;-38.13080360867914
1739209722.9718313;-33.981070128970906
1739209722.971833;-45.120503652039325
1739209722.9718347;-45.120503652039325
1739209722.9718366;-38.13080360867914
1739209722.9718382;-38.13080360867914
1739209722.97184;-45.120503652039325
1739209722.9718416;-38.13080360867914
1739209722.9718435;-45.120503652039325
1739209722.9718451;-45.120503652039325
1739209722.9718468;-38.13080360867914
1739209722.9718487;-38.13080360867914
1739209722.9718504;-45.120503652039325
1739209722.971852;-45.120503652039325
1739209722.9718537;-45.120503652039325
1739209722.9718556;-45.120503652039325
1739209722.9718573;-35.57807855764607
1739209722.971859;-45.120503652039325
1739209722.9718606;-33.981070128970906
1739209722.9718626;-30.49652367304973
1739209722.9718642;-32.816014438256545
1739209722.971866;-38.13080360867914
1739209722.9718676;-45.120503652039325
1739209722.9718695;-38.13080360867914
1739209722.9718711;-45.120503652039325
1739209722.9718728;-38.13080360867914
1739209722.9718745;-45.120503652039325
1739209722.9718764;-32.816014438256545
1739209722.971878;-45.120503652039325
1739209722.9718797;-45.120503652039325
1739209722.9718814;-45.120503652039325
1739209722.9718833;-45.120503652039325
1739209722.971885;-35.57807855764607
1739209722.9718866;-45.120503652039325
1739209722.9718885;-45.120503652039325
1739209722.9718902;-38.13080360867914
1739209722.9718919;-38.13080360867914
1739209722.9718935;-45.120503652039325
1739209722.9718955;-45.120503652039325
1739209722.9718971;-38.13080360867914
1739209722.9718988;-38.13080360867914
1739209722.9719005;-38.13080360867914
1739209722.9719024;-45.120503652039325
1739209722.971904;-45.120503652039325
1739209722.9719057;-45.120503652039325
1739209722.9719074;-45.120503652039325
1739209722.9719093;-38.13080360867914
1739209722.971911;-35.57807855764607
1739209722.9719126;-38.13080360867914
1739209722.9719143;-45.120503652039325
1739209722.9719162;-38.13080360867914
1739209722.9719179;-38.13080360867914
1739209722.9719195;-45.120503652039325
1739209722.9719212;-45.120503652039325
1739209722.971923;-38.13080360867914
1739209722.9719248;-45.120503652039325
1739209722.9719265;-45.120503652039325
1739209722.9719284;-45.120503652039325
1739209722.97193;-38.13080360867914
1739209722.9719317;-33.981070128970906
1739209722.9719334;-45.120503652039325
1739209722.9719353;-38.13080360867914
1739209722.971937;-38.13080360867914
1739209722.9719386;-38.13080360867914
1739209722.9719403;-38.13080360867914
1739209722.9719422;-45.120503652039325
1739209722.9719439;-38.13080360867914
1739209722.9719455;-38.13080360867914
1739209722.9719472;-45.120503652039325
1739209722.971949;-38.13080360867914
1739209722.9719508;-32.816014438256545
1739209722.9719524;-38.13080360867914
1739209722.971954;-45.120503652039325
1739209722.971956;-38.13080360867914
1739209722.9719577;-35.57807855764607
1739209722.9719594;-38.13080360867914
1739209722.971961;-45.120503652039325
1739209722.971963;-45.120503652039325
1739209722.9719646;-38.13080360867914
1739209722.9719663;-38.13080360867914
1739209722.9719682;-45.120503652039325
1739209722.9719698;-38.13080360867914
