CAN Message; 0x1b8:010028c82d955ed5
Timestamp;Amplitude
1739209745.075934;-35.57807855764607
1739209745.0759363;-32.816014438256545
1739209745.075939;-45.120503652039325
1739209745.0759413;-45.120503652039325
1739209745.0759437;-38.13080360867914
1739209745.075946;-38.13080360867914
1739209745.0759485;-29.438486411369333
1739209745.075951;-27.8777449560314
1739209745.0759535;-45.120503652039325
1739209745.0759559;-45.120503652039325
1739209745.0759583;-35.57807855764607
1739209745.0759606;-35.57807855764607
1739209745.0759633;-45.120503652039325
1739209745.0759656;-45.120503652039325
1739209745.075968;-45.120503652039325
1739209745.0759704;-45.120503652039325
1739209745.0759728;-38.13080360867914
1739209745.0759754;-45.120503652039325
1739209745.0759778;-45.120503652039325
1739209745.0759802;-45.120503652039325
1739209745.0759826;-45.120503652039325
1739209745.075985;-45.120503652039325
1739209745.0759876;-32.816014438256545
1739209745.07599;-32.816014438256545
1739209745.0759923;-45.120503652039325
1739209745.0759947;-45.120503652039325
1739209745.075997;-38.13080360867914
1739209745.0759997;-35.57807855764607
1739209745.0760021;-45.120503652039325
1739209745.0760045;-38.13080360867914
1739209745.076007;-38.13080360867914
1739209745.0760093;-32.816014438256545
1739209745.076012;-45.120503652039325
1739209745.0760143;-45.120503652039325
1739209745.0760167;-35.57807855764607
1739209745.076019;-35.57807855764607
1739209745.0760214;-45.120503652039325
1739209745.076024;-45.120503652039325
1739209745.0760264;-45.120503652039325
1739209745.0760288;-33.981070128970956
1739209745.0760312;-38.13080360867914
1739209745.0760336;-35.57807855764607
1739209745.0760362;-45.120503652039325
1739209745.0760386;-45.120503652039325
1739209745.076041;-38.13080360867914
1739209745.0760434;-35.57807855764607
1739209745.0760458;-38.13080360867914
1739209745.0760484;-28.58837851428586
1739209745.0760508;-45.120503652039325
1739209745.0760531;-38.13080360867914
1739209745.0760555;-38.13080360867914
1739209745.076058;-45.120503652039325
1739209745.0760605;-38.13080360867914
1739209745.076063;-38.13080360867914
1739209745.0760653;-45.120503652039325
1739209745.0760677;-45.120503652039325
1739209745.07607;-45.120503652039325
1739209745.0760727;-45.120503652039325
1739209745.076075;-45.120503652039325
