CAN Message; 0x150:04001cd58b93c527
Timestamp;Amplitude
1739209635.474925;-38.13080360867914
1739209635.4749274;-35.57807855764607
1739209635.4749298;-45.120503652039325
1739209635.4749324;-38.13080360867914
1739209635.4749348;-45.120503652039325
1739209635.4749372;-45.120503652039325
1739209635.4749396;-38.13080360867914
1739209635.474942;-45.120503652039325
1739209635.4749444;-45.120503652039325
1739209635.4749467;-45.120503652039325
1739209635.4749491;-45.120503652039325
1739209635.4749517;-45.120503652039325
1739209635.4749541;-35.57807855764607
1739209635.4749565;-31.141103565318893
1739209635.474959;-45.120503652039325
1739209635.4749613;-45.120503652039325
1739209635.4749637;-38.13080360867914
1739209635.474966;-35.57807855764607
1739209635.4749684;-45.120503652039325
1739209635.474971;-45.120503652039325
1739209635.4749734;-38.13080360867914
1739209635.4749758;-45.120503652039325
1739209635.4749782;-45.120503652039325
1739209635.4749806;-38.13080360867914
1739209635.474983;-45.120503652039325
1739209635.4749854;-45.120503652039325
1739209635.474988;-45.120503652039325
1739209635.4749904;-45.120503652039325
1739209635.4749928;-38.13080360867914
1739209635.4749951;-38.13080360867914
1739209635.4749975;-45.120503652039325
1739209635.475;-45.120503652039325
1739209635.4750023;-31.141103565318915
1739209635.4750047;-35.57807855764607
1739209635.4750073;-38.13080360867914
1739209635.4750097;-45.120503652039325
1739209635.475012;-32.816014438256545
1739209635.4750144;-29.438486411369333
1739209635.4750168;-45.120503652039325
1739209635.4750192;-45.120503652039325
1739209635.4750216;-45.120503652039325
1739209635.475024;-45.120503652039325
1739209635.4750266;-38.13080360867914
1739209635.475029;-33.981070128970906
1739209635.4750314;-38.13080360867914
1739209635.4750338;-45.120503652039325
1739209635.4750361;-38.13080360867914
1739209635.4750385;-38.13080360867914
1739209635.475041;-38.13080360867914
1739209635.4750435;-38.13080360867914
1739209635.475046;-38.13080360867914
1739209635.4750483;-45.120503652039325
1739209635.4750507;-32.816014438256545
1739209635.475053;-29.438486411369333
1739209635.4750555;-45.120503652039325
1739209635.4750578;-45.120503652039325
1739209635.4750602;-38.13080360867914
1739209635.4750628;-35.57807855764607
1739209635.4750652;-45.120503652039325
1739209635.4750676;-38.13080360867914
1739209635.47507;-38.13080360867914
1739209635.4750724;-45.120503652039325
1739209635.4750748;-45.120503652039325
1739209635.4750772;-45.120503652039325
1739209635.4750798;-45.120503652039325
1739209635.4750822;-45.120503652039325
1739209635.4750845;-45.120503652039325
1739209635.475087;-45.120503652039325
1739209635.4750893;-38.13080360867914
1739209635.4750917;-38.13080360867914
1739209635.475094;-38.13080360867914
1739209635.4750965;-38.13080360867914
1739209635.475099;-38.13080360867914
1739209635.4751015;-38.13080360867914
1739209635.4751039;-45.120503652039325
1739209635.4751062;-45.120503652039325
1739209635.4751086;-45.120503652039325
1739209635.475111;-28.992665084841942
1739209635.4751134;-38.13080360867914
1739209635.4751158;-45.120503652039325
1739209635.4751184;-45.120503652039325
1739209635.4751208;-33.981070128970906
1739209635.4751232;-35.57807855764607
1739209635.4751256;-45.120503652039325
1739209635.475128;-38.13080360867914
1739209635.4751303;-35.57807855764607
1739209635.4751327;-33.981070128970906
1739209635.4751353;-38.13080360867914
1739209635.4751377;-45.120503652039325
1739209635.47514;-45.120503652039325
1739209635.4751425;-38.13080360867914
1739209635.4751449;-38.13080360867914
1739209635.4751472;-45.120503652039325
1739209635.4751496;-28.992665084841942
1739209635.475152;-35.57807855764607
1739209635.4751546;-38.13080360867914
1739209635.475157;-45.120503652039325
1739209635.4751594;-45.120503652039325
1739209635.4751618;-45.120503652039325
1739209635.4751642;-35.57807855764607
1739209635.4751666;-45.120503652039325
1739209635.475169;-30.49652367304976
1739209635.4751713;-38.13080360867914
1739209635.475174;-33.981070128970906
1739209635.4751763;-45.120503652039325
1739209635.4751787;-45.120503652039325
1739209635.475181;-45.120503652039325
1739209635.4751835;-35.57807855764607
1739209635.4751859;-38.13080360867914
1739209635.4751883;-33.981070128970906
1739209635.4751909;-33.981070128970906
1739209635.4751933;-45.120503652039325
1739209635.4751956;-45.120503652039325
1739209635.475198;-38.13080360867914
1739209635.4752004;-35.57807855764607
1739209635.4752028;-45.120503652039325
1739209635.4752052;-38.13080360867914
1739209635.4752076;-35.57807855764607
1739209635.4752102;-38.13080360867914
1739209635.4752126;-45.120503652039325
1739209635.475215;-38.13080360867914
1739209635.4752173;-45.120503652039325
1739209635.4752197;-45.120503652039325
1739209635.475222;-45.120503652039325
