CAN Message; 0x39:091e75ef7f832c05
Timestamp;Amplitude
1739209809.9545212;-45.120503652039325
1739209809.954524;-33.981070128970906
1739209809.9545267;-45.120503652039325
1739209809.9545295;-45.120503652039325
1739209809.9545321;-45.120503652039325
1739209809.954535;-45.120503652039325
1739209809.9545376;-38.13080360867914
1739209809.9545405;-26.035653463252796
1739209809.954543;-38.13080360867914
1739209809.954546;-38.13080360867914
1739209809.9545486;-38.13080360867914
1739209809.9545515;-32.816014438256545
1739209809.954554;-38.13080360867914
1739209809.954557;-45.120503652039325
1739209809.9545596;-45.120503652039325
1739209809.9545622;-45.120503652039325
1739209809.954565;-45.120503652039325
1739209809.9545677;-45.120503652039325
1739209809.9545705;-45.120503652039325
1739209809.9545732;-38.13080360867914
1739209809.954576;-38.13080360867914
1739209809.9545786;-45.120503652039325
1739209809.9545815;-38.13080360867914
1739209809.9545841;-32.816014438256545
1739209809.954587;-38.13080360867914
1739209809.9545896;-45.120503652039325
1739209809.9545925;-38.13080360867914
1739209809.954595;-38.13080360867914
1739209809.954598;-45.120503652039325
1739209809.9546006;-38.13080360867914
1739209809.9546034;-45.120503652039325
1739209809.954606;-38.13080360867914
1739209809.9546087;-38.13080360867914
1739209809.9546115;-45.120503652039325
1739209809.9546142;-38.13080360867914
1739209809.954617;-35.57807855764607
1739209809.9546196;-38.13080360867914
1739209809.9546225;-45.120503652039325
1739209809.9546251;-38.13080360867914
1739209809.954628;-38.13080360867914
1739209809.9546306;-45.120503652039325
1739209809.9546335;-45.120503652039325
1739209809.954636;-38.13080360867914
1739209809.954639;-45.120503652039325
1739209809.9546416;-45.120503652039325
1739209809.9546444;-38.13080360867914
1739209809.954647;-45.120503652039325
1739209809.9546497;-38.13080360867914
1739209809.9546525;-35.57807855764607
1739209809.9546552;-38.13080360867914
1739209809.954658;-45.120503652039325
1739209809.9546607;-45.120503652039325
1739209809.9546635;-33.981070128970906
1739209809.9546661;-35.57807855764607
1739209809.954669;-38.13080360867914
1739209809.9546716;-45.120503652039325
1739209809.9546745;-45.120503652039325
1739209809.954677;-33.981070128970906
1739209809.95468;-38.13080360867914
1739209809.9546826;-45.120503652039325
1739209809.9546854;-38.13080360867914
1739209809.954688;-38.13080360867914
1739209809.9546907;-38.13080360867914
1739209809.9546936;-38.13080360867914
1739209809.9546962;-38.13080360867914
1739209809.954699;-45.120503652039325
1739209809.9547017;-45.120503652039325
1739209809.9547045;-45.120503652039325
1739209809.9547071;-33.981070128970906
1739209809.95471;-45.120503652039325
1739209809.9547126;-33.981070128970906
1739209809.9547155;-45.120503652039325
1739209809.954718;-45.120503652039325
1739209809.954721;-38.13080360867914
1739209809.9547236;-45.120503652039325
1739209809.9547265;-38.13080360867914
1739209809.954729;-38.13080360867914
1739209809.9547317;-45.120503652039325
1739209809.9547346;-38.13080360867914
1739209809.9547372;-45.120503652039325
1739209809.95474;-38.13080360867914
1739209809.9547427;-45.120503652039325
1739209809.9547455;-38.13080360867914
1739209809.9547482;-45.120503652039325
1739209809.954751;-45.120503652039325
1739209809.9547536;-45.120503652039325
1739209809.9547565;-38.13080360867914
1739209809.9547591;-38.13080360867914
1739209809.954762;-35.57807855764607
1739209809.9547646;-45.120503652039325
1739209809.9547675;-45.120503652039325
1739209809.95477;-35.57807855764607
1739209809.954773;-33.981070128970906
1739209809.9547756;-45.120503652039325
1739209809.9547782;-38.13080360867914
1739209809.954781;-31.141103565318893
1739209809.9547837;-38.13080360867914
1739209809.9547865;-45.120503652039325
1739209809.9547892;-38.13080360867914
1739209809.954792;-35.57807855764607
1739209809.9547946;-45.120503652039325
1739209809.9547975;-45.120503652039325
1739209809.9548001;-45.120503652039325
1739209809.954803;-38.13080360867914
1739209809.9548056;-33.981070128970906
