CAN Message; 0x1a7:0000aa72704c1dbe
Timestamp;Amplitude
1739209837.1261451;-35.57807855764607
1739209837.126147;-38.13080360867914
1739209837.1261492;-38.13080360867914
1739209837.1261513;-31.141103565318915
1739209837.1261532;-33.981070128970906
1739209837.1261554;-45.120503652039325
1739209837.1261575;-45.120503652039325
1739209837.1261597;-38.13080360867914
1739209837.1261616;-38.13080360867914
1739209837.1261637;-45.120503652039325
1739209837.1261659;-45.120503652039325
1739209837.1261678;-45.120503652039325
1739209837.12617;-38.13080360867914
1739209837.126172;-38.13080360867914
1739209837.126174;-45.120503652039325
1739209837.126176;-38.13080360867914
1739209837.1261783;-45.120503652039325
1739209837.1261802;-38.13080360867914
1739209837.1261823;-38.13080360867914
1739209837.1261845;-45.120503652039325
1739209837.1261864;-33.981070128970906
1739209837.1261885;-38.13080360867914
1739209837.1261907;-45.120503652039325
1739209837.1261928;-33.981070128970906
1739209837.1261947;-45.120503652039325
1739209837.1261969;-33.981070128970906
1739209837.126199;-33.981070128970906
1739209837.126201;-32.816014438256545
1739209837.126203;-38.13080360867914
1739209837.1262052;-45.120503652039325
1739209837.126207;-45.120503652039325
1739209837.1262093;-45.120503652039325
1739209837.1262114;-45.120503652039325
1739209837.1262133;-45.120503652039325
1739209837.1262155;-35.57807855764607
1739209837.1262176;-38.13080360867914
1739209837.1262195;-45.120503652039325
1739209837.1262217;-45.120503652039325
1739209837.1262238;-45.120503652039325
1739209837.126226;-45.120503652039325
1739209837.1262279;-30.49652367304973
1739209837.12623;-35.57807855764607
1739209837.1262321;-45.120503652039325
1739209837.126234;-35.57807855764607
1739209837.1262362;-35.57807855764607
1739209837.1262383;-38.13080360867914
1739209837.1262403;-45.120503652039325
1739209837.1262424;-45.120503652039325
1739209837.1262445;-45.120503652039325
1739209837.1262465;-45.120503652039325
1739209837.1262486;-45.120503652039325
1739209837.1262507;-33.981070128970906
1739209837.1262527;-38.13080360867914
1739209837.1262548;-45.120503652039325
1739209837.126257;-45.120503652039325
1739209837.126259;-38.13080360867914
1739209837.126261;-32.816014438256545
1739209837.1262631;-38.13080360867914
1739209837.1262653;-45.120503652039325
1739209837.1262672;-38.13080360867914
1739209837.1262693;-32.816014438256545
1739209837.1262715;-38.13080360867914
1739209837.1262734;-45.120503652039325
1739209837.1262755;-38.13080360867914
1739209837.1262777;-33.981070128970906
1739209837.1262796;-38.13080360867914
1739209837.1262817;-45.120503652039325
1739209837.126284;-38.13080360867914
1739209837.126286;-38.13080360867914
1739209837.126288;-45.120503652039325
1739209837.12629;-45.120503652039325
1739209837.1262922;-38.13080360867914
1739209837.1262941;-45.120503652039325
1739209837.1262963;-45.120503652039325
1739209837.1262984;-38.13080360867914
1739209837.1263003;-45.120503652039325
1739209837.1263025;-38.13080360867914
1739209837.1263046;-38.13080360867914
1739209837.1263065;-45.120503652039325
1739209837.1263087;-45.120503652039325
1739209837.1263108;-45.120503652039325
1739209837.1263127;-33.981070128970906
1739209837.1263149;-45.120503652039325
1739209837.126317;-38.13080360867914
1739209837.1263192;-38.13080360867914
1739209837.126321;-35.57807855764607
1739209837.1263232;-45.120503652039325
1739209837.1263254;-45.120503652039325
1739209837.1263273;-45.120503652039325
1739209837.1263294;-38.13080360867914
1739209837.1263316;-35.57807855764607
1739209837.1263335;-38.13080360867914
1739209837.1263356;-33.981070128970956
1739209837.1263378;-45.120503652039325
1739209837.1263397;-33.981070128970906
1739209837.1263418;-38.13080360867914
1739209837.126344;-45.120503652039325
1739209837.1263459;-33.981070128970906
1739209837.126348;-30.49652367304973
1739209837.1263502;-45.120503652039325
1739209837.1263523;-31.141103565318915
1739209837.1263542;-33.981070128970906
1739209837.1263564;-38.13080360867914
1739209837.1263585;-38.13080360867914
1739209837.1263604;-30.49652367304973
1739209837.1263626;-45.120503652039325
1739209837.1263647;-45.120503652039325
1739209837.1263666;-35.57807855764607
1739209837.1263688;-38.13080360867914
1739209837.126371;-45.120503652039325
1739209837.1263728;-38.13080360867914
1739209837.126375;-38.13080360867914
1739209837.126377;-38.13080360867914
1739209837.126379;-45.120503652039325
1739209837.1263812;-45.120503652039325
1739209837.1263833;-45.120503652039325
1739209837.1263855;-45.120503652039325
1739209837.1263874;-45.120503652039325
1739209837.1263895;-45.120503652039325
1739209837.1263916;-45.120503652039325
1739209837.1263936;-45.120503652039325
1739209837.1263957;-45.120503652039325
1739209837.1263978;-38.13080360867914
1739209837.1263998;-45.120503652039325
1739209837.126402;-31.141103565318915
1739209837.126404;-31.141103565318915
1739209837.126406;-38.13080360867914
1739209837.126408;-45.120503652039325
1739209837.1264102;-38.13080360867914
1739209837.1264124;-38.13080360867914
1739209837.1264143;-45.120503652039325
1739209837.1264164;-38.13080360867914
1739209837.1264186;-38.13080360867914
1739209837.1264205;-32.816014438256545
1739209837.1264226;-33.981070128970906
1739209837.1264248;-35.57807855764607
1739209837.1264267;-38.13080360867914
1739209837.1264288;-45.120503652039325
1739209837.126431;-38.13080360867914
1739209837.126433;-45.120503652039325
1739209837.126435;-33.981070128970906
1739209837.1264372;-33.981070128970906
1739209837.126439;-38.13080360867914
1739209837.1264412;-45.120503652039325
1739209837.1264434;-45.120503652039325
1739209837.1264455;-33.981070128970906
1739209837.1264474;-35.57807855764607
1739209837.1264496;-38.13080360867914
1739209837.1264517;-38.13080360867914
1739209837.1264536;-38.13080360867914
1739209837.1264558;-45.120503652039325
1739209837.126458;-45.120503652039325
1739209837.1264598;-45.120503652039325
1739209837.126462;-38.13080360867914
1739209837.1264641;-45.120503652039325
1739209837.126466;-45.120503652039325
1739209837.1264682;-45.120503652039325
1739209837.1264703;-38.13080360867914
1739209837.1264722;-35.57807855764607
1739209837.1264744;-45.120503652039325
1739209837.1264765;-38.13080360867914
1739209837.1264787;-45.120503652039325
1739209837.1264806;-45.120503652039325
1739209837.1264827;-33.981070128970906
1739209837.1264849;-38.13080360867914
1739209837.1264868;-33.981070128970906
1739209837.126489;-35.57807855764607
1739209837.126491;-45.120503652039325
1739209837.126493;-38.13080360867914
1739209837.1264951;-35.57807855764607
1739209837.1264973;-35.57807855764607
1739209837.1264992;-38.13080360867914
1739209837.1265013;-35.57807855764607
1739209837.1265035;-45.120503652039325
1739209837.1265054;-45.120503652039325
1739209837.1265075;-45.120503652039325
1739209837.1265097;-45.120503652039325
1739209837.1265118;-45.120503652039325
1739209837.1265137;-45.120503652039325
