CAN Message; 0x39:04a47918a84b14d4
Timestamp;Amplitude
1739209603.375905;-38.13080360867914
1739209603.375907;-45.120503652039325
1739209603.375909;-45.120503652039325
1739209603.3759112;-33.981070128970906
1739209603.3759134;-38.13080360867914
1739209603.3759153;-45.120503652039325
1739209603.3759174;-29.438486411369333
1739209603.3759196;-32.816014438256545
1739209603.3759215;-45.120503652039325
1739209603.3759236;-33.981070128970906
1739209603.3759258;-38.13080360867914
1739209603.3759277;-38.13080360867914
1739209603.3759298;-38.13080360867914
1739209603.375932;-38.13080360867914
1739209603.3759341;-45.120503652039325
1739209603.375936;-45.120503652039325
1739209603.3759382;-35.57807855764607
1739209603.3759403;-38.13080360867914
1739209603.3759422;-38.13080360867914
1739209603.3759444;-38.13080360867914
1739209603.3759465;-45.120503652039325
1739209603.3759484;-38.13080360867914
1739209603.3759506;-45.120503652039325
1739209603.3759527;-45.120503652039325
1739209603.3759549;-45.120503652039325
1739209603.3759568;-38.13080360867914
1739209603.375959;-38.13080360867914
1739209603.375961;-45.120503652039325
1739209603.375963;-45.120503652039325
1739209603.375965;-45.120503652039325
1739209603.3759673;-32.816014438256545
1739209603.3759694;-35.57807855764607
1739209603.3759713;-45.120503652039325
1739209603.3759735;-45.120503652039325
1739209603.3759756;-31.141103565318893
1739209603.3759775;-38.13080360867914
1739209603.3759797;-45.120503652039325
1739209603.3759818;-45.120503652039325
1739209603.3759837;-45.120503652039325
1739209603.3759859;-45.120503652039325
1739209603.375988;-38.13080360867914
1739209603.3759902;-33.981070128970906
1739209603.375992;-45.120503652039325
1739209603.3759942;-33.981070128970906
1739209603.3759964;-35.57807855764607
1739209603.3759983;-45.120503652039325
1739209603.3760004;-38.13080360867914
1739209603.3760026;-32.816014438256545
1739209603.3760045;-45.120503652039325
1739209603.3760066;-38.13080360867914
1739209603.3760087;-38.13080360867914
1739209603.376011;-38.13080360867914
1739209603.3760128;-38.13080360867914
1739209603.376015;-38.13080360867914
1739209603.376017;-45.120503652039325
1739209603.376019;-45.120503652039325
1739209603.3760211;-45.120503652039325
1739209603.3760233;-45.120503652039325
1739209603.3760252;-45.120503652039325
1739209603.3760273;-38.13080360867914
1739209603.3760295;-38.13080360867914
1739209603.3760316;-38.13080360867914
1739209603.3760335;-45.120503652039325
1739209603.3760357;-38.13080360867914
1739209603.3760378;-45.120503652039325
1739209603.3760397;-45.120503652039325
1739209603.376042;-38.13080360867914
1739209603.376044;-45.120503652039325
1739209603.3760462;-45.120503652039325
1739209603.376048;-38.13080360867914
1739209603.3760502;-35.57807855764607
1739209603.3760524;-38.13080360867914
1739209603.3760543;-45.120503652039325
1739209603.3760564;-38.13080360867914
1739209603.3760586;-45.120503652039325
1739209603.3760605;-45.120503652039325
1739209603.3760626;-38.13080360867914
1739209603.3760648;-33.981070128970906
1739209603.376067;-38.13080360867914
1739209603.3760688;-33.981070128970906
1739209603.376071;-38.13080360867914
1739209603.3760731;-38.13080360867914
1739209603.376075;-45.120503652039325
1739209603.3760772;-45.120503652039325
1739209603.3760793;-35.57807855764607
1739209603.3760812;-38.13080360867914
1739209603.3760834;-38.13080360867914
1739209603.3760855;-33.981070128970906
1739209603.3760877;-38.13080360867914
1739209603.3760896;-38.13080360867914
1739209603.3760917;-45.120503652039325
1739209603.3760939;-45.120503652039325
1739209603.3760958;-45.120503652039325
1739209603.376098;-38.13080360867914
1739209603.3761;-33.981070128970906
1739209603.376102;-38.13080360867914
1739209603.376104;-45.120503652039325
1739209603.3761063;-38.13080360867914
1739209603.3761084;-45.120503652039325
1739209603.3761103;-38.13080360867914
1739209603.3761125;-35.57807855764607
1739209603.3761146;-45.120503652039325
1739209603.3761165;-38.13080360867914
1739209603.3761187;-38.13080360867914
1739209603.3761208;-38.13080360867914
1739209603.376123;-38.13080360867914
1739209603.3761249;-38.13080360867914
1739209603.376127;-45.120503652039325
1739209603.3761292;-38.13080360867914
1739209603.376131;-35.57807855764607
1739209603.3761332;-38.13080360867914
1739209603.3761353;-32.816014438256545
1739209603.3761373;-28.992665084841942
1739209603.3761394;-38.13080360867914
1739209603.3761415;-45.120503652039325
1739209603.3761437;-38.13080360867914
1739209603.3761456;-38.13080360867914
1739209603.3761477;-38.13080360867914
1739209603.37615;-33.981070128970906
1739209603.3761518;-38.13080360867914
1739209603.376154;-38.13080360867914
1739209603.376156;-45.120503652039325
1739209603.376158;-45.120503652039325
1739209603.3761601;-45.120503652039325
1739209603.3761623;-38.13080360867914
1739209603.3761644;-38.13080360867914
1739209603.3761663;-45.120503652039325
1739209603.3761685;-45.120503652039325
1739209603.3761706;-38.13080360867914
1739209603.3761725;-38.13080360867914
1739209603.3761747;-45.120503652039325
1739209603.3761768;-45.120503652039325
1739209603.376179;-38.13080360867914
1739209603.376181;-35.57807855764607
1739209603.376183;-45.120503652039325
1739209603.3761852;-33.981070128970906
1739209603.376187;-28.992665084841942
1739209603.3761892;-38.13080360867914
1739209603.3761914;-38.13080360867914
1739209603.3761933;-35.57807855764607
1739209603.3761954;-45.120503652039325
1739209603.3761976;-45.120503652039325
1739209603.3761997;-33.981070128970906
1739209603.3762016;-45.120503652039325
1739209603.3762038;-45.120503652039325
1739209603.376206;-38.13080360867914
1739209603.3762078;-45.120503652039325
1739209603.37621;-38.13080360867914
1739209603.3762121;-38.13080360867914
1739209603.376214;-45.120503652039325
1739209603.3762162;-45.120503652039325
1739209603.3762183;-45.120503652039325
1739209603.3762205;-38.13080360867914
1739209603.3762224;-38.13080360867914
1739209603.3762245;-45.120503652039325
1739209603.3762267;-45.120503652039325
1739209603.3762286;-38.13080360867914
1739209603.3762307;-35.57807855764607
1739209603.3762329;-45.120503652039325
1739209603.376235;-35.57807855764607
1739209603.376237;-38.13080360867914
1739209603.376239;-38.13080360867914
1739209603.3762412;-38.13080360867914
1739209603.376243;-38.13080360867914
1739209603.3762453;-45.120503652039325
1739209603.3762474;-38.13080360867914
1739209603.3762493;-45.120503652039325
1739209603.3762515;-45.120503652039325
1739209603.3762536;-38.13080360867914
1739209603.3762558;-38.13080360867914
1739209603.3762577;-45.120503652039325
1739209603.3762598;-35.57807855764607
1739209603.376262;-38.13080360867914
1739209603.3762639;-45.120503652039325
1739209603.376266;-38.13080360867914
1739209603.3762681;-38.13080360867914
1739209603.37627;-35.57807855764607
1739209603.3762722;-32.816014438256545
1739209603.3762743;-38.13080360867914
1739209603.3762765;-38.13080360867914
1739209603.3762784;-45.120503652039325
