CAN Message; 0x39:023da0be8f711b47
Timestamp;Amplitude
1739209636.4614248;-45.120503652039325
1739209636.461432;-45.120503652039325
1739209636.461439;-38.13080360867914
1739209636.4614458;-38.13080360867914
1739209636.4614527;-38.13080360867914
1739209636.4614599;-38.13080360867914
1739209636.4614668;-45.120503652039325
1739209636.4614737;-38.13080360867914
1739209636.4614806;-38.13080360867914
1739209636.4614878;-31.141103565318915
1739209636.4614947;-45.120503652039325
1739209636.4615016;-45.120503652039325
1739209636.4615085;-33.981070128970906
1739209636.4615157;-32.816014438256545
1739209636.4615226;-38.13080360867914
1739209636.4615295;-38.13080360867914
1739209636.4615364;-33.981070128970906
1739209636.4615436;-33.981070128970906
1739209636.4615505;-45.120503652039325
1739209636.4615574;-38.13080360867914
1739209636.4615643;-45.120503652039325
1739209636.4615715;-45.120503652039325
1739209636.4615784;-45.120503652039325
1739209636.4615853;-45.120503652039325
1739209636.4615922;-35.57807855764607
1739209636.4615993;-28.992665084841942
1739209636.4616063;-38.13080360867914
1739209636.4616132;-45.120503652039325
1739209636.4616203;-45.120503652039325
1739209636.4616272;-38.13080360867914
1739209636.4616342;-45.120503652039325
1739209636.461641;-45.120503652039325
1739209636.4616482;-38.13080360867914
1739209636.4616551;-29.438486411369354
1739209636.461662;-45.120503652039325
1739209636.461669;-38.13080360867914
1739209636.4616761;-45.120503652039325
1739209636.461683;-38.13080360867914
1739209636.46169;-45.120503652039325
1739209636.4616969;-45.120503652039325
1739209636.461704;-45.120503652039325
1739209636.461711;-31.141103565318915
1739209636.4617178;-45.120503652039325
1739209636.4617248;-45.120503652039325
1739209636.461732;-38.13080360867914
1739209636.4617388;-32.816014438256545
1739209636.4617457;-35.57807855764607
1739209636.4617527;-38.13080360867914
1739209636.4617598;-45.120503652039325
1739209636.4617667;-35.57807855764607
1739209636.4617736;-38.13080360867914
1739209636.4617808;-45.120503652039325
1739209636.4617877;-45.120503652039325
1739209636.4617946;-45.120503652039325
1739209636.4618015;-35.57807855764607
1739209636.4618087;-38.13080360867914
1739209636.4618156;-45.120503652039325
1739209636.4618225;-38.13080360867914
1739209636.4618294;-35.57807855764607
1739209636.4618366;-45.120503652039325
1739209636.4618435;-45.120503652039325
1739209636.4618504;-45.120503652039325
1739209636.4618573;-45.120503652039325
1739209636.4618645;-38.13080360867914
1739209636.4618714;-35.57807855764607
1739209636.4618783;-28.58837851428586
1739209636.4618852;-32.816014438256545
1739209636.4618924;-45.120503652039325
1739209636.4618993;-38.13080360867914
1739209636.4619062;-38.13080360867914
1739209636.461913;-38.13080360867914
1739209636.4619203;-45.120503652039325
1739209636.4619272;-45.120503652039325
1739209636.461934;-38.13080360867914
1739209636.461941;-33.981070128970906
1739209636.4619482;-38.13080360867914
1739209636.461955;-45.120503652039325
1739209636.461962;-45.120503652039325
1739209636.4619691;-38.13080360867914
1739209636.461976;-45.120503652039325
1739209636.461983;-45.120503652039325
1739209636.4619899;-30.49652367304973
1739209636.461997;-31.141103565318893
1739209636.462004;-38.13080360867914
1739209636.4620109;-35.57807855764607
1739209636.4620178;-38.13080360867914
1739209636.462025;-38.13080360867914
1739209636.4620318;-45.120503652039325
1739209636.4620388;-38.13080360867914
1739209636.4620457;-45.120503652039325
1739209636.4620528;-45.120503652039325
1739209636.4620597;-38.13080360867914
1739209636.4620667;-45.120503652039325
1739209636.4620736;-45.120503652039325
1739209636.4620807;-33.981070128970906
1739209636.4620876;-38.13080360867914
1739209636.4620945;-38.13080360867914
1739209636.4621015;-32.816014438256545
1739209636.4621086;-32.816014438256545
1739209636.4621155;-45.120503652039325
1739209636.4621224;-45.120503652039325
1739209636.4621294;-45.120503652039325
1739209636.4621365;-45.120503652039325
1739209636.4621434;-38.13080360867914
1739209636.4621503;-35.57807855764607
1739209636.4621575;-45.120503652039325
1739209636.4621644;-45.120503652039325
1739209636.4621713;-33.981070128970906
1739209636.4621782;-38.13080360867914
1739209636.4621854;-38.13080360867914
1739209636.4621923;-45.120503652039325
1739209636.4621992;-45.120503652039325
1739209636.4622061;-33.981070128970906
1739209636.4622133;-45.120503652039325
1739209636.4622202;-38.13080360867914
1739209636.462227;-35.57807855764607
1739209636.462234;-38.13080360867914
1739209636.4622412;-45.120503652039325
1739209636.462248;-45.120503652039325
1739209636.462255;-38.13080360867914
1739209636.462262;-38.13080360867914
1739209636.462269;-38.13080360867914
1739209636.462276;-35.57807855764607
1739209636.462283;-38.13080360867914
1739209636.4622898;-45.120503652039325
1739209636.462297;-38.13080360867914
1739209636.4623039;-38.13080360867914
1739209636.4623108;-45.120503652039325
1739209636.462318;-38.13080360867914
1739209636.4623249;-45.120503652039325
1739209636.4623318;-45.120503652039325
1739209636.4623387;-45.120503652039325
1739209636.4623458;-33.981070128970906
1739209636.4623528;-45.120503652039325
1739209636.4623597;-45.120503652039325
1739209636.4623666;-32.816014438256545
1739209636.4623737;-38.13080360867914
1739209636.4623806;-38.13080360867914
1739209636.4623876;-35.57807855764607
1739209636.4623945;-45.120503652039325
1739209636.4624016;-45.120503652039325
1739209636.4624085;-45.120503652039325
1739209636.4624155;-38.13080360867914
1739209636.4624224;-45.120503652039325
1739209636.4624295;-38.13080360867914
1739209636.4624364;-38.13080360867914
1739209636.4624434;-45.120503652039325
1739209636.4624503;-45.120503652039325
1739209636.4624574;-45.120503652039325
1739209636.4624643;-33.981070128970906
1739209636.4624712;-45.120503652039325
1739209636.4624782;-33.981070128970906
1739209636.4624853;-45.120503652039325
1739209636.4624922;-38.13080360867914
1739209636.4624991;-33.981070128970906
1739209636.4625063;-38.13080360867914
1739209636.4625132;-38.13080360867914
1739209636.4625201;-33.981070128970906
1739209636.462527;-32.816014438256545
1739209636.4625342;-45.120503652039325
1739209636.462541;-45.120503652039325
1739209636.462548;-45.120503652039325
1739209636.462555;-45.120503652039325
1739209636.462562;-45.120503652039325
1739209636.462569;-38.13080360867914
1739209636.462576;-38.13080360867914
1739209636.4625828;-45.120503652039325
1739209636.46259;-33.981070128970906
1739209636.462597;-38.13080360867914
1739209636.4626038;-45.120503652039325
1739209636.4626107;-33.981070128970906
1739209636.4626179;-45.120503652039325
1739209636.4626248;-45.120503652039325
1739209636.4626317;-45.120503652039325
1739209636.4626386;-35.57807855764607
1739209636.4626458;-31.141103565318915
1739209636.4626527;-38.13080360867914
1739209636.4626596;-38.13080360867914
1739209636.4626665;-38.13080360867914
1739209636.4626737;-45.120503652039325
1739209636.4626806;-38.13080360867914
1739209636.4626875;-45.120503652039325
1739209636.4626946;-45.120503652039325
1739209636.4627016;-38.13080360867914
1739209636.4627085;-38.13080360867914
1739209636.4627154;-38.13080360867914
1739209636.4627225;-38.13080360867914
1739209636.4627295;-38.13080360867914
1739209636.4627364;-38.13080360867914
1739209636.4627433;-38.13080360867914
1739209636.4627504;-38.13080360867914
1739209636.4627573;-38.13080360867914
1739209636.4627643;-45.120503652039325
1739209636.4627712;-38.13080360867914
1739209636.4627783;-45.120503652039325
1739209636.4627852;-38.13080360867914
1739209636.4627922;-35.57807855764607
1739209636.462799;-38.13080360867914
1739209636.4628062;-45.120503652039325
1739209636.4628131;-45.120503652039325
1739209636.46282;-33.981070128970906
1739209636.462827;-45.120503652039325
1739209636.4628341;-38.13080360867914
1739209636.462841;-38.13080360867914
1739209636.462848;-38.13080360867914
1739209636.462855;-38.13080360867914
1739209636.462862;-38.13080360867914
1739209636.462869;-38.13080360867914
1739209636.4628758;-45.120503652039325
1739209636.462883;-45.120503652039325
1739209636.46289;-45.120503652039325
1739209636.4628968;-45.120503652039325
1739209636.4629037;-45.120503652039325
1739209636.462911;-45.120503652039325
1739209636.4629178;-45.120503652039325
1739209636.4629247;-45.120503652039325
1739209636.4629316;-45.120503652039325
1739209636.4629388;-45.120503652039325
1739209636.4629457;-45.120503652039325
1739209636.4629526;-45.120503652039325
1739209636.4629595;-45.120503652039325
1739209636.4629667;-38.13080360867914
1739209636.4629736;-45.120503652039325
1739209636.4629805;-38.13080360867914
1739209636.4629874;-32.816014438256545
1739209636.4629946;-45.120503652039325
1739209636.4630015;-38.13080360867914
1739209636.4630084;-38.13080360867914
1739209636.4630153;-45.120503652039325
1739209636.4630225;-45.120503652039325
1739209636.4630294;-45.120503652039325
1739209636.4630363;-45.120503652039325
1739209636.4630435;-38.13080360867914
1739209636.4630504;-38.13080360867914
1739209636.4630573;-38.13080360867914
1739209636.4630642;-38.13080360867914
1739209636.4630713;-38.13080360867914
1739209636.4630783;-38.13080360867914
1739209636.4630852;-38.13080360867914
1739209636.463092;-38.13080360867914
1739209636.4630992;-45.120503652039325
1739209636.4631062;-45.120503652039325
1739209636.463113;-45.120503652039325
1739209636.46312;-38.13080360867914
1739209636.4631271;-38.13080360867914
1739209636.463134;-45.120503652039325
1739209636.463141;-38.13080360867914
1739209636.4631479;-45.120503652039325
1739209636.463155;-45.120503652039325
1739209636.463162;-45.120503652039325
1739209636.4631689;-38.13080360867914
1739209636.4631758;-45.120503652039325
1739209636.463183;-38.13080360867914
1739209636.4631898;-38.13080360867914
1739209636.4631968;-35.57807855764607
1739209636.463204;-38.13080360867914
1739209636.4632108;-45.120503652039325
1739209636.4632177;-38.13080360867914
1739209636.4632246;-38.13080360867914
1739209636.4632318;-32.816014438256545
1739209636.4632387;-38.13080360867914
1739209636.4632456;-45.120503652039325
1739209636.4632525;-45.120503652039325
1739209636.4632597;-38.13080360867914
1739209636.4632666;-38.13080360867914
1739209636.4632735;-45.120503652039325
1739209636.4632804;-32.816014438256545
1739209636.4632876;-45.120503652039325
1739209636.4632945;-45.120503652039325
1739209636.4633014;-45.120503652039325
1739209636.4633083;-38.13080360867914
1739209636.4633155;-45.120503652039325
1739209636.4633224;-45.120503652039325
1739209636.4633293;-38.13080360867914
1739209636.4633362;-45.120503652039325
1739209636.4633434;-38.13080360867914
1739209636.4633503;-32.816014438256545
1739209636.4633572;-38.13080360867914
1739209636.4633641;-38.13080360867914
1739209636.4633713;-38.13080360867914
1739209636.4633782;-45.120503652039325
1739209636.463385;-45.120503652039325
1739209636.4633923;-33.981070128970906
1739209636.4633992;-45.120503652039325
1739209636.463406;-45.120503652039325
1739209636.463413;-38.13080360867914
1739209636.4634202;-38.13080360867914
1739209636.463427;-45.120503652039325
1739209636.463434;-45.120503652039325
1739209636.463441;-38.13080360867914
1739209636.463448;-45.120503652039325
