CAN Message; 0x150:000020dd7d804888
Timestamp;Amplitude
1739209887.6312363;-38.13080360867914
1739209887.6312401;-38.13080360867914
1739209887.6312437;-38.13080360867914
1739209887.6312473;-33.981070128970906
1739209887.631251;-33.981070128970906
1739209887.6312547;-38.13080360867914
1739209887.6312585;-45.120503652039325
1739209887.631262;-33.981070128970906
1739209887.6312656;-45.120503652039325
1739209887.6312695;-45.120503652039325
1739209887.631273;-38.13080360867914
1739209887.6312766;-33.981070128970906
1739209887.6312804;-38.13080360867914
1739209887.631284;-38.13080360867914
1739209887.6312876;-38.13080360867914
1739209887.6312914;-45.120503652039325
1739209887.631295;-38.13080360867914
1739209887.6312988;-45.120503652039325
1739209887.6313024;-38.13080360867914
1739209887.631306;-35.57807855764607
1739209887.6313097;-38.13080360867914
1739209887.6313133;-45.120503652039325
1739209887.631317;-35.57807855764607
1739209887.6313207;-32.816014438256545
1739209887.6313243;-45.120503652039325
1739209887.6313279;-45.120503652039325
1739209887.6313317;-45.120503652039325
1739209887.6313353;-38.13080360867914
1739209887.631339;-38.13080360867914
1739209887.6313426;-45.120503652039325
1739209887.6313462;-38.13080360867914
1739209887.63135;-33.981070128970906
1739209887.6313536;-38.13080360867914
1739209887.6313572;-45.120503652039325
1739209887.631361;-45.120503652039325
1739209887.6313646;-38.13080360867914
1739209887.6313682;-38.13080360867914
1739209887.631372;-45.120503652039325
1739209887.6313756;-33.981070128970906
1739209887.6313794;-38.13080360867914
1739209887.631383;-45.120503652039325
1739209887.6313865;-38.13080360867914
1739209887.6313903;-45.120503652039325
1739209887.631394;-33.981070128970906
1739209887.6313975;-31.141103565318915
1739209887.6314013;-45.120503652039325
1739209887.6314049;-45.120503652039325
1739209887.6314085;-35.57807855764607
1739209887.6314123;-38.13080360867914
1739209887.6314158;-38.13080360867914
1739209887.6314197;-35.57807855764607
1739209887.6314232;-38.13080360867914
1739209887.6314268;-35.57807855764607
1739209887.6314306;-45.120503652039325
1739209887.6314342;-45.120503652039325
1739209887.6314378;-45.120503652039325
1739209887.6314416;-38.13080360867914
1739209887.6314452;-38.13080360867914
1739209887.6314487;-38.13080360867914
1739209887.6314526;-35.57807855764607
1739209887.6314561;-35.57807855764607
1739209887.63146;-35.57807855764607
1739209887.6314635;-45.120503652039325
1739209887.631467;-45.120503652039325
1739209887.631471;-45.120503652039325
1739209887.6314745;-45.120503652039325
1739209887.631478;-45.120503652039325
1739209887.631482;-38.13080360867914
1739209887.6314855;-25.826314394896357
1739209887.631489;-31.141103565318915
1739209887.6314929;-38.13080360867914
1739209887.6314964;-38.13080360867914
1739209887.6315002;-38.13080360867914
1739209887.6315038;-38.13080360867914
1739209887.6315074;-38.13080360867914
1739209887.6315112;-45.120503652039325
1739209887.6315148;-31.141103565318943
1739209887.6315184;-45.120503652039325
1739209887.6315222;-45.120503652039325
1739209887.6315258;-45.120503652039325
1739209887.6315296;-38.13080360867914
1739209887.6315331;-35.57807855764607
1739209887.6315367;-38.13080360867914
1739209887.6315405;-38.13080360867914
1739209887.631544;-26.991370085610722
1739209887.6315477;-35.57807855764607
1739209887.6315515;-45.120503652039325
1739209887.631555;-38.13080360867914
1739209887.6315587;-38.13080360867914
1739209887.6315625;-45.120503652039325
1739209887.631566;-35.57807855764607
1739209887.6315699;-38.13080360867914
1739209887.6315734;-45.120503652039325
1739209887.631577;-45.120503652039325
1739209887.6315808;-38.13080360867914
1739209887.6315844;-38.13080360867914
1739209887.631588;-35.57807855764607
1739209887.6315918;-45.120503652039325
1739209887.6315954;-35.57807855764607
1739209887.631599;-31.141103565318915
1739209887.6316028;-45.120503652039325
1739209887.6316063;-45.120503652039325
1739209887.6316102;-45.120503652039325
1739209887.6316137;-38.13080360867914
1739209887.6316173;-45.120503652039325
1739209887.6316211;-35.57807855764607
1739209887.6316247;-45.120503652039325
1739209887.6316283;-45.120503652039325
1739209887.631632;-32.816014438256545
1739209887.6316357;-45.120503652039325
1739209887.6316392;-38.13080360867914
1739209887.631643;-38.13080360867914
1739209887.6316466;-38.13080360867914
1739209887.6316504;-45.120503652039325
1739209887.631654;-45.120503652039325
1739209887.6316576;-45.120503652039325
1739209887.6316614;-45.120503652039325
1739209887.631665;-45.120503652039325
1739209887.6316686;-45.120503652039325
1739209887.6316724;-45.120503652039325
1739209887.631676;-35.57807855764607
1739209887.6316795;-35.57807855764607
1739209887.6316833;-45.120503652039325
1739209887.631687;-45.120503652039325
1739209887.6316907;-45.120503652039325
1739209887.6316943;-38.13080360867914
1739209887.631698;-38.13080360867914
1739209887.6317017;-45.120503652039325
1739209887.6317053;-45.120503652039325
1739209887.6317089;-38.13080360867914
1739209887.6317127;-35.57807855764607
1739209887.6317163;-35.57807855764607
1739209887.6317198;-45.120503652039325
1739209887.6317236;-33.981070128970956
1739209887.6317272;-45.120503652039325
1739209887.631731;-33.981070128970906
1739209887.6317346;-45.120503652039325
1739209887.6317382;-45.120503652039325
1739209887.631742;-38.13080360867914
1739209887.6317456;-35.57807855764607
1739209887.6317492;-45.120503652039325
1739209887.631753;-38.13080360867914
1739209887.6317565;-35.57807855764607
1739209887.6317601;-38.13080360867914
1739209887.631764;-45.120503652039325
1739209887.6317675;-38.13080360867914
1739209887.6317713;-38.13080360867914
1739209887.631775;-45.120503652039325
1739209887.6317785;-45.120503652039325
1739209887.6317823;-31.141103565318915
