CAN Message; 0x1a7:0000e6b9a3976870
Timestamp;Amplitude
1739209619.2873797;-32.816014438256545
1739209619.2873893;-45.120503652039325
1739209619.287399;-38.13080360867914
1739209619.2874086;-33.981070128970906
1739209619.2874184;-33.981070128970906
1739209619.287428;-33.981070128970906
1739209619.2874377;-45.120503652039325
1739209619.2874472;-38.13080360867914
1739209619.287457;-45.120503652039325
1739209619.2874665;-38.13080360867914
1739209619.2874763;-45.120503652039325
1739209619.2874858;-38.13080360867914
1739209619.2874956;-31.141103565318915
1739209619.2875051;-33.981070128970906
1739209619.287515;-45.120503652039325
1739209619.2875245;-38.13080360867914
1739209619.2875342;-33.981070128970906
1739209619.2875438;-38.13080360867914
1739209619.2875535;-45.120503652039325
1739209619.2875633;-45.120503652039325
1739209619.2875729;-38.13080360867914
1739209619.2875826;-33.981070128970906
1739209619.2875922;-38.13080360867914
1739209619.287602;-45.120503652039325
1739209619.2876115;-35.57807855764607
1739209619.2876213;-35.57807855764607
1739209619.2876308;-45.120503652039325
1739209619.2876406;-38.13080360867914
1739209619.28765;-30.49652367304973
1739209619.28766;-38.13080360867914
1739209619.2876694;-45.120503652039325
1739209619.2876792;-45.120503652039325
1739209619.2876887;-45.120503652039325
1739209619.2876985;-38.13080360867914
1739209619.287708;-45.120503652039325
1739209619.2877178;-45.120503652039325
1739209619.2877274;-38.13080360867914
1739209619.2877371;-38.13080360867914
1739209619.287747;-38.13080360867914
1739209619.2877564;-45.120503652039325
1739209619.2877662;-35.57807855764607
1739209619.2877758;-38.13080360867914
1739209619.2877855;-45.120503652039325
1739209619.287795;-45.120503652039325
1739209619.2878048;-35.57807855764607
1739209619.2878144;-33.981070128970906
1739209619.2878242;-38.13080360867914
1739209619.2878337;-45.120503652039325
1739209619.2878435;-45.120503652039325
1739209619.287853;-33.981070128970906
1739209619.2878628;-45.120503652039325
1739209619.2878723;-45.120503652039325
1739209619.287882;-33.981070128970906
1739209619.2878916;-45.120503652039325
1739209619.2879014;-45.120503652039325
1739209619.287911;-45.120503652039325
1739209619.2879207;-33.981070128970906
1739209619.2879305;-45.120503652039325
1739209619.28794;-38.13080360867914
1739209619.2879498;-45.120503652039325
1739209619.2879593;-45.120503652039325
1739209619.287969;-38.13080360867914
1739209619.2879786;-38.13080360867914
1739209619.2879884;-45.120503652039325
1739209619.287998;-38.13080360867914
1739209619.2880077;-35.57807855764607
1739209619.2880173;-45.120503652039325
1739209619.288027;-33.981070128970906
1739209619.2880366;-38.13080360867914
1739209619.2880464;-45.120503652039325
1739209619.288056;-38.13080360867914
1739209619.2880657;-38.13080360867914
1739209619.2880752;-45.120503652039325
1739209619.288085;-45.120503652039325
1739209619.2880945;-38.13080360867914
1739209619.2881043;-45.120503652039325
1739209619.288114;-45.120503652039325
1739209619.2881236;-38.13080360867914
1739209619.2881334;-38.13080360867914
1739209619.288143;-45.120503652039325
1739209619.2881527;-45.120503652039325
1739209619.2881622;-38.13080360867914
1739209619.288172;-45.120503652039325
1739209619.2881815;-38.13080360867914
1739209619.2881913;-45.120503652039325
1739209619.2882009;-38.13080360867914
1739209619.2882106;-38.13080360867914
1739209619.2882202;-33.981070128970906
1739209619.28823;-45.120503652039325
1739209619.2882395;-45.120503652039325
1739209619.2882493;-35.57807855764607
1739209619.2882588;-35.57807855764607
1739209619.2882686;-45.120503652039325
1739209619.288278;-38.13080360867914
1739209619.2882879;-33.981070128970906
1739209619.2882977;-38.13080360867914
1739209619.2883072;-38.13080360867914
1739209619.288317;-38.13080360867914
1739209619.2883265;-45.120503652039325
1739209619.2883363;-38.13080360867914
1739209619.2883458;-38.13080360867914
1739209619.2883556;-33.981070128970906
1739209619.2883651;-38.13080360867914
1739209619.288375;-38.13080360867914
1739209619.2883844;-45.120503652039325
1739209619.2883942;-38.13080360867914
1739209619.2884037;-45.120503652039325
1739209619.2884135;-45.120503652039325
1739209619.288423;-35.57807855764607
1739209619.2884328;-38.13080360867914
1739209619.2884424;-45.120503652039325
1739209619.2884521;-45.120503652039325
1739209619.2884617;-38.13080360867914
1739209619.2884715;-35.57807855764607
1739209619.2884812;-45.120503652039325
1739209619.2884908;-45.120503652039325
1739209619.2885005;-32.816014438256545
1739209619.28851;-31.141103565318915
1739209619.2885199;-45.120503652039325
1739209619.2885294;-38.13080360867914
1739209619.2885392;-35.57807855764607
1739209619.2885487;-33.981070128970906
1739209619.2885585;-45.120503652039325
1739209619.288568;-45.120503652039325
1739209619.2885778;-45.120503652039325
1739209619.2885873;-45.120503652039325
1739209619.288597;-45.120503652039325
1739209619.2886066;-45.120503652039325
1739209619.2886164;-45.120503652039325
1739209619.288626;-45.120503652039325
1739209619.2886357;-45.120503652039325
1739209619.2886453;-45.120503652039325
1739209619.288655;-38.13080360867914
1739209619.2886648;-38.13080360867914
1739209619.2886744;-45.120503652039325
1739209619.2886841;-45.120503652039325
1739209619.2886937;-45.120503652039325
1739209619.2887034;-45.120503652039325
1739209619.288713;-45.120503652039325
1739209619.2887228;-38.13080360867914
1739209619.2887323;-33.981070128970906
1739209619.288742;-33.981070128970906
1739209619.2887516;-38.13080360867914
1739209619.2887614;-45.120503652039325
1739209619.288771;-45.120503652039325
1739209619.2887807;-38.13080360867914
1739209619.2887902;-33.981070128970906
1739209619.2888;-33.981070128970906
1739209619.2888095;-38.13080360867914
1739209619.2888193;-32.816014438256545
1739209619.2888288;-38.13080360867914
1739209619.2888386;-45.120503652039325
1739209619.2888484;-45.120503652039325
1739209619.288858;-38.13080360867914
1739209619.2888677;-35.57807855764607
1739209619.2888772;-38.13080360867914
1739209619.288887;-45.120503652039325
1739209619.2888966;-33.981070128970906
1739209619.2889063;-33.981070128970906
1739209619.2889159;-38.13080360867914
1739209619.2889256;-45.120503652039325
1739209619.2889352;-45.120503652039325
1739209619.288945;-38.13080360867914
1739209619.2889545;-45.120503652039325
1739209619.2889643;-45.120503652039325
1739209619.2889738;-31.141103565318915
1739209619.2889836;-31.141103565318915
1739209619.2889931;-38.13080360867914
1739209619.289003;-38.13080360867914
1739209619.2890124;-38.13080360867914
1739209619.2890222;-45.120503652039325
1739209619.289032;-45.120503652039325
1739209619.2890415;-45.120503652039325
1739209619.2890513;-38.13080360867914
1739209619.2890608;-45.120503652039325
1739209619.2890706;-45.120503652039325
1739209619.2890801;-38.13080360867914
1739209619.28909;-33.981070128970906
1739209619.2890995;-45.120503652039325
1739209619.2891092;-45.120503652039325
1739209619.2891188;-35.57807855764607
1739209619.2891285;-35.57807855764607
1739209619.289138;-45.120503652039325
1739209619.2891479;-45.120503652039325
1739209619.2891574;-35.57807855764607
1739209619.2891672;-35.57807855764607
1739209619.2891767;-45.120503652039325
1739209619.2891865;-45.120503652039325
1739209619.289196;-38.13080360867914
1739209619.2892058;-33.981070128970906
1739209619.2892156;-45.120503652039325
1739209619.289225;-38.13080360867914
1739209619.2892349;-38.13080360867914
1739209619.2892444;-38.13080360867914
1739209619.2892542;-38.13080360867914
