CAN Message; 0x150:0600b749cc75e2b7
Timestamp;Amplitude
1739209892.394468;-38.13080360867914
1739209892.3944743;-45.120503652039325
1739209892.3944802;-35.57807855764607
1739209892.3944862;-31.141103565318915
1739209892.3944924;-38.13080360867914
1739209892.3944983;-38.13080360867914
1739209892.3945043;-35.57807855764607
1739209892.3945105;-33.981070128970906
1739209892.3945165;-45.120503652039325
1739209892.3945224;-45.120503652039325
1739209892.3945284;-38.13080360867914
1739209892.3945346;-45.120503652039325
1739209892.3945405;-45.120503652039325
1739209892.3945465;-38.13080360867914
1739209892.3945527;-38.13080360867914
1739209892.3945587;-45.120503652039325
1739209892.3945646;-45.120503652039325
1739209892.3945708;-45.120503652039325
1739209892.3945768;-45.120503652039325
1739209892.3945827;-38.13080360867914
1739209892.394589;-38.13080360867914
1739209892.394595;-38.13080360867914
1739209892.3946009;-35.57807855764607
1739209892.394607;-35.57807855764607
1739209892.394613;-45.120503652039325
1739209892.394619;-45.120503652039325
1739209892.3946252;-33.981070128970906
1739209892.3946311;-45.120503652039325
1739209892.394637;-33.981070128970956
1739209892.3946433;-38.13080360867914
1739209892.3946493;-35.57807855764607
1739209892.3946552;-45.120503652039325
1739209892.3946612;-38.13080360867914
1739209892.3946674;-35.57807855764607
1739209892.3946733;-38.13080360867914
1739209892.3946793;-32.816014438256545
1739209892.3946855;-30.49652367304973
1739209892.3946915;-38.13080360867914
1739209892.3946974;-35.57807855764607
1739209892.3947036;-38.13080360867914
1739209892.3947096;-45.120503652039325
1739209892.3947155;-45.120503652039325
1739209892.3947217;-45.120503652039325
1739209892.3947277;-45.120503652039325
1739209892.3947337;-45.120503652039325
1739209892.3947399;-45.120503652039325
1739209892.3947458;-35.57807855764607
1739209892.3947518;-38.13080360867914
1739209892.394758;-38.13080360867914
1739209892.394764;-45.120503652039325
1739209892.39477;-45.120503652039325
1739209892.394776;-45.120503652039325
1739209892.394782;-45.120503652039325
1739209892.394788;-45.120503652039325
1739209892.394794;-38.13080360867914
1739209892.3948002;-45.120503652039325
1739209892.3948061;-45.120503652039325
1739209892.394812;-33.981070128970906
1739209892.3948183;-38.13080360867914
1739209892.3948243;-38.13080360867914
1739209892.3948302;-35.57807855764607
1739209892.3948364;-45.120503652039325
1739209892.3948424;-35.57807855764607
1739209892.3948483;-38.13080360867914
1739209892.3948545;-45.120503652039325
1739209892.3948605;-45.120503652039325
1739209892.3948665;-29.438486411369333
1739209892.3948727;-45.120503652039325
1739209892.3948786;-45.120503652039325
1739209892.3948846;-45.120503652039325
1739209892.3948908;-38.13080360867914
1739209892.3948967;-33.981070128970906
1739209892.3949027;-38.13080360867914
1739209892.3949087;-35.57807855764607
1739209892.3949149;-35.57807855764607
1739209892.3949208;-33.981070128970906
1739209892.3949268;-45.120503652039325
1739209892.394933;-45.120503652039325
1739209892.394939;-45.120503652039325
1739209892.394945;-35.57807855764607
1739209892.394951;-38.13080360867914
1739209892.394957;-38.13080360867914
1739209892.394963;-33.981070128970906
1739209892.3949692;-45.120503652039325
1739209892.3949752;-45.120503652039325
1739209892.3949811;-45.120503652039325
1739209892.3949873;-45.120503652039325
1739209892.3949933;-45.120503652039325
1739209892.3949993;-38.13080360867914
1739209892.3950055;-38.13080360867914
1739209892.3950114;-38.13080360867914
1739209892.3950174;-45.120503652039325
1739209892.3950236;-38.13080360867914
1739209892.3950295;-38.13080360867914
1739209892.3950355;-45.120503652039325
1739209892.3950415;-38.13080360867914
1739209892.3950477;-45.120503652039325
1739209892.3950536;-38.13080360867914
1739209892.3950596;-38.13080360867914
1739209892.3950658;-38.13080360867914
1739209892.3950717;-45.120503652039325
1739209892.3950777;-45.120503652039325
1739209892.395084;-45.120503652039325
1739209892.3950899;-45.120503652039325
1739209892.3950958;-45.120503652039325
1739209892.395102;-45.120503652039325
1739209892.395108;-32.816014438256545
1739209892.395114;-45.120503652039325
1739209892.3951201;-45.120503652039325
1739209892.395126;-33.981070128970906
1739209892.395132;-45.120503652039325
1739209892.3951383;-45.120503652039325
1739209892.3951442;-30.49652367304973
1739209892.3951502;-32.816014438256545
1739209892.3951561;-45.120503652039325
1739209892.3951623;-33.981070128970906
1739209892.3951683;-35.57807855764607
1739209892.3951743;-38.13080360867914
1739209892.3951805;-45.120503652039325
1739209892.3951864;-45.120503652039325
1739209892.3951924;-45.120503652039325
1739209892.3951986;-45.120503652039325
1739209892.3952045;-33.981070128970906
1739209892.3952105;-38.13080360867914
1739209892.3952167;-45.120503652039325
1739209892.3952227;-38.13080360867914
1739209892.3952286;-45.120503652039325
1739209892.3952348;-38.13080360867914
1739209892.3952408;-32.816014438256545
1739209892.3952467;-38.13080360867914
1739209892.395253;-45.120503652039325
1739209892.395259;-38.13080360867914
1739209892.3952649;-32.816014438256545
1739209892.395271;-27.267205301931607
1739209892.395277;-45.120503652039325
1739209892.395283;-38.13080360867914
1739209892.395289;-35.57807855764607
1739209892.3952951;-38.13080360867914
1739209892.395301;-45.120503652039325
1739209892.395307;-45.120503652039325
1739209892.3953133;-45.120503652039325
1739209892.3953192;-30.49652367304973
1739209892.3953252;-38.13080360867914
1739209892.3953314;-38.13080360867914
1739209892.3953373;-38.13080360867914
1739209892.3953433;-38.13080360867914
1739209892.3953495;-38.13080360867914
1739209892.3953555;-45.120503652039325
