CAN Message; 0x1a7:0000d61c037f0f2b
Timestamp;Amplitude
1739209758.6031284;-38.13080360867914
1739209758.603132;-45.120503652039325
1739209758.6031353;-45.120503652039325
1739209758.6031387;-45.120503652039325
1739209758.603142;-45.120503652039325
1739209758.6031456;-38.13080360867914
1739209758.603149;-45.120503652039325
1739209758.6031523;-45.120503652039325
1739209758.6031556;-38.13080360867914
1739209758.6031592;-45.120503652039325
1739209758.6031625;-45.120503652039325
1739209758.6031659;-38.13080360867914
1739209758.6031694;-33.981070128970906
1739209758.6031728;-38.13080360867914
1739209758.603176;-45.120503652039325
1739209758.6031795;-38.13080360867914
1739209758.603183;-38.13080360867914
1739209758.6031864;-33.981070128970906
1739209758.6031897;-45.120503652039325
1739209758.603193;-33.981070128970906
1739209758.6031966;-33.981070128970906
1739209758.6032;-38.13080360867914
1739209758.6032033;-38.13080360867914
1739209758.6032069;-38.13080360867914
1739209758.6032102;-38.13080360867914
1739209758.6032135;-38.13080360867914
1739209758.603217;-38.13080360867914
1739209758.6032205;-32.816014438256545
1739209758.6032238;-31.141103565318915
1739209758.6032271;-38.13080360867914
1739209758.6032307;-45.120503652039325
1739209758.603234;-38.13080360867914
1739209758.6032374;-38.13080360867914
1739209758.6032407;-45.120503652039325
1739209758.6032443;-45.120503652039325
1739209758.6032476;-45.120503652039325
1739209758.603251;-38.13080360867914
1739209758.6032543;-45.120503652039325
1739209758.603258;-45.120503652039325
1739209758.6032612;-38.13080360867914
1739209758.6032646;-38.13080360867914
1739209758.6032681;-38.13080360867914
1739209758.6032715;-33.981070128970906
1739209758.6032748;-31.141103565318915
1739209758.6032782;-33.981070128970906
1739209758.6032817;-35.57807855764607
1739209758.603285;-38.13080360867914
1739209758.6032884;-45.120503652039325
1739209758.6032917;-32.816014438256545
1739209758.6032953;-38.13080360867914
1739209758.6032987;-45.120503652039325
1739209758.603302;-33.981070128970906
1739209758.6033056;-31.141103565318915
1739209758.603309;-38.13080360867914
1739209758.6033123;-45.120503652039325
1739209758.6033156;-45.120503652039325
1739209758.6033192;-45.120503652039325
1739209758.6033225;-45.120503652039325
1739209758.6033258;-38.13080360867914
1739209758.6033292;-38.13080360867914
