CAN Message; 0x1bb:00009a71d862d5be
Timestamp;Amplitude
1739209780.5224934;-38.13080360867914
1739209780.5225012;-45.120503652039325
1739209780.5225093;-33.981070128970906
1739209780.5225174;-28.58837851428586
1739209780.5225253;-45.120503652039325
1739209780.5225334;-45.120503652039325
1739209780.5225415;-38.13080360867914
1739209780.5225494;-38.13080360867914
1739209780.5225575;-45.120503652039325
1739209780.5225656;-35.57807855764607
1739209780.5225735;-38.13080360867914
1739209780.5225816;-38.13080360867914
1739209780.5225897;-45.120503652039325
1739209780.5225976;-45.120503652039325
1739209780.5226057;-45.120503652039325
1739209780.5226138;-38.13080360867914
1739209780.5226216;-33.981070128970906
1739209780.5226297;-45.120503652039325
1739209780.5226378;-38.13080360867914
1739209780.5226457;-32.816014438256545
1739209780.5226538;-45.120503652039325
1739209780.522662;-38.13080360867914
1739209780.5226698;-38.13080360867914
1739209780.522678;-45.120503652039325
1739209780.522686;-45.120503652039325
1739209780.5226939;-38.13080360867914
1739209780.522702;-38.13080360867914
1739209780.52271;-35.57807855764607
1739209780.522718;-38.13080360867914
1739209780.522726;-38.13080360867914
1739209780.5227342;-38.13080360867914
1739209780.522742;-45.120503652039325
1739209780.5227501;-45.120503652039325
1739209780.5227582;-38.13080360867914
1739209780.522766;-45.120503652039325
1739209780.5227742;-45.120503652039325
1739209780.5227823;-38.13080360867914
1739209780.5227902;-32.816014438256545
1739209780.5227983;-45.120503652039325
1739209780.5228064;-38.13080360867914
1739209780.5228143;-33.981070128970906
1739209780.5228224;-35.57807855764607
1739209780.5228305;-38.13080360867914
1739209780.5228384;-32.816014438256545
1739209780.5228465;-45.120503652039325
1739209780.5228546;-38.13080360867914
1739209780.5228624;-45.120503652039325
1739209780.5228705;-45.120503652039325
1739209780.5228786;-45.120503652039325
1739209780.5228865;-38.13080360867914
1739209780.5228946;-38.13080360867914
1739209780.5229027;-45.120503652039325
1739209780.5229108;-38.13080360867914
1739209780.5229187;-38.13080360867914
1739209780.5229268;-45.120503652039325
1739209780.522935;-38.13080360867914
1739209780.5229428;-38.13080360867914
1739209780.522951;-45.120503652039325
1739209780.522959;-45.120503652039325
1739209780.5229669;-45.120503652039325
1739209780.522975;-45.120503652039325
1739209780.522983;-38.13080360867914
1739209780.522991;-38.13080360867914
1739209780.522999;-45.120503652039325
