CAN Message; 0x62:08007ccb82839c9d
Timestamp;Amplitude
1739209901.2747247;-35.57807855764607
1739209901.2747328;-35.57807855764607
1739209901.2747407;-38.13080360867914
1739209901.2747486;-45.120503652039325
1739209901.2747567;-45.120503652039325
1739209901.2747645;-45.120503652039325
1739209901.2747724;-45.120503652039325
1739209901.2747803;-45.120503652039325
1739209901.2747884;-45.120503652039325
1739209901.2747962;-38.13080360867914
1739209901.274804;-38.13080360867914
1739209901.2748122;-35.57807855764607
1739209901.27482;-45.120503652039325
1739209901.274828;-45.120503652039325
1739209901.274836;-45.120503652039325
1739209901.274844;-35.57807855764607
1739209901.2748518;-45.120503652039325
1739209901.27486;-38.13080360867914
1739209901.2748678;-38.13080360867914
1739209901.2748756;-45.120503652039325
1739209901.2748837;-32.816014438256545
1739209901.2748916;-33.981070128970906
1739209901.2748995;-45.120503652039325
1739209901.2749074;-45.120503652039325
1739209901.2749155;-38.13080360867914
1739209901.2749233;-38.13080360867914
1739209901.2749312;-45.120503652039325
1739209901.2749393;-45.120503652039325
1739209901.2749472;-45.120503652039325
1739209901.274955;-45.120503652039325
1739209901.2749631;-38.13080360867914
1739209901.274971;-35.57807855764607
1739209901.2749789;-45.120503652039325
1739209901.274987;-45.120503652039325
1739209901.2749949;-38.13080360867914
1739209901.2750027;-45.120503652039325
1739209901.2750106;-33.981070128970906
1739209901.2750187;-38.13080360867914
1739209901.2750266;-38.13080360867914
1739209901.2750344;-35.57807855764607
1739209901.2750425;-38.13080360867914
1739209901.2750504;-45.120503652039325
1739209901.2750583;-45.120503652039325
1739209901.2750664;-45.120503652039325
1739209901.2750742;-45.120503652039325
1739209901.275082;-45.120503652039325
1739209901.2750902;-38.13080360867914
1739209901.275098;-38.13080360867914
1739209901.275106;-45.120503652039325
1739209901.2751138;-38.13080360867914
1739209901.275122;-38.13080360867914
1739209901.2751298;-45.120503652039325
1739209901.2751377;-45.120503652039325
1739209901.2751458;-35.57807855764607
1739209901.2751536;-38.13080360867914
1739209901.2751615;-32.816014438256545
1739209901.2751696;-38.13080360867914
1739209901.2751775;-38.13080360867914
1739209901.2751853;-45.120503652039325
1739209901.2751935;-38.13080360867914
1739209901.2752013;-35.57807855764607
1739209901.2752092;-45.120503652039325
1739209901.2752173;-38.13080360867914
1739209901.2752252;-38.13080360867914
1739209901.275233;-45.120503652039325
1739209901.275241;-32.816014438256545
1739209901.275249;-38.13080360867914
1739209901.2752569;-45.120503652039325
1739209901.2752647;-38.13080360867914
1739209901.2752728;-38.13080360867914
1739209901.2752807;-38.13080360867914
1739209901.2752886;-45.120503652039325
1739209901.2752967;-38.13080360867914
1739209901.2753046;-45.120503652039325
1739209901.2753124;-33.981070128970906
1739209901.2753205;-35.57807855764607
1739209901.2753284;-35.57807855764607
1739209901.2753363;-38.13080360867914
1739209901.2753441;-45.120503652039325
1739209901.2753522;-45.120503652039325
1739209901.27536;-45.120503652039325
1739209901.275368;-38.13080360867914
1739209901.275376;-38.13080360867914
1739209901.275384;-45.120503652039325
1739209901.2753918;-38.13080360867914
1739209901.2754;-38.13080360867914
1739209901.2754078;-28.992665084841942
1739209901.2754157;-45.120503652039325
1739209901.2754238;-45.120503652039325
1739209901.2754316;-45.120503652039325
1739209901.2754395;-33.981070128970906
1739209901.2754474;-45.120503652039325
1739209901.2754555;-45.120503652039325
1739209901.2754633;-45.120503652039325
1739209901.2754712;-45.120503652039325
1739209901.2754793;-45.120503652039325
1739209901.2754872;-45.120503652039325
1739209901.275495;-38.13080360867914
1739209901.2755032;-38.13080360867914
1739209901.275511;-45.120503652039325
1739209901.275519;-45.120503652039325
1739209901.275527;-38.13080360867914
1739209901.2755349;-31.141103565318915
1739209901.2755427;-38.13080360867914
1739209901.2755508;-45.120503652039325
1739209901.2755587;-45.120503652039325
1739209901.2755666;-31.141103565318915
1739209901.2755744;-38.13080360867914
1739209901.2755826;-45.120503652039325
1739209901.2755904;-45.120503652039325
1739209901.2755983;-33.981070128970906
1739209901.2756064;-38.13080360867914
1739209901.2756143;-45.120503652039325
1739209901.2756221;-45.120503652039325
1739209901.2756302;-45.120503652039325
1739209901.275638;-45.120503652039325
1739209901.275646;-38.13080360867914
1739209901.275654;-35.57807855764607
1739209901.275662;-38.13080360867914
1739209901.2756698;-38.13080360867914
1739209901.2756777;-45.120503652039325
1739209901.2756858;-45.120503652039325
1739209901.2756937;-38.13080360867914
1739209901.2757015;-45.120503652039325
1739209901.2757096;-45.120503652039325
1739209901.2757175;-35.57807855764607
1739209901.2757254;-27.267205301931607
1739209901.2757335;-38.13080360867914
1739209901.2757413;-38.13080360867914
1739209901.2757492;-45.120503652039325
1739209901.2757573;-38.13080360867914
1739209901.2757652;-38.13080360867914
1739209901.275773;-38.13080360867914
1739209901.275781;-35.57807855764607
1739209901.275789;-33.981070128970906
1739209901.275797;-45.120503652039325
1739209901.2758048;-45.120503652039325
1739209901.2758129;-38.13080360867914
1739209901.2758207;-45.120503652039325
1739209901.2758286;-45.120503652039325
1739209901.2758367;-45.120503652039325
1739209901.2758446;-38.13080360867914
1739209901.2758524;-33.981070128970906
1739209901.2758605;-38.13080360867914
1739209901.2758684;-45.120503652039325
1739209901.2758763;-45.120503652039325
1739209901.2758844;-38.13080360867914
1739209901.2758923;-38.13080360867914
1739209901.2759001;-38.13080360867914
1739209901.275908;-38.13080360867914
1739209901.275916;-45.120503652039325
1739209901.275924;-45.120503652039325
1739209901.2759318;-38.13080360867914
1739209901.27594;-38.13080360867914
1739209901.2759478;-45.120503652039325
1739209901.2759557;-45.120503652039325
1739209901.2759638;-45.120503652039325
1739209901.2759717;-45.120503652039325
1739209901.2759795;-38.13080360867914
1739209901.2759876;-38.13080360867914
1739209901.2759955;-38.13080360867914
1739209901.2760034;-38.13080360867914
1739209901.2760112;-38.13080360867914
1739209901.2760193;-45.120503652039325
1739209901.2760272;-38.13080360867914
1739209901.276035;-35.57807855764607
1739209901.2760432;-38.13080360867914
1739209901.276051;-38.13080360867914
1739209901.276059;-38.13080360867914
1739209901.276067;-45.120503652039325
1739209901.276075;-38.13080360867914
1739209901.2760828;-38.13080360867914
1739209901.2760909;-38.13080360867914
1739209901.2760987;-35.57807855764607
1739209901.2761066;-35.57807855764607
1739209901.2761145;-31.141103565318915
1739209901.2761226;-38.13080360867914
1739209901.2761304;-38.13080360867914
1739209901.2761383;-38.13080360867914
1739209901.2761464;-38.13080360867914
1739209901.2761543;-45.120503652039325
1739209901.2761621;-45.120503652039325
1739209901.2761703;-45.120503652039325
1739209901.2761781;-33.981070128970906
1739209901.276186;-35.57807855764607
1739209901.276194;-38.13080360867914
1739209901.276202;-38.13080360867914
1739209901.2762098;-38.13080360867914
1739209901.276218;-38.13080360867914
1739209901.2762258;-38.13080360867914
1739209901.2762337;-33.981070128970906
1739209901.2762415;-26.991370085610722
1739209901.2762496;-38.13080360867914
1739209901.2762575;-38.13080360867914
1739209901.2762654;-35.57807855764607
1739209901.2762735;-45.120503652039325
1739209901.2762814;-45.120503652039325
1739209901.2762892;-45.120503652039325
1739209901.2762973;-45.120503652039325
1739209901.2763052;-33.981070128970956
1739209901.276313;-45.120503652039325
1739209901.2763212;-45.120503652039325
1739209901.276329;-38.13080360867914
1739209901.276337;-45.120503652039325
1739209901.2763448;-45.120503652039325
1739209901.276353;-35.57807855764607
1739209901.2763608;-35.57807855764607
1739209901.2763686;-45.120503652039325
1739209901.2763767;-38.13080360867914
1739209901.2763846;-38.13080360867914
1739209901.2763925;-45.120503652039325
1739209901.2764006;-45.120503652039325
1739209901.2764084;-45.120503652039325
1739209901.2764163;-45.120503652039325
1739209901.2764244;-45.120503652039325
1739209901.2764323;-38.13080360867914
1739209901.2764401;-45.120503652039325
1739209901.276448;-35.57807855764607
1739209901.276456;-35.57807855764607
1739209901.276464;-33.981070128970906
1739209901.2764719;-45.120503652039325
1739209901.27648;-38.13080360867914
1739209901.2764878;-38.13080360867914
1739209901.2764957;-45.120503652039325
1739209901.2765038;-33.981070128970906
1739209901.2765117;-45.120503652039325
1739209901.2765195;-45.120503652039325
1739209901.2765276;-45.120503652039325
1739209901.2765355;-33.981070128970906
1739209901.2765434;-45.120503652039325
1739209901.2765515;-45.120503652039325
1739209901.2765594;-31.141103565318893
1739209901.2765672;-35.57807855764607
1739209901.276575;-45.120503652039325
1739209901.2765832;-33.981070128970906
1739209901.276591;-38.13080360867914
1739209901.276599;-45.120503652039325
1739209901.276607;-45.120503652039325
1739209901.276615;-45.120503652039325
1739209901.2766228;-45.120503652039325
1739209901.2766309;-45.120503652039325
1739209901.2766387;-45.120503652039325
1739209901.2766466;-38.13080360867914
1739209901.2766547;-35.57807855764607
1739209901.2766626;-32.816014438256545
1739209901.2766705;-38.13080360867914
1739209901.2766783;-45.120503652039325
1739209901.2766864;-32.816014438256545
1739209901.2766943;-33.981070128970906
1739209901.2767022;-45.120503652039325
1739209901.2767103;-45.120503652039325
1739209901.2767181;-45.120503652039325
1739209901.276726;-45.120503652039325
1739209901.276734;-35.57807855764607
1739209901.276742;-38.13080360867914
1739209901.2767498;-38.13080360867914
1739209901.276758;-45.120503652039325
1739209901.2767658;-45.120503652039325
