CAN Message; 0x1bb:000061b1aa0be3aa
Timestamp;Amplitude
1739209720.0719945;-33.981070128970906
1739209720.0720012;-38.13080360867914
1739209720.072008;-45.120503652039325
1739209720.0720146;-32.816014438256545
1739209720.0720212;-31.14110356531892
1739209720.072028;-45.120503652039325
1739209720.0720346;-45.120503652039325
1739209720.0720413;-38.13080360867914
1739209720.072048;-38.13080360867914
1739209720.0720546;-45.120503652039325
1739209720.0720613;-45.120503652039325
1739209720.072068;-45.120503652039325
1739209720.0720747;-45.120503652039325
1739209720.0720813;-45.120503652039325
1739209720.072088;-45.120503652039325
1739209720.0720947;-45.120503652039325
1739209720.0721014;-38.13080360867914
1739209720.072108;-45.120503652039325
1739209720.0721147;-45.120503652039325
1739209720.0721214;-38.13080360867914
1739209720.072128;-31.141103565318915
1739209720.0721347;-33.981070128970906
1739209720.0721414;-38.13080360867914
1739209720.072148;-38.13080360867914
1739209720.0721548;-38.13080360867914
1739209720.0721614;-35.57807855764607
1739209720.072168;-38.13080360867914
1739209720.0721748;-35.57807855764607
1739209720.0721815;-30.49652367304973
1739209720.0721881;-33.981070128970906
1739209720.0721948;-45.120503652039325
1739209720.0722015;-33.981070128970906
1739209720.0722082;-38.13080360867914
1739209720.0722148;-45.120503652039325
1739209720.0722215;-45.120503652039325
1739209720.0722282;-38.13080360867914
1739209720.0722349;-31.141103565318915
1739209720.0722415;-33.981070128970906
1739209720.0722482;-45.120503652039325
1739209720.072255;-38.13080360867914
1739209720.0722616;-38.13080360867914
1739209720.0722682;-45.120503652039325
1739209720.072275;-38.13080360867914
1739209720.0722816;-38.13080360867914
1739209720.0722883;-38.13080360867914
1739209720.072295;-38.13080360867914
1739209720.0723016;-45.120503652039325
1739209720.0723083;-38.13080360867914
1739209720.072315;-38.13080360867914
1739209720.0723217;-45.120503652039325
1739209720.0723283;-38.13080360867914
1739209720.072335;-35.57807855764607
1739209720.0723417;-35.57807855764607
1739209720.0723484;-45.120503652039325
1739209720.072355;-45.120503652039325
1739209720.0723617;-45.120503652039325
1739209720.0723684;-45.120503652039325
1739209720.072375;-45.120503652039325
1739209720.0723817;-45.120503652039325
1739209720.0723884;-38.13080360867914
1739209720.072395;-38.13080360867914
1739209720.0724018;-38.13080360867914
1739209720.0724084;-45.120503652039325
1739209720.072415;-45.120503652039325
1739209720.0724218;-45.120503652039325
1739209720.0724285;-32.816014438256545
