CAN Message; 0x39:061487e3fdff5be9
Timestamp;Amplitude
1739209829.751288;-45.120503652039325
1739209829.7512925;-38.13080360867914
1739209829.751297;-45.120503652039325
1739209829.7513015;-45.120503652039325
1739209829.751306;-38.13080360867914
1739209829.7513106;-38.13080360867914
1739209829.751315;-38.13080360867914
1739209829.7513196;-38.13080360867914
1739209829.7513242;-33.981070128970906
1739209829.7513287;-38.13080360867914
1739209829.7513332;-38.13080360867914
1739209829.7513378;-33.981070128970906
1739209829.7513423;-33.981070128970906
1739209829.7513468;-45.120503652039325
1739209829.7513514;-45.120503652039325
1739209829.751356;-38.13080360867914
1739209829.7513604;-45.120503652039325
1739209829.751365;-38.13080360867914
1739209829.7513695;-45.120503652039325
1739209829.751374;-45.120503652039325
1739209829.7513785;-38.13080360867914
1739209829.751383;-32.816014438256545
1739209829.7513876;-45.120503652039325
1739209829.7513921;-38.13080360867914
1739209829.7513967;-38.13080360867914
1739209829.7514012;-45.120503652039325
1739209829.7514057;-45.120503652039325
1739209829.7514102;-45.120503652039325
1739209829.7514148;-45.120503652039325
1739209829.7514193;-45.120503652039325
1739209829.7514238;-35.57807855764607
1739209829.7514284;-45.120503652039325
1739209829.751433;-45.120503652039325
1739209829.7514374;-38.13080360867914
1739209829.751442;-45.120503652039325
1739209829.7514465;-38.13080360867914
1739209829.751451;-38.13080360867914
1739209829.7514555;-33.981070128970906
1739209829.75146;-38.13080360867914
1739209829.7514646;-33.981070128970906
1739209829.7514691;-45.120503652039325
1739209829.7514737;-45.120503652039325
1739209829.7514782;-45.120503652039325
1739209829.7514827;-45.120503652039325
1739209829.7514873;-45.120503652039325
1739209829.7514918;-38.13080360867914
1739209829.7514963;-38.13080360867914
1739209829.7515008;-45.120503652039325
1739209829.7515054;-45.120503652039325
1739209829.75151;-45.120503652039325
1739209829.7515144;-45.120503652039325
1739209829.7515192;-45.120503652039325
1739209829.7515237;-45.120503652039325
1739209829.7515283;-38.13080360867914
1739209829.7515328;-35.57807855764607
1739209829.7515373;-38.13080360867914
1739209829.7515419;-38.13080360867914
1739209829.7515464;-31.141103565318915
1739209829.751551;-38.13080360867914
1739209829.7515554;-38.13080360867914
1739209829.75156;-45.120503652039325
1739209829.7515645;-38.13080360867914
1739209829.751569;-38.13080360867914
1739209829.7515736;-45.120503652039325
1739209829.751578;-33.981070128970906
1739209829.7515826;-38.13080360867914
1739209829.7515872;-45.120503652039325
1739209829.7515917;-45.120503652039325
1739209829.7515962;-35.57807855764607
1739209829.7516007;-35.57807855764607
1739209829.7516053;-45.120503652039325
1739209829.7516098;-45.120503652039325
1739209829.7516143;-38.13080360867914
1739209829.7516189;-28.992665084841942
1739209829.7516234;-45.120503652039325
1739209829.751628;-45.120503652039325
1739209829.7516325;-45.120503652039325
1739209829.751637;-33.981070128970906
1739209829.7516415;-45.120503652039325
1739209829.751646;-45.120503652039325
1739209829.7516506;-45.120503652039325
1739209829.751655;-38.13080360867914
1739209829.7516596;-45.120503652039325
1739209829.7516642;-45.120503652039325
1739209829.7516687;-45.120503652039325
1739209829.7516732;-38.13080360867914
1739209829.7516778;-45.120503652039325
1739209829.7516823;-38.13080360867914
1739209829.7516868;-45.120503652039325
1739209829.7516913;-45.120503652039325
1739209829.7516959;-38.13080360867914
1739209829.7517004;-45.120503652039325
1739209829.751705;-35.57807855764607
1739209829.7517095;-38.13080360867914
1739209829.751714;-38.13080360867914
1739209829.7517185;-38.13080360867914
1739209829.751723;-45.120503652039325
1739209829.7517276;-38.13080360867914
1739209829.751732;-38.13080360867914
1739209829.7517366;-38.13080360867914
1739209829.7517412;-45.120503652039325
1739209829.7517457;-45.120503652039325
1739209829.7517502;-38.13080360867914
1739209829.7517548;-38.13080360867914
1739209829.7517593;-38.13080360867914
1739209829.7517638;-38.13080360867914
1739209829.7517684;-38.13080360867914
1739209829.7517729;-38.13080360867914
1739209829.7517774;-45.120503652039325
1739209829.751782;-38.13080360867914
1739209829.7517865;-38.13080360867914
1739209829.751791;-38.13080360867914
1739209829.7517955;-45.120503652039325
1739209829.7518;-28.992665084841942
1739209829.7518046;-38.13080360867914
1739209829.7518091;-33.981070128970906
1739209829.7518137;-45.120503652039325
1739209829.7518182;-33.981070128970906
1739209829.7518227;-35.57807855764607
1739209829.7518272;-45.120503652039325
1739209829.7518318;-45.120503652039325
1739209829.7518363;-30.49652367304973
1739209829.7518408;-38.13080360867914
1739209829.7518454;-45.120503652039325
1739209829.75185;-38.13080360867914
1739209829.7518544;-38.13080360867914
1739209829.751859;-45.120503652039325
1739209829.7518635;-45.120503652039325
1739209829.751868;-38.13080360867914
1739209829.7518725;-31.141103565318915
1739209829.751877;-38.13080360867914
1739209829.7518816;-45.120503652039325
1739209829.7518861;-45.120503652039325
1739209829.7518907;-38.13080360867914
1739209829.7518952;-38.13080360867914
1739209829.7518997;-45.120503652039325
1739209829.7519042;-38.13080360867914
1739209829.7519088;-33.981070128970906
1739209829.7519133;-38.13080360867914
1739209829.7519178;-45.120503652039325
1739209829.7519224;-38.13080360867914
1739209829.751927;-38.13080360867914
1739209829.7519314;-45.120503652039325
1739209829.751936;-38.13080360867914
1739209829.7519405;-38.13080360867914
1739209829.751945;-38.13080360867914
1739209829.7519495;-45.120503652039325
1739209829.751954;-38.13080360867914
1739209829.7519586;-38.13080360867914
1739209829.7519631;-38.13080360867914
1739209829.7519677;-45.120503652039325
1739209829.7519722;-45.120503652039325
1739209829.7519767;-45.120503652039325
1739209829.7519815;-45.120503652039325
1739209829.751986;-38.13080360867914
1739209829.7519906;-35.57807855764607
1739209829.751995;-45.120503652039325
1739209829.7519996;-45.120503652039325
1739209829.7520041;-33.981070128970906
1739209829.7520087;-38.13080360867914
1739209829.7520132;-45.120503652039325
