CAN Message; 0x24:0c28fa657a996cb1
Timestamp;Amplitude
1739209692.8355956;-45.120503652039325
1739209692.8356056;-38.13080360867914
1739209692.8356154;-26.991370085610736
1739209692.8356254;-33.981070128970906
1739209692.8356354;-45.120503652039325
1739209692.8356454;-45.120503652039325
1739209692.8356552;-32.816014438256545
1739209692.8356652;-45.120503652039325
1739209692.8356752;-45.120503652039325
1739209692.8356853;-38.13080360867914
1739209692.835695;-38.13080360867914
1739209692.835705;-45.120503652039325
1739209692.835715;-45.120503652039325
1739209692.835725;-38.13080360867914
1739209692.8357348;-45.120503652039325
1739209692.8357449;-33.981070128970906
1739209692.8357549;-38.13080360867914
1739209692.835765;-45.120503652039325
1739209692.835775;-30.49652367304973
1739209692.8357847;-33.981070128970906
1739209692.8357947;-45.120503652039325
1739209692.8358047;-45.120503652039325
1739209692.8358147;-45.120503652039325
1739209692.8358245;-45.120503652039325
1739209692.8358345;-45.120503652039325
1739209692.8358445;-45.120503652039325
1739209692.8358545;-45.120503652039325
1739209692.8358643;-38.13080360867914
1739209692.8358743;-35.57807855764607
1739209692.8358843;-45.120503652039325
1739209692.8358943;-45.120503652039325
1739209692.8359044;-35.57807855764607
1739209692.8359141;-45.120503652039325
1739209692.8359241;-45.120503652039325
1739209692.8359342;-32.816014438256545
1739209692.8359442;-33.981070128970906
1739209692.835954;-45.120503652039325
1739209692.835964;-45.120503652039325
1739209692.835974;-45.120503652039325
1739209692.835984;-45.120503652039325
1739209692.8359938;-38.13080360867914
1739209692.8360038;-38.13080360867914
1739209692.8360138;-45.120503652039325
1739209692.8360238;-38.13080360867914
1739209692.8360336;-38.13080360867914
1739209692.8360436;-45.120503652039325
1739209692.8360536;-32.816014438256545
1739209692.8360636;-38.13080360867914
1739209692.8360736;-45.120503652039325
1739209692.8360834;-38.13080360867914
1739209692.8360934;-38.13080360867914
1739209692.8361034;-38.13080360867914
1739209692.8361135;-38.13080360867914
1739209692.8361232;-38.13080360867914
1739209692.8361332;-38.13080360867914
1739209692.8361433;-45.120503652039325
1739209692.8361533;-35.57807855764607
1739209692.836163;-45.120503652039325
1739209692.836173;-33.981070128970906
1739209692.836183;-35.57807855764607
1739209692.836193;-35.57807855764607
1739209692.836203;-38.13080360867914
1739209692.8362129;-45.120503652039325
1739209692.836223;-32.816014438256545
1739209692.836233;-38.13080360867914
1739209692.836243;-38.13080360867914
1739209692.8362527;-45.120503652039325
1739209692.8362627;-45.120503652039325
1739209692.8362727;-33.981070128970906
1739209692.8362827;-38.13080360867914
1739209692.8362925;-45.120503652039325
1739209692.8363025;-45.120503652039325
1739209692.8363125;-38.13080360867914
1739209692.8363225;-45.120503652039325
1739209692.8363323;-38.13080360867914
1739209692.8363423;-33.981070128970906
1739209692.8363523;-45.120503652039325
1739209692.8363624;-45.120503652039325
1739209692.8363724;-38.13080360867914
1739209692.8363822;-32.816014438256545
1739209692.8363922;-32.816014438256545
1739209692.8364022;-33.981070128970906
1739209692.8364122;-45.120503652039325
1739209692.836422;-38.13080360867914
1739209692.836432;-31.141103565318893
1739209692.836442;-45.120503652039325
1739209692.836452;-38.13080360867914
1739209692.8364618;-45.120503652039325
1739209692.8364718;-33.981070128970906
1739209692.8364818;-45.120503652039325
1739209692.8364918;-38.13080360867914
1739209692.8365018;-35.57807855764607
1739209692.8365116;-35.57807855764607
1739209692.8365216;-38.13080360867914
1739209692.8365316;-38.13080360867914
1739209692.8365417;-38.13080360867914
1739209692.8365514;-45.120503652039325
1739209692.8365614;-45.120503652039325
1739209692.8365715;-38.13080360867914
1739209692.8365815;-38.13080360867914
1739209692.8365912;-45.120503652039325
1739209692.8366013;-38.13080360867914
