CAN Message; 0x62:0a8f84f28129d6f2
Timestamp;Amplitude
1739209790.5042124;-45.120503652039325
1739209790.5042171;-38.13080360867914
1739209790.5042222;-32.816014438256545
1739209790.504227;-35.57807855764607
1739209790.504232;-38.13080360867914
1739209790.5042367;-38.13080360867914
1739209790.5042417;-45.120503652039325
1739209790.5042465;-45.120503652039325
1739209790.5042515;-38.13080360867914
1739209790.5042562;-38.13080360867914
1739209790.5042613;-38.13080360867914
1739209790.504266;-45.120503652039325
1739209790.504271;-45.120503652039325
1739209790.5042758;-45.120503652039325
1739209790.5042808;-38.13080360867914
1739209790.5042856;-45.120503652039325
1739209790.5042906;-38.13080360867914
1739209790.5042956;-38.13080360867914
1739209790.5043004;-45.120503652039325
1739209790.5043054;-45.120503652039325
1739209790.5043101;-45.120503652039325
1739209790.5043151;-38.13080360867914
1739209790.50432;-35.57807855764607
1739209790.504325;-45.120503652039325
1739209790.5043297;-38.13080360867914
1739209790.5043347;-38.13080360867914
1739209790.5043395;-45.120503652039325
1739209790.5043445;-45.120503652039325
1739209790.5043492;-45.120503652039325
1739209790.5043542;-32.816014438256545
1739209790.504359;-35.57807855764607
1739209790.504364;-45.120503652039325
1739209790.5043688;-35.57807855764607
1739209790.5043738;-32.816014438256545
1739209790.5043788;-38.13080360867914
1739209790.5043836;-45.120503652039325
1739209790.5043886;-45.120503652039325
1739209790.5043933;-38.13080360867914
1739209790.5043983;-28.992665084841942
1739209790.504403;-35.57807855764607
1739209790.5044081;-38.13080360867914
1739209790.504413;-38.13080360867914
1739209790.504418;-33.981070128970906
1739209790.5044227;-35.57807855764607
1739209790.5044277;-38.13080360867914
1739209790.5044324;-45.120503652039325
1739209790.5044374;-31.141103565318915
1739209790.5044422;-31.141103565318893
1739209790.5044472;-38.13080360867914
1739209790.5044522;-32.816014438256545
1739209790.504457;-38.13080360867914
1739209790.504462;-35.57807855764607
1739209790.5044668;-38.13080360867914
1739209790.5044718;-45.120503652039325
1739209790.5044765;-33.981070128970956
1739209790.5044816;-35.57807855764607
1739209790.5044863;-38.13080360867914
1739209790.5044913;-45.120503652039325
1739209790.504496;-38.13080360867914
1739209790.504501;-35.57807855764607
1739209790.5045059;-45.120503652039325
1739209790.5045109;-38.13080360867914
1739209790.5045156;-31.141103565318893
1739209790.5045207;-30.49652367304973
1739209790.5045254;-45.120503652039325
1739209790.5045304;-38.13080360867914
1739209790.5045354;-45.120503652039325
1739209790.5045402;-45.120503652039325
1739209790.5045452;-33.981070128970906
1739209790.50455;-38.13080360867914
1739209790.504555;-38.13080360867914
1739209790.5045598;-38.13080360867914
1739209790.5045648;-45.120503652039325
1739209790.5045695;-38.13080360867914
1739209790.5045745;-35.57807855764607
1739209790.5045793;-45.120503652039325
1739209790.5045843;-45.120503652039325
1739209790.504589;-32.816014438256545
1739209790.504594;-45.120503652039325
1739209790.5045989;-45.120503652039325
1739209790.5046039;-35.57807855764607
1739209790.5046086;-35.57807855764607
1739209790.5046136;-45.120503652039325
1739209790.5046186;-45.120503652039325
1739209790.5046234;-38.13080360867914
1739209790.5046284;-45.120503652039325
1739209790.5046332;-35.57807855764607
1739209790.5046382;-38.13080360867914
1739209790.504643;-45.120503652039325
1739209790.504648;-45.120503652039325
1739209790.5046527;-38.13080360867914
1739209790.5046577;-38.13080360867914
1739209790.5046625;-45.120503652039325
1739209790.5046675;-38.13080360867914
1739209790.5046723;-45.120503652039325
1739209790.5046773;-45.120503652039325
1739209790.504682;-38.13080360867914
1739209790.504687;-45.120503652039325
1739209790.5046918;-38.13080360867914
1739209790.5046968;-38.13080360867914
1739209790.5047019;-45.120503652039325
1739209790.5047066;-45.120503652039325
1739209790.5047116;-45.120503652039325
1739209790.5047164;-38.13080360867914
1739209790.5047214;-38.13080360867914
1739209790.5047262;-45.120503652039325
1739209790.5047312;-33.981070128970906
1739209790.504736;-38.13080360867914
1739209790.504741;-33.981070128970906
1739209790.5047457;-45.120503652039325
1739209790.5047507;-38.13080360867914
1739209790.5047555;-38.13080360867914
1739209790.5047605;-45.120503652039325
1739209790.5047653;-45.120503652039325
1739209790.5047703;-38.13080360867914
1739209790.5047753;-38.13080360867914
1739209790.50478;-45.120503652039325
1739209790.504785;-45.120503652039325
1739209790.5047898;-45.120503652039325
1739209790.5047948;-33.981070128970906
1739209790.5047996;-33.981070128970906
1739209790.5048046;-45.120503652039325
1739209790.5048094;-45.120503652039325
1739209790.5048144;-38.13080360867914
1739209790.5048192;-38.13080360867914
1739209790.5048242;-38.13080360867914
1739209790.504829;-35.57807855764607
1739209790.504834;-38.13080360867914
1739209790.5048387;-38.13080360867914
1739209790.5048437;-35.57807855764607
1739209790.5048485;-45.120503652039325
1739209790.5048535;-45.120503652039325
1739209790.5048585;-38.13080360867914
1739209790.5048633;-38.13080360867914
1739209790.5048683;-45.120503652039325
1739209790.504873;-38.13080360867914
1739209790.504878;-38.13080360867914
1739209790.5048828;-45.120503652039325
