CAN Message; 0x1bb:00000c3316f0ef36
Timestamp;Amplitude
1739209747.1071136;-38.13080360867914
1739209747.1071155;-38.13080360867914
1739209747.1071177;-38.13080360867914
1739209747.1071196;-38.13080360867914
1739209747.1071215;-38.13080360867914
1739209747.1071234;-45.120503652039325
1739209747.1071253;-45.120503652039325
1739209747.1071274;-31.141103565318893
1739209747.1071293;-33.981070128970906
1739209747.1071312;-45.120503652039325
1739209747.1071332;-38.13080360867914
1739209747.107135;-38.13080360867914
1739209747.1071372;-45.120503652039325
1739209747.107139;-38.13080360867914
1739209747.107141;-45.120503652039325
1739209747.107143;-45.120503652039325
1739209747.1071448;-38.13080360867914
1739209747.107147;-35.57807855764607
1739209747.107149;-38.13080360867914
1739209747.1071508;-33.981070128970906
1739209747.1071527;-38.13080360867914
1739209747.1071546;-38.13080360867914
1739209747.1071568;-38.13080360867914
1739209747.1071587;-45.120503652039325
1739209747.1071606;-45.120503652039325
1739209747.1071625;-45.120503652039325
1739209747.1071644;-38.13080360867914
1739209747.1071665;-45.120503652039325
1739209747.1071684;-38.13080360867914
1739209747.1071703;-33.981070128970906
1739209747.1071723;-38.13080360867914
1739209747.1071742;-45.120503652039325
1739209747.1071763;-45.120503652039325
1739209747.1071782;-29.438486411369333
1739209747.10718;-38.13080360867914
1739209747.107182;-45.120503652039325
1739209747.107184;-45.120503652039325
1739209747.107186;-35.57807855764607
1739209747.107188;-45.120503652039325
1739209747.10719;-45.120503652039325
1739209747.1071918;-38.13080360867914
1739209747.1071937;-45.120503652039325
1739209747.1071959;-45.120503652039325
1739209747.1071978;-45.120503652039325
1739209747.1071997;-45.120503652039325
1739209747.1072016;-45.120503652039325
1739209747.1072035;-38.13080360867914
1739209747.1072056;-45.120503652039325
1739209747.1072075;-38.13080360867914
1739209747.1072094;-38.13080360867914
1739209747.1072114;-45.120503652039325
1739209747.1072133;-45.120503652039325
1739209747.1072154;-45.120503652039325
1739209747.1072173;-32.816014438256545
1739209747.1072192;-38.13080360867914
1739209747.1072211;-38.13080360867914
1739209747.107223;-38.13080360867914
1739209747.1072252;-27.8777449560314
1739209747.107227;-32.816014438256545
1739209747.107229;-45.120503652039325
1739209747.107231;-38.13080360867914
1739209747.1072328;-38.13080360867914
1739209747.107235;-33.981070128970906
1739209747.1072369;-45.120503652039325
1739209747.1072388;-38.13080360867914
1739209747.1072407;-38.13080360867914
1739209747.1072426;-45.120503652039325
1739209747.1072447;-45.120503652039325
1739209747.1072466;-45.120503652039325
1739209747.1072485;-45.120503652039325
1739209747.1072505;-38.13080360867914
1739209747.1072524;-45.120503652039325
1739209747.1072545;-45.120503652039325
1739209747.1072564;-29.438486411369333
1739209747.1072583;-32.816014438256545
1739209747.1072602;-45.120503652039325
1739209747.1072621;-45.120503652039325
1739209747.1072643;-35.57807855764607
1739209747.1072662;-38.13080360867914
1739209747.107268;-45.120503652039325
1739209747.10727;-38.13080360867914
1739209747.107272;-45.120503652039325
1739209747.107274;-38.13080360867914
1739209747.107276;-33.981070128970906
1739209747.1072779;-38.13080360867914
1739209747.1072798;-38.13080360867914
1739209747.1072817;-38.13080360867914
1739209747.1072838;-45.120503652039325
1739209747.1072857;-38.13080360867914
1739209747.1072876;-45.120503652039325
1739209747.1072896;-38.13080360867914
1739209747.1072915;-38.13080360867914
1739209747.1072936;-45.120503652039325
1739209747.1072955;-45.120503652039325
1739209747.1072974;-45.120503652039325
1739209747.1072993;-35.57807855764607
1739209747.1073012;-45.120503652039325
1739209747.1073034;-31.141103565318915
1739209747.1073053;-29.438486411369333
1739209747.1073072;-38.13080360867914
1739209747.107309;-45.120503652039325
1739209747.107311;-38.13080360867914
1739209747.1073132;-35.57807855764607
1739209747.107315;-45.120503652039325
1739209747.107317;-45.120503652039325
1739209747.1073189;-45.120503652039325
1739209747.1073208;-38.13080360867914
1739209747.107323;-38.13080360867914
1739209747.1073248;-45.120503652039325
1739209747.1073267;-38.13080360867914
1739209747.1073287;-38.13080360867914
1739209747.1073306;-38.13080360867914
1739209747.1073327;-38.13080360867914
1739209747.1073346;-35.57807855764607
1739209747.1073365;-31.141103565318915
1739209747.1073384;-45.120503652039325
1739209747.1073403;-45.120503652039325
1739209747.1073425;-35.57807855764607
1739209747.1073444;-38.13080360867914
1739209747.1073463;-45.120503652039325
1739209747.1073482;-38.13080360867914
1739209747.10735;-35.57807855764607
1739209747.1073523;-38.13080360867914
1739209747.1073542;-45.120503652039325
1739209747.107356;-45.120503652039325
1739209747.107358;-45.120503652039325
1739209747.10736;-45.120503652039325
1739209747.1073618;-45.120503652039325
1739209747.107364;-45.120503652039325
1739209747.1073658;-38.13080360867914
1739209747.1073678;-45.120503652039325
1739209747.1073697;-45.120503652039325
1739209747.1073716;-45.120503652039325
1739209747.1073737;-45.120503652039325
1739209747.1073756;-45.120503652039325
1739209747.1073775;-38.13080360867914
1739209747.1073794;-45.120503652039325
1739209747.1073813;-38.13080360867914
1739209747.1073835;-32.816014438256545
1739209747.1073854;-38.13080360867914
1739209747.1073873;-45.120503652039325
1739209747.1073892;-45.120503652039325
1739209747.107391;-33.981070128970906
1739209747.1073933;-31.141103565318915
1739209747.1073952;-45.120503652039325
1739209747.107397;-45.120503652039325
1739209747.107399;-45.120503652039325
1739209747.107401;-38.13080360867914
1739209747.107403;-38.13080360867914
1739209747.107405;-45.120503652039325
1739209747.1074069;-45.120503652039325
1739209747.1074088;-45.120503652039325
1739209747.1074107;-38.13080360867914
1739209747.1074128;-45.120503652039325
1739209747.1074147;-45.120503652039325
1739209747.1074166;-45.120503652039325
1739209747.1074185;-38.13080360867914
1739209747.1074204;-45.120503652039325
1739209747.1074226;-38.13080360867914
1739209747.1074245;-38.13080360867914
1739209747.1074264;-38.13080360867914
1739209747.1074283;-38.13080360867914
1739209747.1074302;-35.57807855764607
1739209747.1074324;-38.13080360867914
1739209747.1074343;-45.120503652039325
1739209747.1074362;-45.120503652039325
1739209747.107438;-33.981070128970906
1739209747.10744;-38.13080360867914
1739209747.1074421;-45.120503652039325
1739209747.107444;-38.13080360867914
1739209747.107446;-38.13080360867914
1739209747.1074479;-38.13080360867914
1739209747.1074498;-38.13080360867914
1739209747.107452;-35.57807855764607
1739209747.1074538;-38.13080360867914
1739209747.1074557;-45.120503652039325
1739209747.1074576;-38.13080360867914
1739209747.1074595;-45.120503652039325
1739209747.1074617;-45.120503652039325
1739209747.1074636;-38.13080360867914
1739209747.1074655;-45.120503652039325
1739209747.1074674;-33.981070128970906
1739209747.1074693;-38.13080360867914
1739209747.1074715;-45.120503652039325
1739209747.1074734;-45.120503652039325
1739209747.1074753;-38.13080360867914
1739209747.1074772;-45.120503652039325
1739209747.107479;-45.120503652039325
1739209747.1074812;-45.120503652039325
1739209747.1074831;-32.816014438256545
1739209747.107485;-38.13080360867914
1739209747.107487;-45.120503652039325
1739209747.1074889;-38.13080360867914
1739209747.107491;-38.13080360867914
1739209747.107493;-32.816014438256545
1739209747.1074948;-38.13080360867914
1739209747.1074967;-38.13080360867914
1739209747.1074986;-38.13080360867914
1739209747.1075008;-35.57807855764607
1739209747.1075027;-38.13080360867914
1739209747.1075046;-38.13080360867914
