CAN Message; 0x1b8:020007ffe03ccbf8
Timestamp;Amplitude
1739209894.2359622;-45.120503652039325
1739209894.235969;-45.120503652039325
1739209894.235976;-38.13080360867914
1739209894.2359831;-45.120503652039325
1739209894.23599;-38.13080360867914
1739209894.235997;-45.120503652039325
1739209894.2360039;-38.13080360867914
1739209894.2360108;-45.120503652039325
1739209894.2360177;-45.120503652039325
1739209894.2360246;-45.120503652039325
1739209894.2360318;-38.13080360867914
1739209894.2360387;-38.13080360867914
1739209894.2360456;-31.141103565318915
1739209894.2360525;-38.13080360867914
1739209894.2360594;-45.120503652039325
1739209894.2360663;-45.120503652039325
1739209894.2360733;-38.13080360867914
1739209894.2360804;-35.57807855764607
1739209894.2360873;-45.120503652039325
1739209894.2360942;-38.13080360867914
1739209894.2361012;-28.58837851428586
1739209894.236108;-38.13080360867914
1739209894.236115;-45.120503652039325
1739209894.236122;-45.120503652039325
1739209894.236129;-45.120503652039325
1739209894.236136;-45.120503652039325
1739209894.2361429;-45.120503652039325
1739209894.2361498;-38.13080360867914
1739209894.2361567;-29.438486411369347
1739209894.2361636;-38.13080360867914
1739209894.2361705;-31.141103565318915
1739209894.2361777;-35.57807855764607
1739209894.2361846;-38.13080360867914
1739209894.2361915;-38.13080360867914
1739209894.2361984;-45.120503652039325
1739209894.2362053;-45.120503652039325
1739209894.2362123;-33.981070128970906
1739209894.2362192;-33.981070128970906
1739209894.2362263;-45.120503652039325
1739209894.2362332;-45.120503652039325
1739209894.2362401;-38.13080360867914
1739209894.236247;-38.13080360867914
1739209894.236254;-45.120503652039325
1739209894.236261;-35.57807855764607
1739209894.236268;-35.57807855764607
1739209894.236275;-45.120503652039325
1739209894.2362819;-45.120503652039325
1739209894.2362888;-32.816014438256545
1739209894.2362957;-38.13080360867914
1739209894.2363026;-45.120503652039325
1739209894.2363095;-38.13080360867914
1739209894.2363167;-38.13080360867914
1739209894.2363236;-38.13080360867914
1739209894.2363305;-38.13080360867914
1739209894.2363374;-35.57807855764607
1739209894.2363443;-45.120503652039325
1739209894.2363513;-45.120503652039325
1739209894.2363582;-31.141103565318893
1739209894.2363653;-38.13080360867914
1739209894.2363722;-38.13080360867914
1739209894.2363791;-33.981070128970906
1739209894.236386;-38.13080360867914
1739209894.236393;-38.13080360867914
1739209894.2364;-33.981070128970906
1739209894.2364068;-38.13080360867914
1739209894.236414;-45.120503652039325
1739209894.2364209;-38.13080360867914
1739209894.2364278;-38.13080360867914
1739209894.2364347;-38.13080360867914
1739209894.2364416;-45.120503652039325
1739209894.2364485;-38.13080360867914
1739209894.2364554;-32.816014438256545
1739209894.2364626;-38.13080360867914
1739209894.2364695;-45.120503652039325
1739209894.2364764;-38.13080360867914
1739209894.2364833;-45.120503652039325
1739209894.2364902;-38.13080360867914
1739209894.2364972;-32.816014438256545
1739209894.236504;-45.120503652039325
1739209894.2365112;-35.57807855764607
1739209894.2365181;-38.13080360867914
1739209894.236525;-32.816014438256545
1739209894.236532;-38.13080360867914
1739209894.236539;-45.120503652039325
1739209894.2365458;-38.13080360867914
1739209894.2365527;-45.120503652039325
1739209894.2365599;-45.120503652039325
1739209894.2365668;-38.13080360867914
1739209894.2365737;-38.13080360867914
1739209894.2365806;-45.120503652039325
1739209894.2365875;-45.120503652039325
1739209894.2365944;-35.57807855764607
1739209894.2366014;-38.13080360867914
1739209894.2366085;-35.57807855764607
1739209894.2366154;-38.13080360867914
1739209894.2366223;-45.120503652039325
