CAN Message; 0x150:0700a753c7e68cd7
Timestamp;Amplitude
1739209732.7169302;-38.13080360867914
1739209732.7169335;-38.13080360867914
1739209732.7169368;-35.57807855764607
1739209732.7169402;-33.981070128970906
1739209732.7169435;-38.13080360867914
1739209732.7169468;-38.13080360867914
1739209732.7169502;-38.13080360867914
1739209732.7169535;-45.120503652039325
1739209732.7169569;-38.13080360867914
1739209732.7169602;-38.13080360867914
1739209732.7169635;-33.981070128970906
1739209732.7169669;-32.816014438256545
1739209732.7169702;-32.816014438256545
1739209732.7169735;-45.120503652039325
1739209732.716977;-33.981070128970906
1739209732.7169805;-45.120503652039325
1739209732.7169838;-45.120503652039325
1739209732.7169871;-45.120503652039325
1739209732.7169905;-45.120503652039325
1739209732.7169938;-45.120503652039325
1739209732.7169971;-38.13080360867914
1739209732.7170005;-35.57807855764607
1739209732.7170038;-45.120503652039325
1739209732.7170072;-38.13080360867914
1739209732.7170105;-45.120503652039325
1739209732.7170138;-45.120503652039325
1739209732.7170172;-38.13080360867914
1739209732.7170205;-38.13080360867914
1739209732.7170238;-45.120503652039325
1739209732.7170272;-38.13080360867914
1739209732.7170305;-35.57807855764607
1739209732.7170339;-45.120503652039325
1739209732.7170372;-45.120503652039325
1739209732.7170405;-33.981070128970906
1739209732.7170439;-38.13080360867914
1739209732.7170472;-45.120503652039325
1739209732.7170506;-38.13080360867914
1739209732.717054;-38.13080360867914
1739209732.7170572;-45.120503652039325
1739209732.7170606;-38.13080360867914
1739209732.717064;-38.13080360867914
1739209732.7170672;-35.57807855764607
1739209732.7170706;-33.981070128970906
1739209732.717074;-31.141103565318915
1739209732.7170773;-45.120503652039325
1739209732.7170806;-38.13080360867914
1739209732.717084;-38.13080360867914
1739209732.7170873;-38.13080360867914
1739209732.7170908;-38.13080360867914
1739209732.7170942;-38.13080360867914
1739209732.7170975;-31.141103565318915
1739209732.7171009;-38.13080360867914
1739209732.7171042;-35.57807855764607
1739209732.7171075;-45.120503652039325
1739209732.7171109;-45.120503652039325
1739209732.7171142;-33.981070128970906
1739209732.7171175;-38.13080360867914
1739209732.717121;-45.120503652039325
1739209732.7171242;-31.141103565318915
1739209732.7171276;-31.141103565318915
1739209732.717131;-33.981070128970906
1739209732.7171342;-38.13080360867914
1739209732.7171376;-38.13080360867914
1739209732.717141;-33.981070128970906
1739209732.7171443;-45.120503652039325
1739209732.7171476;-45.120503652039325
1739209732.717151;-33.981070128970906
1739209732.7171543;-38.13080360867914
1739209732.7171576;-38.13080360867914
1739209732.717161;-38.13080360867914
1739209732.7171643;-38.13080360867914
