CAN Message; 0x1a7:0000391a6b59eb34
Timestamp;Amplitude
1739209642.9764102;-38.13080360867914
1739209642.9764113;-45.120503652039325
1739209642.9764128;-45.120503652039325
1739209642.976414;-38.13080360867914
1739209642.9764154;-38.13080360867914
1739209642.9764166;-45.120503652039325
1739209642.976418;-31.141103565318915
1739209642.9764192;-33.981070128970906
1739209642.9764206;-45.120503652039325
1739209642.9764218;-38.13080360867914
1739209642.9764233;-35.57807855764607
1739209642.9764245;-45.120503652039325
1739209642.976426;-45.120503652039325
1739209642.976427;-35.57807855764607
1739209642.9764285;-38.13080360867914
1739209642.9764297;-38.13080360867914
1739209642.9764311;-33.981070128970906
1739209642.9764323;-32.816014438256545
1739209642.9764338;-38.13080360867914
1739209642.976435;-45.120503652039325
1739209642.9764364;-38.13080360867914
1739209642.9764376;-38.13080360867914
1739209642.976439;-33.981070128970906
1739209642.9764402;-30.49652367304973
1739209642.9764416;-45.120503652039325
1739209642.9764428;-45.120503652039325
1739209642.9764442;-38.13080360867914
1739209642.9764454;-38.13080360867914
1739209642.9764469;-45.120503652039325
1739209642.976448;-35.57807855764607
1739209642.9764495;-38.13080360867914
1739209642.9764507;-38.13080360867914
1739209642.976452;-45.120503652039325
1739209642.9764533;-38.13080360867914
1739209642.9764547;-38.13080360867914
1739209642.9764562;-38.13080360867914
1739209642.9764574;-38.13080360867914
1739209642.9764588;-38.13080360867914
1739209642.97646;-35.57807855764607
1739209642.9764614;-27.8777449560314
1739209642.9764626;-38.13080360867914
1739209642.976464;-45.120503652039325
1739209642.9764652;-45.120503652039325
1739209642.9764667;-38.13080360867914
1739209642.9764678;-33.981070128970906
1739209642.9764693;-33.981070128970906
1739209642.9764705;-45.120503652039325
1739209642.976472;-38.13080360867914
1739209642.976473;-38.13080360867914
1739209642.9764745;-32.816014438256545
1739209642.9764757;-38.13080360867914
1739209642.9764771;-45.120503652039325
1739209642.9764783;-45.120503652039325
1739209642.9764798;-38.13080360867914
1739209642.976481;-45.120503652039325
1739209642.9764824;-35.57807855764607
1739209642.9764836;-38.13080360867914
1739209642.976485;-45.120503652039325
1739209642.9764862;-45.120503652039325
1739209642.9764876;-45.120503652039325
1739209642.9764888;-38.13080360867914
1739209642.9764903;-35.57807855764607
1739209642.9764915;-38.13080360867914
1739209642.976493;-45.120503652039325
1739209642.976494;-38.13080360867914
1739209642.9764955;-35.57807855764607
1739209642.9764967;-38.13080360867914
1739209642.9764981;-45.120503652039325
1739209642.9764996;-38.13080360867914
1739209642.9765007;-35.57807855764607
1739209642.9765022;-38.13080360867914
1739209642.9765034;-45.120503652039325
1739209642.9765048;-45.120503652039325
1739209642.976506;-38.13080360867914
1739209642.9765074;-38.13080360867914
1739209642.9765086;-38.13080360867914
1739209642.97651;-45.120503652039325
1739209642.9765112;-33.981070128970906
1739209642.9765127;-45.120503652039325
1739209642.9765139;-38.13080360867914
1739209642.9765153;-31.141103565318915
1739209642.9765165;-33.981070128970906
1739209642.976518;-38.13080360867914
1739209642.976519;-35.57807855764607
1739209642.9765205;-38.13080360867914
1739209642.9765217;-38.13080360867914
1739209642.9765232;-45.120503652039325
1739209642.9765244;-45.120503652039325
1739209642.9765258;-45.120503652039325
1739209642.976527;-38.13080360867914
1739209642.9765284;-33.981070128970906
1739209642.9765296;-45.120503652039325
1739209642.976531;-38.13080360867914
1739209642.9765322;-35.57807855764607
1739209642.9765337;-38.13080360867914
1739209642.9765348;-38.13080360867914
1739209642.9765363;-38.13080360867914
1739209642.9765375;-38.13080360867914
1739209642.976539;-38.13080360867914
1739209642.97654;-35.57807855764607
1739209642.9765415;-38.13080360867914
1739209642.9765427;-38.13080360867914
1739209642.9765441;-38.13080360867914
1739209642.9765456;-45.120503652039325
1739209642.9765468;-38.13080360867914
1739209642.9765482;-38.13080360867914
1739209642.9765494;-45.120503652039325
1739209642.9765508;-45.120503652039325
1739209642.976552;-38.13080360867914
1739209642.9765534;-35.57807855764607
1739209642.9765546;-45.120503652039325
1739209642.976556;-38.13080360867914
1739209642.9765573;-45.120503652039325
1739209642.9765587;-45.120503652039325
1739209642.9765599;-32.816014438256545
1739209642.9765613;-38.13080360867914
1739209642.9765625;-38.13080360867914
1739209642.976564;-35.57807855764607
1739209642.9765651;-38.13080360867914
1739209642.9765666;-45.120503652039325
1739209642.9765677;-38.13080360867914
1739209642.9765692;-38.13080360867914
1739209642.9765704;-38.13080360867914
1739209642.9765718;-45.120503652039325
1739209642.976573;-38.13080360867914
1739209642.9765744;-38.13080360867914
1739209642.9765756;-45.120503652039325
1739209642.976577;-38.13080360867914
1739209642.9765782;-38.13080360867914
1739209642.9765797;-38.13080360867914
1739209642.9765809;-38.13080360867914
1739209642.9765823;-45.120503652039325
