CAN Message; 0x1bb:000097728928a81b
Timestamp;Amplitude
1739209773.1770234;-45.120503652039325
1739209773.1770282;-45.120503652039325
1739209773.1770332;-45.120503652039325
1739209773.1770382;-38.13080360867914
1739209773.177043;-45.120503652039325
1739209773.177048;-45.120503652039325
1739209773.1770527;-45.120503652039325
1739209773.1770577;-35.57807855764607
1739209773.1770627;-38.13080360867914
1739209773.1770675;-38.13080360867914
1739209773.1770725;-32.816014438256545
1739209773.1770775;-45.120503652039325
1739209773.1770823;-45.120503652039325
1739209773.1770873;-38.13080360867914
1739209773.1770923;-38.13080360867914
1739209773.177097;-45.120503652039325
1739209773.177102;-38.13080360867914
1739209773.1771069;-38.13080360867914
1739209773.1771119;-45.120503652039325
1739209773.1771169;-38.13080360867914
1739209773.1771216;-38.13080360867914
1739209773.1771266;-38.13080360867914
1739209773.1771317;-45.120503652039325
1739209773.1771364;-33.981070128970906
1739209773.1771414;-45.120503652039325
1739209773.1771462;-45.120503652039325
1739209773.1771512;-35.57807855764607
1739209773.1771562;-38.13080360867914
1739209773.177161;-38.13080360867914
1739209773.177166;-45.120503652039325
1739209773.177171;-35.57807855764607
1739209773.1771758;-38.13080360867914
1739209773.1771808;-45.120503652039325
1739209773.1771858;-38.13080360867914
1739209773.1771905;-45.120503652039325
1739209773.1771955;-38.13080360867914
1739209773.1772003;-45.120503652039325
1739209773.1772053;-38.13080360867914
1739209773.1772103;-38.13080360867914
1739209773.177215;-38.13080360867914
1739209773.17722;-45.120503652039325
1739209773.177225;-38.13080360867914
1739209773.17723;-38.13080360867914
1739209773.177235;-38.13080360867914
1739209773.17724;-38.13080360867914
1739209773.1772447;-45.120503652039325
1739209773.1772497;-45.120503652039325
1739209773.1772544;-45.120503652039325
1739209773.1772594;-45.120503652039325
1739209773.1772645;-45.120503652039325
1739209773.1772692;-38.13080360867914
1739209773.1772742;-45.120503652039325
1739209773.1772792;-45.120503652039325
1739209773.177284;-38.13080360867914
1739209773.177289;-35.57807855764607
1739209773.1772938;-38.13080360867914
1739209773.1772988;-45.120503652039325
1739209773.1773038;-45.120503652039325
1739209773.1773086;-38.13080360867914
1739209773.1773136;-31.141103565318915
1739209773.1773186;-45.120503652039325
1739209773.1773233;-33.981070128970906
1739209773.1773283;-38.13080360867914
1739209773.1773334;-38.13080360867914
1739209773.1773381;-38.13080360867914
1739209773.1773431;-38.13080360867914
1739209773.177348;-32.816014438256545
1739209773.177353;-33.981070128970906
1739209773.177358;-45.120503652039325
1739209773.1773627;-45.120503652039325
1739209773.1773677;-33.981070128970906
1739209773.1773727;-32.816014438256545
1739209773.1773775;-45.120503652039325
1739209773.1773825;-38.13080360867914
1739209773.1773875;-38.13080360867914
1739209773.1773922;-33.981070128970906
1739209773.1773973;-45.120503652039325
1739209773.177402;-35.57807855764607
1739209773.177407;-35.57807855764607
1739209773.177412;-45.120503652039325
1739209773.1774168;-45.120503652039325
1739209773.1774218;-38.13080360867914
1739209773.1774268;-35.57807855764607
1739209773.1774316;-33.981070128970906
1739209773.1774366;-38.13080360867914
1739209773.1774416;-45.120503652039325
1739209773.1774464;-45.120503652039325
1739209773.1774514;-45.120503652039325
1739209773.1774561;-45.120503652039325
1739209773.1774611;-38.13080360867914
1739209773.1774662;-38.13080360867914
1739209773.177471;-38.13080360867914
1739209773.177476;-45.120503652039325
1739209773.177481;-33.981070128970906
1739209773.1774857;-45.120503652039325
1739209773.1774907;-45.120503652039325
1739209773.1774955;-32.816014438256545
1739209773.1775005;-38.13080360867914
1739209773.1775055;-45.120503652039325
1739209773.1775103;-45.120503652039325
1739209773.1775153;-45.120503652039325
1739209773.1775203;-45.120503652039325
1739209773.177525;-45.120503652039325
1739209773.17753;-38.13080360867914
1739209773.177535;-38.13080360867914
1739209773.1775398;-38.13080360867914
1739209773.1775448;-45.120503652039325
1739209773.1775496;-31.141103565318915
1739209773.1775546;-33.981070128970906
1739209773.1775596;-45.120503652039325
1739209773.1775644;-45.120503652039325
1739209773.1775694;-38.13080360867914
1739209773.1775744;-45.120503652039325
1739209773.1775792;-45.120503652039325
1739209773.1775842;-35.57807855764607
1739209773.1775892;-45.120503652039325
1739209773.177594;-38.13080360867914
1739209773.177599;-38.13080360867914
1739209773.1776037;-45.120503652039325
1739209773.1776087;-45.120503652039325
1739209773.1776137;-38.13080360867914
1739209773.1776185;-45.120503652039325
1739209773.1776235;-45.120503652039325
1739209773.1776285;-28.992665084841942
1739209773.1776333;-32.816014438256545
1739209773.1776383;-45.120503652039325
1739209773.177643;-38.13080360867914
1739209773.177648;-38.13080360867914
1739209773.177653;-45.120503652039325
1739209773.1776578;-38.13080360867914
1739209773.1776628;-38.13080360867914
1739209773.1776679;-38.13080360867914
1739209773.1776726;-45.120503652039325
1739209773.1776776;-38.13080360867914
1739209773.1776826;-45.120503652039325
1739209773.1776874;-45.120503652039325
1739209773.1776924;-45.120503652039325
1739209773.1776972;-38.13080360867914
1739209773.1777022;-35.57807855764607
1739209773.1777072;-35.57807855764607
1739209773.177712;-45.120503652039325
1739209773.177717;-45.120503652039325
1739209773.177722;-35.57807855764607
1739209773.1777267;-45.120503652039325
1739209773.1777318;-45.120503652039325
1739209773.1777368;-38.13080360867914
1739209773.1777415;-38.13080360867914
1739209773.1777465;-38.13080360867914
1739209773.1777513;-45.120503652039325
1739209773.1777563;-45.120503652039325
1739209773.1777613;-45.120503652039325
1739209773.177766;-45.120503652039325
1739209773.177771;-45.120503652039325
1739209773.177776;-45.120503652039325
1739209773.1777809;-32.816014438256545
1739209773.1777859;-45.120503652039325
1739209773.1777909;-38.13080360867914
1739209773.1777956;-38.13080360867914
1739209773.1778007;-35.57807855764607
1739209773.1778054;-45.120503652039325
1739209773.1778104;-45.120503652039325
1739209773.1778154;-38.13080360867914
1739209773.1778202;-38.13080360867914
