CAN Message; 0x1b8:0100a6f6be8251da
Timestamp;Amplitude
1739209746.4493585;-38.13080360867914
1739209746.4493637;-33.981070128970906
1739209746.4493692;-38.13080360867914
1739209746.4493744;-45.120503652039325
1739209746.44938;-45.120503652039325
1739209746.4493852;-33.981070128970906
1739209746.4493906;-45.120503652039325
1739209746.449396;-38.13080360867914
1739209746.4494014;-45.120503652039325
1739209746.4494066;-45.120503652039325
1739209746.449412;-45.120503652039325
1739209746.4494174;-45.120503652039325
1739209746.4494228;-45.120503652039325
1739209746.449428;-45.120503652039325
1739209746.4494336;-45.120503652039325
1739209746.4494388;-45.120503652039325
1739209746.4494443;-45.120503652039325
1739209746.4494495;-45.120503652039325
1739209746.449455;-38.13080360867914
1739209746.4494603;-45.120503652039325
1739209746.4494658;-38.13080360867914
1739209746.449471;-33.981070128970906
1739209746.4494765;-45.120503652039325
1739209746.4494817;-45.120503652039325
1739209746.4494872;-45.120503652039325
1739209746.4494925;-31.141103565318893
1739209746.449498;-38.13080360867914
1739209746.4495032;-45.120503652039325
1739209746.4495087;-38.13080360867914
1739209746.449514;-38.13080360867914
1739209746.4495194;-45.120503652039325
1739209746.4495246;-38.13080360867914
1739209746.4495301;-45.120503652039325
1739209746.4495354;-33.981070128970956
1739209746.4495409;-45.120503652039325
1739209746.449546;-45.120503652039325
1739209746.4495516;-45.120503652039325
1739209746.4495568;-45.120503652039325
1739209746.4495623;-45.120503652039325
1739209746.4495676;-38.13080360867914
1739209746.449573;-38.13080360867914
1739209746.4495783;-29.438486411369333
1739209746.4495838;-38.13080360867914
1739209746.449589;-38.13080360867914
1739209746.4495945;-38.13080360867914
1739209746.4495997;-35.57807855764607
1739209746.4496052;-38.13080360867914
1739209746.4496105;-45.120503652039325
1739209746.449616;-38.13080360867914
1739209746.4496212;-45.120503652039325
1739209746.4496267;-45.120503652039325
1739209746.449632;-33.981070128970906
1739209746.4496374;-38.13080360867914
1739209746.4496427;-45.120503652039325
1739209746.4496481;-38.13080360867914
1739209746.4496534;-38.13080360867914
1739209746.4496589;-45.120503652039325
1739209746.449664;-38.13080360867914
1739209746.4496696;-45.120503652039325
1739209746.4496748;-38.13080360867914
1739209746.4496803;-38.13080360867914
1739209746.4496856;-45.120503652039325
1739209746.449691;-45.120503652039325
1739209746.4496963;-32.816014438256545
1739209746.4497018;-45.120503652039325
1739209746.449707;-29.438486411369333
1739209746.4497125;-35.57807855764607
1739209746.4497178;-45.120503652039325
1739209746.4497232;-38.13080360867914
1739209746.4497285;-45.120503652039325
1739209746.449734;-38.13080360867914
1739209746.4497392;-45.120503652039325
1739209746.4497447;-38.13080360867914
1739209746.44975;-45.120503652039325
1739209746.4497554;-45.120503652039325
1739209746.4497607;-35.57807855764607
1739209746.4497662;-38.13080360867914
1739209746.4497714;-38.13080360867914
1739209746.449777;-38.13080360867914
