CAN Message; 0x1bb:000001e1893c9605
Timestamp;Amplitude
1739209834.1092966;-25.826314394896354
1739209834.1093018;-35.57807855764607
1739209834.109307;-45.120503652039325
1739209834.1093123;-45.120503652039325
1739209834.1093175;-35.57807855764607
1739209834.1093225;-45.120503652039325
1739209834.1093278;-38.13080360867914
1739209834.109333;-32.816014438256545
1739209834.1093383;-45.120503652039325
1739209834.1093435;-38.13080360867914
1739209834.1093488;-45.120503652039325
1739209834.109354;-45.120503652039325
1739209834.1093593;-35.57807855764607
1739209834.1093645;-35.57807855764607
1739209834.1093698;-45.120503652039325
1739209834.109375;-38.13080360867914
1739209834.1093802;-45.120503652039325
1739209834.1093853;-38.13080360867914
1739209834.1093905;-45.120503652039325
1739209834.1093957;-45.120503652039325
1739209834.109401;-45.120503652039325
1739209834.1094062;-38.13080360867914
1739209834.1094115;-45.120503652039325
1739209834.1094167;-45.120503652039325
1739209834.109422;-32.816014438256545
1739209834.1094272;-38.13080360867914
1739209834.1094325;-45.120503652039325
1739209834.1094377;-38.13080360867914
1739209834.1094427;-33.981070128970906
1739209834.109448;-45.120503652039325
1739209834.1094532;-45.120503652039325
1739209834.1094584;-38.13080360867914
1739209834.1094637;-45.120503652039325
1739209834.109469;-45.120503652039325
1739209834.1094742;-45.120503652039325
1739209834.1094794;-45.120503652039325
1739209834.1094847;-45.120503652039325
1739209834.10949;-45.120503652039325
1739209834.1094952;-45.120503652039325
1739209834.1095002;-33.981070128970906
1739209834.1095054;-45.120503652039325
1739209834.1095107;-38.13080360867914
1739209834.109516;-35.57807855764607
1739209834.1095212;-38.13080360867914
1739209834.1095264;-38.13080360867914
1739209834.1095316;-45.120503652039325
1739209834.109537;-45.120503652039325
1739209834.1095421;-45.120503652039325
1739209834.1095474;-45.120503652039325
1739209834.1095526;-45.120503652039325
1739209834.1095579;-38.13080360867914
1739209834.1095629;-38.13080360867914
1739209834.109568;-35.57807855764607
1739209834.1095734;-38.13080360867914
1739209834.1095786;-35.57807855764607
1739209834.1095839;-38.13080360867914
1739209834.109589;-45.120503652039325
1739209834.1095943;-33.981070128970906
1739209834.1095996;-45.120503652039325
