CAN Message; 0x1bb:0000a3c9f79896fb
Timestamp;Amplitude
1739209840.251802;-45.120503652039325
1739209840.2518058;-45.120503652039325
1739209840.2518096;-35.57807855764607
1739209840.2518134;-38.13080360867914
1739209840.2518172;-45.120503652039325
1739209840.2518213;-45.120503652039325
1739209840.251825;-38.13080360867914
1739209840.251829;-45.120503652039325
1739209840.2518327;-38.13080360867914
1739209840.2518365;-45.120503652039325
1739209840.2518404;-35.57807855764607
1739209840.2518442;-45.120503652039325
1739209840.251848;-45.120503652039325
1739209840.2518518;-45.120503652039325
1739209840.2518556;-30.49652367304973
1739209840.2518594;-35.57807855764607
1739209840.2518632;-45.120503652039325
1739209840.2518673;-45.120503652039325
1739209840.251871;-35.57807855764607
1739209840.251875;-38.13080360867914
1739209840.2518787;-45.120503652039325
1739209840.2518826;-35.57807855764607
1739209840.2518864;-38.13080360867914
1739209840.2518902;-45.120503652039325
1739209840.251894;-38.13080360867914
1739209840.2518978;-45.120503652039325
1739209840.2519016;-45.120503652039325
1739209840.2519054;-45.120503652039325
1739209840.2519095;-35.57807855764607
1739209840.2519133;-38.13080360867914
1739209840.2519171;-28.21854285175415
1739209840.251921;-31.141103565318893
1739209840.2519248;-38.13080360867914
1739209840.2519286;-35.57807855764607
1739209840.2519324;-38.13080360867914
1739209840.2519362;-38.13080360867914
1739209840.25194;-45.120503652039325
1739209840.2519438;-32.816014438256545
1739209840.2519476;-45.120503652039325
1739209840.2519515;-45.120503652039325
1739209840.2519555;-32.816014438256545
1739209840.2519593;-30.49652367304973
1739209840.2519631;-45.120503652039325
1739209840.251967;-45.120503652039325
1739209840.2519708;-35.57807855764607
1739209840.2519746;-38.13080360867914
1739209840.2519784;-35.57807855764607
1739209840.2519822;-35.57807855764607
1739209840.251986;-38.13080360867914
1739209840.2519898;-35.57807855764607
1739209840.2519937;-35.57807855764607
1739209840.2519977;-35.57807855764607
1739209840.2520015;-38.13080360867914
1739209840.2520053;-32.816014438256545
1739209840.2520092;-45.120503652039325
1739209840.252013;-45.120503652039325
1739209840.2520168;-45.120503652039325
1739209840.2520206;-38.13080360867914
1739209840.2520244;-38.13080360867914
1739209840.2520282;-38.13080360867914
1739209840.252032;-35.57807855764607
1739209840.2520359;-33.981070128970906
1739209840.2520397;-33.981070128970906
1739209840.2520437;-45.120503652039325
1739209840.2520475;-33.981070128970906
1739209840.2520514;-45.120503652039325
1739209840.2520552;-38.13080360867914
1739209840.252059;-45.120503652039325
1739209840.2520628;-45.120503652039325
1739209840.2520666;-45.120503652039325
1739209840.2520704;-31.141103565318893
1739209840.2520742;-27.8777449560314
1739209840.252078;-45.120503652039325
1739209840.2520819;-38.13080360867914
1739209840.252086;-38.13080360867914
1739209840.2520897;-35.57807855764607
1739209840.2520936;-38.13080360867914
1739209840.2520974;-38.13080360867914
1739209840.2521012;-38.13080360867914
1739209840.252105;-45.120503652039325
1739209840.2521088;-33.981070128970906
1739209840.2521126;-38.13080360867914
1739209840.2521164;-38.13080360867914
1739209840.2521203;-45.120503652039325
1739209840.252124;-38.13080360867914
1739209840.252128;-45.120503652039325
1739209840.252132;-35.57807855764607
1739209840.2521358;-26.991370085610722
1739209840.2521396;-38.13080360867914
1739209840.2521434;-35.57807855764607
1739209840.2521472;-38.13080360867914
1739209840.252151;-45.120503652039325
1739209840.2521548;-38.13080360867914
1739209840.2521586;-45.120503652039325
1739209840.2521625;-45.120503652039325
1739209840.2521663;-45.120503652039325
1739209840.25217;-45.120503652039325
1739209840.2521741;-45.120503652039325
1739209840.252178;-45.120503652039325
1739209840.2521818;-33.981070128970906
1739209840.2521856;-38.13080360867914
1739209840.2521894;-38.13080360867914
1739209840.2521932;-45.120503652039325
1739209840.252197;-38.13080360867914
1739209840.2522008;-45.120503652039325
1739209840.2522047;-45.120503652039325
1739209840.2522085;-45.120503652039325
1739209840.2522123;-45.120503652039325
1739209840.252216;-38.13080360867914
1739209840.2522202;-32.816014438256545
1739209840.252224;-45.120503652039325
1739209840.2522278;-33.981070128970906
1739209840.2522316;-32.816014438256545
1739209840.2522354;-45.120503652039325
1739209840.2522392;-45.120503652039325
1739209840.252243;-35.57807855764607
1739209840.2522469;-33.981070128970906
1739209840.2522507;-33.981070128970906
1739209840.2522545;-45.120503652039325
1739209840.2522583;-38.13080360867914
1739209840.2522624;-45.120503652039325
1739209840.2522662;-45.120503652039325
1739209840.25227;-45.120503652039325
1739209840.2522738;-45.120503652039325
1739209840.2522776;-35.57807855764607
1739209840.2522814;-38.13080360867914
1739209840.2522852;-45.120503652039325
1739209840.252289;-38.13080360867914
1739209840.2522929;-35.57807855764607
1739209840.2522967;-45.120503652039325
1739209840.2523005;-38.13080360867914
1739209840.2523043;-35.57807855764607
1739209840.2523084;-38.13080360867914
1739209840.2523122;-35.57807855764607
1739209840.252316;-45.120503652039325
1739209840.2523198;-45.120503652039325
1739209840.2523236;-38.13080360867914
1739209840.2523274;-35.57807855764607
1739209840.2523313;-45.120503652039325
1739209840.252335;-45.120503652039325
1739209840.252339;-32.816014438256545
1739209840.2523427;-38.13080360867914
1739209840.2523465;-38.13080360867914
1739209840.2523506;-38.13080360867914
1739209840.2523544;-38.13080360867914
1739209840.2523582;-38.13080360867914
1739209840.252362;-45.120503652039325
1739209840.2523658;-45.120503652039325
1739209840.2523696;-35.57807855764607
1739209840.2523735;-35.57807855764607
1739209840.2523773;-38.13080360867914
1739209840.252381;-38.13080360867914
1739209840.252385;-38.13080360867914
1739209840.2523887;-45.120503652039325
1739209840.2523925;-45.120503652039325
1739209840.2523966;-38.13080360867914
1739209840.2524004;-38.13080360867914
1739209840.2524042;-45.120503652039325
1739209840.252408;-38.13080360867914
1739209840.2524118;-45.120503652039325
1739209840.2524157;-45.120503652039325
1739209840.2524195;-38.13080360867914
1739209840.2524233;-38.13080360867914
1739209840.252427;-38.13080360867914
1739209840.252431;-45.120503652039325
1739209840.2524347;-45.120503652039325
1739209840.2524388;-38.13080360867914
1739209840.2524426;-38.13080360867914
1739209840.2524464;-33.981070128970906
1739209840.2524502;-35.57807855764607
1739209840.252454;-38.13080360867914
1739209840.2524579;-38.13080360867914
1739209840.2524617;-35.57807855764607
1739209840.2524655;-38.13080360867914
1739209840.2524693;-45.120503652039325
1739209840.252473;-45.120503652039325
1739209840.252477;-38.13080360867914
1739209840.2524807;-45.120503652039325
1739209840.2524848;-45.120503652039325
1739209840.2524886;-38.13080360867914
1739209840.2524924;-45.120503652039325
1739209840.2524962;-38.13080360867914
1739209840.2525;-33.981070128970906
1739209840.2525039;-45.120503652039325
1739209840.2525077;-38.13080360867914
1739209840.2525115;-38.13080360867914
1739209840.2525153;-45.120503652039325
1739209840.2525191;-45.120503652039325
1739209840.252523;-32.816014438256545
1739209840.252527;-35.57807855764607
1739209840.2525308;-45.120503652039325
1739209840.2525346;-45.120503652039325
1739209840.2525384;-38.13080360867914
1739209840.2525423;-45.120503652039325
1739209840.252546;-45.120503652039325
1739209840.25255;-45.120503652039325
1739209840.2525537;-45.120503652039325
1739209840.2525575;-45.120503652039325
1739209840.2525613;-38.13080360867914
1739209840.2525651;-38.13080360867914
1739209840.252569;-32.816014438256545
1739209840.252573;-35.57807855764607
1739209840.2525768;-45.120503652039325
1739209840.2525806;-38.13080360867914
1739209840.2525845;-33.981070128970906
1739209840.2525883;-45.120503652039325
1739209840.252592;-45.120503652039325
1739209840.252596;-45.120503652039325
1739209840.2525997;-38.13080360867914
1739209840.2526035;-35.57807855764607
