CAN Message; 0x24:02e1378b510cca6b
Timestamp;Amplitude
1739209702.5473144;-45.120503652039325
1739209702.5473323;-45.120503652039325
1739209702.5473504;-45.120503652039325
1739209702.5473683;-45.120503652039325
1739209702.5473862;-45.120503652039325
1739209702.547404;-33.981070128970906
1739209702.547422;-33.981070128970906
1739209702.54744;-38.13080360867914
1739209702.547458;-38.13080360867914
1739209702.5474758;-35.57807855764607
1739209702.5474937;-35.57807855764607
1739209702.5475116;-45.120503652039325
1739209702.5475295;-38.13080360867914
1739209702.5475476;-45.120503652039325
1739209702.5475655;-38.13080360867914
1739209702.5475833;-45.120503652039325
1739209702.5476012;-45.120503652039325
1739209702.547619;-45.120503652039325
1739209702.5476372;-38.13080360867914
1739209702.547655;-45.120503652039325
1739209702.547673;-45.120503652039325
1739209702.5476909;-45.120503652039325
1739209702.5477087;-45.120503652039325
1739209702.5477269;-38.13080360867914
1739209702.5477448;-45.120503652039325
1739209702.5477626;-38.13080360867914
1739209702.5477805;-38.13080360867914
1739209702.5477984;-38.13080360867914
1739209702.5478163;-33.981070128970906
1739209702.5478344;-28.992665084841942
1739209702.5478523;-28.992665084841942
1739209702.5478702;-38.13080360867914
1739209702.547888;-38.13080360867914
1739209702.547906;-32.816014438256545
1739209702.547924;-33.981070128970906
1739209702.547942;-45.120503652039325
1739209702.5479598;-45.120503652039325
1739209702.5479777;-38.13080360867914
1739209702.5479956;-38.13080360867914
1739209702.5480137;-45.120503652039325
1739209702.5480316;-45.120503652039325
1739209702.5480494;-45.120503652039325
1739209702.5480673;-45.120503652039325
1739209702.5480852;-45.120503652039325
1739209702.5481033;-38.13080360867914
1739209702.5481212;-33.981070128970906
1739209702.548139;-28.992665084841942
1739209702.548157;-45.120503652039325
1739209702.5481749;-38.13080360867914
1739209702.5481927;-35.57807855764607
1739209702.5482109;-35.57807855764607
1739209702.5482287;-38.13080360867914
1739209702.5482466;-38.13080360867914
1739209702.5482645;-38.13080360867914
1739209702.5482824;-33.981070128970906
1739209702.5483005;-35.57807855764607
1739209702.5483184;-45.120503652039325
1739209702.5483363;-45.120503652039325
1739209702.5483541;-38.13080360867914
1739209702.548372;-35.57807855764607
1739209702.5483902;-45.120503652039325
1739209702.548408;-45.120503652039325
1739209702.548426;-38.13080360867914
1739209702.5484438;-38.13080360867914
1739209702.5484617;-45.120503652039325
1739209702.5484798;-45.120503652039325
1739209702.5484977;-38.13080360867914
1739209702.5485156;-45.120503652039325
1739209702.5485334;-45.120503652039325
1739209702.5485513;-35.57807855764607
1739209702.5485692;-38.13080360867914
1739209702.5485873;-38.13080360867914
1739209702.5486052;-45.120503652039325
1739209702.548623;-45.120503652039325
1739209702.548641;-35.57807855764607
1739209702.5486588;-38.13080360867914
1739209702.548677;-38.13080360867914
1739209702.5486948;-45.120503652039325
1739209702.5487127;-38.13080360867914
1739209702.5487306;-38.13080360867914
1739209702.5487485;-38.13080360867914
1739209702.5487666;-38.13080360867914
1739209702.5487845;-45.120503652039325
1739209702.5488024;-45.120503652039325
1739209702.5488203;-38.13080360867914
1739209702.5488381;-45.120503652039325
1739209702.548856;-38.13080360867914
1739209702.5488741;-35.57807855764607
1739209702.548892;-45.120503652039325
1739209702.54891;-38.13080360867914
1739209702.5489278;-31.141103565318915
1739209702.5489457;-38.13080360867914
1739209702.5489638;-45.120503652039325
1739209702.5489817;-38.13080360867914
1739209702.5489995;-38.13080360867914
1739209702.5490174;-45.120503652039325
1739209702.5490353;-45.120503652039325
1739209702.5490534;-35.57807855764607
1739209702.5490713;-38.13080360867914
1739209702.5490892;-45.120503652039325
1739209702.549107;-38.13080360867914
1739209702.549125;-45.120503652039325
1739209702.549143;-33.981070128970906
1739209702.549161;-38.13080360867914
1739209702.5491788;-38.13080360867914
1739209702.5491967;-32.816014438256545
1739209702.5492146;-38.13080360867914
1739209702.5492325;-45.120503652039325
1739209702.5492506;-38.13080360867914
1739209702.5492685;-45.120503652039325
1739209702.5492864;-45.120503652039325
1739209702.5493042;-45.120503652039325
1739209702.5493221;-45.120503652039325
1739209702.5493402;-45.120503652039325
1739209702.5493581;-38.13080360867914
1739209702.549376;-35.57807855764607
1739209702.549394;-38.13080360867914
1739209702.5494118;-45.120503652039325
1739209702.54943;-45.120503652039325
1739209702.5494478;-45.120503652039325
1739209702.5494657;-38.13080360867914
1739209702.5494835;-38.13080360867914
1739209702.5495014;-38.13080360867914
1739209702.5495193;-45.120503652039325
1739209702.5495374;-45.120503652039325
1739209702.5495553;-45.120503652039325
1739209702.5495732;-38.13080360867914
1739209702.549591;-32.816014438256545
1739209702.549609;-35.57807855764607
1739209702.549627;-38.13080360867914
1739209702.549645;-33.981070128970906
1739209702.5496628;-33.981070128970906
1739209702.5496807;-45.120503652039325
1739209702.5496986;-38.13080360867914
1739209702.5497167;-38.13080360867914
1739209702.5497346;-38.13080360867914
1739209702.5497525;-38.13080360867914
1739209702.5497704;-38.13080360867914
1739209702.5497882;-38.13080360867914
1739209702.5498064;-45.120503652039325
1739209702.5498242;-45.120503652039325
1739209702.5498421;-32.816014438256545
1739209702.54986;-38.13080360867914
1739209702.549878;-45.120503652039325
1739209702.5498958;-38.13080360867914
1739209702.549914;-35.57807855764607
