CAN Message; 0x39:0ab8cb102ff163b5
Timestamp;Amplitude
1739209754.4869716;-38.13080360867914
1739209754.4869747;-35.57807855764607
1739209754.486978;-45.120503652039325
1739209754.4869812;-45.120503652039325
1739209754.4869843;-38.13080360867914
1739209754.4869874;-35.57807855764607
1739209754.4869907;-38.13080360867914
1739209754.4869938;-45.120503652039325
1739209754.486997;-38.13080360867914
1739209754.487;-38.13080360867914
1739209754.487003;-45.120503652039325
1739209754.4870064;-45.120503652039325
1739209754.4870095;-45.120503652039325
1739209754.4870126;-45.120503652039325
1739209754.4870157;-45.120503652039325
1739209754.4870188;-38.13080360867914
1739209754.4870222;-38.13080360867914
1739209754.4870253;-26.487275050834715
1739209754.4870284;-38.13080360867914
1739209754.4870315;-38.13080360867914
1739209754.4870348;-38.13080360867914
1739209754.487038;-35.57807855764607
1739209754.487041;-38.13080360867914
1739209754.487044;-38.13080360867914
1739209754.4870472;-45.120503652039325
1739209754.4870505;-38.13080360867914
1739209754.4870536;-45.120503652039325
1739209754.4870567;-45.120503652039325
1739209754.4870598;-45.120503652039325
1739209754.4870632;-45.120503652039325
1739209754.4870663;-38.13080360867914
1739209754.4870694;-35.57807855764607
1739209754.4870725;-38.13080360867914
1739209754.4870756;-45.120503652039325
1739209754.487079;-38.13080360867914
1739209754.487082;-32.816014438256545
1739209754.487085;-45.120503652039325
1739209754.4870882;-38.13080360867914
1739209754.4870913;-35.57807855764607
1739209754.4870946;-45.120503652039325
1739209754.4870977;-38.13080360867914
1739209754.4871008;-29.438486411369333
1739209754.487104;-38.13080360867914
1739209754.4871073;-45.120503652039325
1739209754.4871104;-45.120503652039325
1739209754.4871135;-35.57807855764607
1739209754.4871166;-38.13080360867914
1739209754.4871197;-38.13080360867914
1739209754.487123;-38.13080360867914
1739209754.487126;-45.120503652039325
1739209754.4871292;-38.13080360867914
1739209754.4871323;-45.120503652039325
1739209754.4871356;-38.13080360867914
1739209754.4871387;-45.120503652039325
1739209754.4871418;-38.13080360867914
1739209754.487145;-45.120503652039325
1739209754.487148;-45.120503652039325
1739209754.4871514;-38.13080360867914
1739209754.4871545;-38.13080360867914
