CAN Message; 0x150:0200d050e27d1239
Timestamp;Amplitude
1739209716.6736956;-35.57807855764607
1739209716.6737046;-38.13080360867914
1739209716.673714;-38.13080360867914
1739209716.673723;-38.13080360867914
1739209716.673732;-45.120503652039325
1739209716.673741;-45.120503652039325
1739209716.6737504;-45.120503652039325
1739209716.6737595;-33.981070128970906
1739209716.6737685;-31.141103565318915
1739209716.6737776;-45.120503652039325
1739209716.6737869;-35.57807855764607
1739209716.673796;-38.13080360867914
1739209716.673805;-38.13080360867914
1739209716.673814;-45.120503652039325
1739209716.6738234;-45.120503652039325
1739209716.6738324;-38.13080360867914
1739209716.6738415;-35.57807855764607
1739209716.6738505;-38.13080360867914
1739209716.6738598;-45.120503652039325
1739209716.673869;-45.120503652039325
1739209716.673878;-45.120503652039325
1739209716.673887;-45.120503652039325
1739209716.6738963;-45.120503652039325
1739209716.6739054;-38.13080360867914
1739209716.6739144;-33.981070128970906
1739209716.6739235;-45.120503652039325
1739209716.6739328;-45.120503652039325
1739209716.6739419;-45.120503652039325
1739209716.673951;-38.13080360867914
1739209716.67396;-35.57807855764607
1739209716.6739693;-45.120503652039325
1739209716.6739783;-38.13080360867914
1739209716.6739874;-35.57807855764607
1739209716.6739964;-38.13080360867914
1739209716.6740057;-45.120503652039325
1739209716.6740148;-45.120503652039325
1739209716.6740239;-38.13080360867914
1739209716.674033;-45.120503652039325
1739209716.6740422;-45.120503652039325
1739209716.6740513;-45.120503652039325
1739209716.6740603;-38.13080360867914
1739209716.6740694;-38.13080360867914
1739209716.6740787;-45.120503652039325
1739209716.6740878;-45.120503652039325
1739209716.6740968;-38.13080360867914
1739209716.674106;-32.816014438256545
1739209716.6741152;-38.13080360867914
1739209716.6741242;-38.13080360867914
1739209716.6741333;-28.992665084841942
1739209716.6741424;-38.13080360867914
1739209716.6741517;-45.120503652039325
1739209716.6741607;-38.13080360867914
1739209716.6741698;-33.981070128970906
1739209716.6741788;-45.120503652039325
1739209716.6741881;-45.120503652039325
1739209716.6741972;-45.120503652039325
1739209716.6742063;-45.120503652039325
1739209716.6742153;-38.13080360867914
1739209716.6742246;-38.13080360867914
1739209716.6742337;-45.120503652039325
1739209716.6742427;-32.816014438256545
1739209716.6742518;-35.57807855764607
1739209716.674261;-45.120503652039325
1739209716.6742702;-45.120503652039325
1739209716.6742792;-38.13080360867914
1739209716.6742883;-45.120503652039325
1739209716.6742976;-45.120503652039325
1739209716.6743066;-45.120503652039325
1739209716.6743157;-45.120503652039325
1739209716.6743248;-45.120503652039325
1739209716.674334;-45.120503652039325
1739209716.674343;-38.13080360867914
1739209716.6743522;-38.13080360867914
1739209716.6743612;-45.120503652039325
1739209716.6743705;-35.57807855764607
1739209716.6743796;-38.13080360867914
1739209716.6743886;-38.13080360867914
1739209716.6743977;-38.13080360867914
1739209716.674407;-38.13080360867914
1739209716.674416;-38.13080360867914
1739209716.6744251;-45.120503652039325
1739209716.6744342;-45.120503652039325
1739209716.6744435;-45.120503652039325
1739209716.6744525;-38.13080360867914
1739209716.6744616;-45.120503652039325
1739209716.6744707;-38.13080360867914
1739209716.6744797;-38.13080360867914
1739209716.674489;-33.981070128970906
1739209716.674498;-32.816014438256545
1739209716.6745071;-33.981070128970906
1739209716.6745162;-38.13080360867914
1739209716.6745255;-45.120503652039325
1739209716.6745346;-45.120503652039325
1739209716.6745436;-45.120503652039325
1739209716.6745527;-45.120503652039325
1739209716.674562;-38.13080360867914
1739209716.674571;-45.120503652039325
1739209716.67458;-45.120503652039325
1739209716.6745892;-38.13080360867914
1739209716.6745985;-38.13080360867914
1739209716.6746075;-45.120503652039325
1739209716.6746166;-38.13080360867914
1739209716.6746256;-38.13080360867914
1739209716.674635;-45.120503652039325
1739209716.674644;-38.13080360867914
1739209716.674653;-32.816014438256545
1739209716.674662;-38.13080360867914
1739209716.6746714;-38.13080360867914
1739209716.6746805;-38.13080360867914
1739209716.6746895;-45.120503652039325
1739209716.6746986;-45.120503652039325
1739209716.674708;-45.120503652039325
1739209716.674717;-45.120503652039325
1739209716.674726;-45.120503652039325
1739209716.674735;-38.13080360867914
1739209716.6747444;-45.120503652039325
1739209716.6747534;-45.120503652039325
1739209716.6747625;-45.120503652039325
1739209716.6747715;-38.13080360867914
1739209716.6747808;-38.13080360867914
1739209716.67479;-35.57807855764607
1739209716.674799;-35.57807855764607
1739209716.674808;-38.13080360867914
1739209716.6748173;-38.13080360867914
1739209716.6748264;-33.981070128970906
1739209716.6748354;-38.13080360867914
1739209716.6748445;-45.120503652039325
1739209716.6748538;-38.13080360867914
1739209716.6748629;-38.13080360867914
1739209716.674872;-45.120503652039325
1739209716.674881;-45.120503652039325
1739209716.6748903;-45.120503652039325
1739209716.6748993;-38.13080360867914
1739209716.6749084;-38.13080360867914
1739209716.6749175;-45.120503652039325
1739209716.6749268;-45.120503652039325
1739209716.6749358;-38.13080360867914
1739209716.6749449;-38.13080360867914
1739209716.674954;-38.13080360867914
1739209716.6749632;-45.120503652039325
1739209716.6749723;-45.120503652039325
1739209716.6749814;-38.13080360867914
1739209716.6749904;-38.13080360867914
1739209716.6749997;-45.120503652039325
1739209716.6750088;-38.13080360867914
1739209716.6750178;-38.13080360867914
1739209716.675027;-45.120503652039325
1739209716.6750362;-45.120503652039325
1739209716.6750453;-38.13080360867914
1739209716.6750543;-33.981070128970906
1739209716.6750634;-45.120503652039325
1739209716.6750727;-45.120503652039325
1739209716.6750817;-38.13080360867914
1739209716.6750908;-38.13080360867914
1739209716.6750998;-38.13080360867914
1739209716.6751091;-45.120503652039325
1739209716.6751182;-38.13080360867914
1739209716.6751273;-38.13080360867914
1739209716.6751363;-38.13080360867914
1739209716.6751456;-45.120503652039325
1739209716.6751547;-35.57807855764607
1739209716.6751637;-38.13080360867914
1739209716.6751728;-45.120503652039325
1739209716.675182;-35.57807855764607
1739209716.6751912;-38.13080360867914
1739209716.6752002;-38.13080360867914
