CAN Message; 0x1bb:00006f54a8fc900e
Timestamp;Amplitude
1739209717.81349;-35.57807855764607
1739209717.8134937;-38.13080360867914
1739209717.8134978;-38.13080360867914
1739209717.8135018;-35.57807855764607
1739209717.813506;-35.57807855764607
1739209717.81351;-38.13080360867914
1739209717.813514;-38.13080360867914
1739209717.813518;-45.120503652039325
1739209717.8135219;-45.120503652039325
1739209717.813526;-38.13080360867914
1739209717.81353;-35.57807855764607
1739209717.813534;-45.120503652039325
1739209717.813538;-45.120503652039325
1739209717.8135421;-45.120503652039325
1739209717.8135462;-38.13080360867914
1739209717.81355;-38.13080360867914
1739209717.813554;-45.120503652039325
1739209717.813558;-33.981070128970906
1739209717.8135622;-45.120503652039325
1739209717.8135662;-35.57807855764607
1739209717.8135703;-38.13080360867914
1739209717.8135743;-35.57807855764607
1739209717.8135781;-32.816014438256545
1739209717.8135822;-38.13080360867914
1739209717.8135862;-38.13080360867914
1739209717.8135903;-45.120503652039325
1739209717.8135943;-32.816014438256545
1739209717.8135984;-45.120503652039325
1739209717.8136024;-45.120503652039325
1739209717.8136063;-45.120503652039325
1739209717.8136103;-45.120503652039325
1739209717.8136144;-38.13080360867914
1739209717.8136184;-45.120503652039325
1739209717.8136225;-45.120503652039325
1739209717.8136265;-45.120503652039325
1739209717.8136303;-33.981070128970906
1739209717.8136344;-45.120503652039325
1739209717.8136384;-35.57807855764607
1739209717.8136425;-32.816014438256545
1739209717.8136466;-38.13080360867914
1739209717.8136506;-45.120503652039325
1739209717.8136547;-38.13080360867914
1739209717.8136585;-32.816014438256545
1739209717.8136625;-38.13080360867914
1739209717.8136666;-45.120503652039325
1739209717.8136706;-45.120503652039325
1739209717.8136747;-31.141103565318893
1739209717.8136787;-45.120503652039325
1739209717.8136828;-45.120503652039325
1739209717.8136866;-45.120503652039325
1739209717.8136907;-45.120503652039325
1739209717.8136947;-45.120503652039325
1739209717.8136988;-45.120503652039325
1739209717.8137028;-45.120503652039325
