CAN Message; 0x39:051e5de3082d000d
Timestamp;Amplitude
1739209804.363212;-38.13080360867914
1739209804.3632257;-33.981070128970906
1739209804.3632393;-45.120503652039325
1739209804.3632529;-38.13080360867914
1739209804.3632665;-38.13080360867914
1739209804.36328;-38.13080360867914
1739209804.3632936;-38.13080360867914
1739209804.3633072;-33.981070128970906
1739209804.3633208;-35.57807855764607
1739209804.3633347;-45.120503652039325
1739209804.3633482;-45.120503652039325
1739209804.3633618;-31.141103565318915
1739209804.3633754;-32.816014438256545
1739209804.363389;-45.120503652039325
1739209804.3634026;-38.13080360867914
1739209804.3634162;-35.57807855764607
1739209804.3634298;-35.57807855764607
1739209804.3634434;-38.13080360867914
1739209804.363457;-45.120503652039325
1739209804.3634706;-35.57807855764607
1739209804.3634841;-38.13080360867914
1739209804.3634977;-38.13080360867914
1739209804.3635113;-45.120503652039325
1739209804.363525;-45.120503652039325
1739209804.3635385;-35.57807855764607
1739209804.363552;-45.120503652039325
1739209804.3635657;-38.13080360867914
1739209804.3635795;-25.826314394896357
1739209804.363593;-35.57807855764607
1739209804.3636067;-45.120503652039325
1739209804.3636203;-45.120503652039325
1739209804.3636339;-31.141103565318915
1739209804.3636475;-35.57807855764607
1739209804.363661;-38.13080360867914
1739209804.3636746;-45.120503652039325
1739209804.3636882;-38.13080360867914
1739209804.3637018;-45.120503652039325
1739209804.3637154;-45.120503652039325
1739209804.363729;-45.120503652039325
1739209804.3637426;-45.120503652039325
1739209804.3637562;-38.13080360867914
1739209804.3637698;-38.13080360867914
1739209804.3637834;-38.13080360867914
1739209804.363797;-38.13080360867914
1739209804.3638105;-45.120503652039325
1739209804.3638241;-45.120503652039325
1739209804.363838;-38.13080360867914
1739209804.3638515;-38.13080360867914
1739209804.3638651;-45.120503652039325
1739209804.3638787;-38.13080360867914
1739209804.3638923;-45.120503652039325
1739209804.363906;-33.981070128970906
1739209804.3639195;-38.13080360867914
1739209804.363933;-45.120503652039325
1739209804.3639467;-35.57807855764607
1739209804.3639603;-33.981070128970906
1739209804.3639739;-45.120503652039325
