CAN Message; 0x1bb:0000c3e590194df1
Timestamp;Amplitude
1739209658.3602695;-45.120503652039325
1739209658.3602717;-38.13080360867914
1739209658.360274;-38.13080360867914
1739209658.3602762;-33.981070128970906
1739209658.3602786;-45.120503652039325
1739209658.360281;-32.816014438256545
1739209658.3602831;-33.981070128970906
1739209658.3602855;-45.120503652039325
1739209658.3602877;-35.57807855764607
1739209658.36029;-38.13080360867914
1739209658.3602924;-45.120503652039325
1739209658.3602946;-33.981070128970906
1739209658.360297;-45.120503652039325
1739209658.360299;-38.13080360867914
1739209658.3603015;-35.57807855764607
1739209658.3603039;-33.981070128970906
1739209658.360306;-45.120503652039325
1739209658.3603084;-45.120503652039325
1739209658.3603108;-35.57807855764607
1739209658.360313;-38.13080360867914
1739209658.3603153;-45.120503652039325
1739209658.3603175;-35.57807855764607
1739209658.3603199;-35.57807855764607
1739209658.3603222;-38.13080360867914
1739209658.3603244;-45.120503652039325
1739209658.3603268;-38.13080360867914
1739209658.360329;-45.120503652039325
1739209658.3603313;-45.120503652039325
1739209658.3603337;-45.120503652039325
1739209658.3603358;-45.120503652039325
1739209658.3603382;-35.57807855764607
1739209658.3603404;-35.57807855764607
1739209658.3603427;-45.120503652039325
1739209658.3603451;-45.120503652039325
1739209658.3603473;-38.13080360867914
1739209658.3603497;-38.13080360867914
1739209658.3603518;-45.120503652039325
1739209658.3603542;-45.120503652039325
1739209658.3603566;-45.120503652039325
1739209658.3603587;-38.13080360867914
1739209658.360361;-45.120503652039325
1739209658.3603632;-45.120503652039325
1739209658.3603656;-45.120503652039325
1739209658.360368;-38.13080360867914
1739209658.3603702;-38.13080360867914
1739209658.3603725;-45.120503652039325
1739209658.3603747;-32.816014438256545
1739209658.360377;-35.57807855764607
1739209658.3603795;-45.120503652039325
1739209658.3603816;-33.981070128970906
1739209658.360384;-38.13080360867914
1739209658.3603861;-45.120503652039325
1739209658.3603885;-38.13080360867914
1739209658.360391;-35.57807855764607
1739209658.360393;-45.120503652039325
1739209658.3603954;-38.13080360867914
1739209658.3603978;-35.57807855764607
1739209658.3604;-38.13080360867914
1739209658.3604023;-38.13080360867914
1739209658.3604045;-38.13080360867914
1739209658.3604069;-38.13080360867914
1739209658.3604093;-38.13080360867914
1739209658.3604114;-38.13080360867914
1739209658.3604138;-38.13080360867914
1739209658.360416;-38.13080360867914
1739209658.3604183;-38.13080360867914
1739209658.3604207;-38.13080360867914
1739209658.3604228;-38.13080360867914
1739209658.3604252;-38.13080360867914
1739209658.3604274;-38.13080360867914
1739209658.3604298;-45.120503652039325
1739209658.3604321;-45.120503652039325
1739209658.3604343;-45.120503652039325
1739209658.3604367;-33.981070128970906
1739209658.3604388;-45.120503652039325
1739209658.3604412;-45.120503652039325
1739209658.3604436;-45.120503652039325
1739209658.3604457;-33.981070128970906
1739209658.3604481;-38.13080360867914
1739209658.3604503;-38.13080360867914
1739209658.3604527;-45.120503652039325
1739209658.360455;-45.120503652039325
1739209658.3604572;-45.120503652039325
1739209658.3604596;-45.120503652039325
1739209658.3604617;-45.120503652039325
1739209658.360464;-45.120503652039325
1739209658.3604665;-45.120503652039325
1739209658.3604686;-38.13080360867914
1739209658.360471;-45.120503652039325
1739209658.3604732;-38.13080360867914
1739209658.3604755;-45.120503652039325
1739209658.360478;-45.120503652039325
1739209658.36048;-38.13080360867914
1739209658.3604825;-38.13080360867914
1739209658.3604848;-45.120503652039325
1739209658.360487;-45.120503652039325
1739209658.3604894;-38.13080360867914
1739209658.3604915;-38.13080360867914
1739209658.360494;-38.13080360867914
1739209658.3604963;-38.13080360867914
1739209658.3604984;-38.13080360867914
1739209658.3605008;-45.120503652039325
1739209658.360503;-38.13080360867914
1739209658.3605053;-35.57807855764607
1739209658.3605077;-38.13080360867914
1739209658.3605099;-33.981070128970906
1739209658.3605123;-31.141103565318915
1739209658.3605144;-45.120503652039325
1739209658.3605168;-45.120503652039325
1739209658.3605192;-38.13080360867914
1739209658.3605213;-45.120503652039325
1739209658.3605237;-45.120503652039325
1739209658.3605258;-31.141103565318915
1739209658.3605282;-32.816014438256545
1739209658.3605306;-32.81601443825658
1739209658.3605328;-45.120503652039325
1739209658.3605351;-45.120503652039325
1739209658.3605373;-38.13080360867914
1739209658.3605397;-45.120503652039325
1739209658.360542;-38.13080360867914
1739209658.3605442;-45.120503652039325
1739209658.3605466;-33.981070128970906
1739209658.3605487;-33.981070128970906
1739209658.360551;-45.120503652039325
1739209658.3605535;-45.120503652039325
1739209658.3605556;-45.120503652039325
1739209658.360558;-38.13080360867914
1739209658.3605604;-38.13080360867914
1739209658.3605626;-45.120503652039325
1739209658.360565;-38.13080360867914
1739209658.360567;-33.981070128970906
1739209658.3605695;-45.120503652039325
1739209658.3605719;-38.13080360867914
1739209658.360574;-38.13080360867914
1739209658.3605764;-38.13080360867914
1739209658.3605785;-45.120503652039325
1739209658.360581;-45.120503652039325
1739209658.3605833;-38.13080360867914
1739209658.3605855;-38.13080360867914
1739209658.3605878;-35.57807855764607
1739209658.36059;-38.13080360867914
1739209658.3605924;-45.120503652039325
1739209658.3605947;-38.13080360867914
1739209658.360597;-35.57807855764607
1739209658.3605993;-45.120503652039325
1739209658.3606014;-38.13080360867914
1739209658.3606038;-26.487275050834715
1739209658.3606062;-38.13080360867914
1739209658.3606083;-45.120503652039325
1739209658.3606107;-45.120503652039325
1739209658.3606129;-38.13080360867914
1739209658.3606153;-45.120503652039325
1739209658.3606176;-38.13080360867914
1739209658.3606198;-45.120503652039325
1739209658.3606222;-33.981070128970956
1739209658.3606243;-45.120503652039325
1739209658.3606267;-45.120503652039325
1739209658.360629;-45.120503652039325
1739209658.3606312;-35.57807855764607
1739209658.3606336;-35.57807855764607
1739209658.3606358;-45.120503652039325
1739209658.3606381;-45.120503652039325
1739209658.3606405;-32.816014438256545
1739209658.3606427;-38.13080360867914
1739209658.360645;-38.13080360867914
1739209658.3606474;-33.981070128970906
1739209658.3606496;-45.120503652039325
1739209658.360652;-45.120503652039325
1739209658.360654;-45.120503652039325
1739209658.3606565;-45.120503652039325
1739209658.360659;-38.13080360867914
1739209658.360661;-45.120503652039325
1739209658.3606634;-45.120503652039325
1739209658.3606656;-45.120503652039325
1739209658.360668;-33.981070128970906
1739209658.3606703;-45.120503652039325
