CAN Message; 0x1b8:00002e86c344c345
Timestamp;Amplitude
1739209670.008438;-35.57807855764607
1739209670.0084429;-45.120503652039325
1739209670.0084476;-33.981070128970906
1739209670.0084527;-33.981070128970906
1739209670.0084574;-45.120503652039325
1739209670.0084622;-45.120503652039325
1739209670.008467;-38.13080360867914
1739209670.0084717;-38.13080360867914
1739209670.0084765;-45.120503652039325
1739209670.0084813;-45.120503652039325
1739209670.0084863;-45.120503652039325
1739209670.008491;-38.13080360867914
1739209670.0084958;-38.13080360867914
1739209670.0085006;-45.120503652039325
1739209670.0085053;-45.120503652039325
1739209670.00851;-33.981070128970906
1739209670.0085151;-31.141103565318915
1739209670.00852;-45.120503652039325
1739209670.0085247;-35.57807855764607
1739209670.0085294;-35.57807855764607
1739209670.0085342;-45.120503652039325
1739209670.008539;-45.120503652039325
1739209670.0085437;-35.57807855764607
1739209670.0085487;-33.981070128970906
1739209670.0085535;-45.120503652039325
1739209670.0085583;-45.120503652039325
1739209670.008563;-45.120503652039325
1739209670.0085678;-45.120503652039325
1739209670.0085726;-45.120503652039325
1739209670.0085773;-45.120503652039325
1739209670.0085824;-45.120503652039325
1739209670.0085871;-38.13080360867914
1739209670.008592;-38.13080360867914
1739209670.0085967;-38.13080360867914
1739209670.0086014;-38.13080360867914
1739209670.0086062;-35.57807855764607
1739209670.008611;-33.981070128970906
1739209670.008616;-45.120503652039325
1739209670.0086207;-45.120503652039325
1739209670.0086255;-45.120503652039325
1739209670.0086303;-38.13080360867914
1739209670.008635;-38.13080360867914
1739209670.0086398;-45.120503652039325
1739209670.0086448;-38.13080360867914
1739209670.0086496;-38.13080360867914
1739209670.0086544;-38.13080360867914
1739209670.0086591;-45.120503652039325
1739209670.008664;-35.57807855764607
1739209670.0086687;-38.13080360867914
1739209670.0086734;-45.120503652039325
1739209670.0086784;-38.13080360867914
1739209670.0086832;-45.120503652039325
1739209670.008688;-33.981070128970906
1739209670.0086927;-45.120503652039325
1739209670.0086975;-38.13080360867914
1739209670.0087023;-38.13080360867914
1739209670.008707;-38.13080360867914
1739209670.008712;-45.120503652039325
1739209670.0087168;-38.13080360867914
1739209670.0087216;-38.13080360867914
