CAN Message; 0x77:7b10f22c5ec5624f
Timestamp;Amplitude
1739209606.0578828;-38.13080360867914
1739209606.0578868;-38.13080360867914
1739209606.0578911;-35.57807855764607
1739209606.0578954;-38.13080360867914
1739209606.0578995;-38.13080360867914
1739209606.0579038;-38.13080360867914
1739209606.057908;-45.120503652039325
1739209606.0579123;-45.120503652039325
1739209606.0579164;-38.13080360867914
1739209606.0579207;-35.57807855764607
1739209606.057925;-33.981070128970906
1739209606.057929;-45.120503652039325
1739209606.0579333;-45.120503652039325
1739209606.0579376;-32.816014438256545
1739209606.0579417;-38.13080360867914
1739209606.057946;-38.13080360867914
1739209606.0579503;-38.13080360867914
1739209606.0579543;-38.13080360867914
1739209606.0579586;-45.120503652039325
1739209606.057963;-38.13080360867914
1739209606.0579672;-35.57807855764607
1739209606.0579712;-38.13080360867914
1739209606.0579755;-31.141103565318893
1739209606.0579798;-26.487275050834715
1739209606.0579839;-38.13080360867914
1739209606.0579882;-38.13080360867914
1739209606.0579925;-45.120503652039325
1739209606.0579965;-38.13080360867914
1739209606.0580008;-45.120503652039325
1739209606.058005;-45.120503652039325
1739209606.0580091;-45.120503652039325
1739209606.0580134;-38.13080360867914
1739209606.0580177;-38.13080360867914
1739209606.058022;-38.13080360867914
1739209606.058026;-38.13080360867914
1739209606.0580304;-38.13080360867914
1739209606.0580347;-35.57807855764607
1739209606.0580387;-45.120503652039325
1739209606.058043;-38.13080360867914
1739209606.0580473;-30.49652367304973
1739209606.0580513;-38.13080360867914
1739209606.0580556;-45.120503652039325
1739209606.05806;-38.13080360867914
1739209606.0580642;-38.13080360867914
1739209606.0580683;-38.13080360867914
1739209606.0580726;-45.120503652039325
1739209606.0580769;-38.13080360867914
1739209606.058081;-35.57807855764607
1739209606.0580852;-45.120503652039325
1739209606.0580895;-45.120503652039325
1739209606.0580935;-45.120503652039325
1739209606.0580978;-38.13080360867914
1739209606.0581021;-38.13080360867914
1739209606.0581062;-45.120503652039325
1739209606.0581105;-38.13080360867914
1739209606.0581148;-45.120503652039325
1739209606.058119;-38.13080360867914
1739209606.058123;-45.120503652039325
1739209606.0581274;-38.13080360867914
1739209606.0581317;-45.120503652039325
1739209606.0581357;-45.120503652039325
1739209606.05814;-45.120503652039325
1739209606.0581443;-45.120503652039325
1739209606.0581484;-32.816014438256545
1739209606.0581527;-38.13080360867914
1739209606.058157;-45.120503652039325
1739209606.058161;-38.13080360867914
1739209606.0581653;-32.816014438256545
1739209606.0581696;-38.13080360867914
1739209606.058174;-45.120503652039325
1739209606.058178;-38.13080360867914
1739209606.0581822;-45.120503652039325
1739209606.0581865;-38.13080360867914
1739209606.0581906;-45.120503652039325
1739209606.0581949;-38.13080360867914
1739209606.0581992;-38.13080360867914
1739209606.0582032;-33.981070128970906
1739209606.0582075;-45.120503652039325
1739209606.0582118;-45.120503652039325
1739209606.0582159;-38.13080360867914
1739209606.0582201;-45.120503652039325
1739209606.0582244;-45.120503652039325
1739209606.0582287;-38.13080360867914
1739209606.0582328;-45.120503652039325
1739209606.058237;-45.120503652039325
1739209606.0582414;-45.120503652039325
1739209606.0582454;-45.120503652039325
1739209606.0582497;-45.120503652039325
1739209606.058254;-45.120503652039325
1739209606.058258;-45.120503652039325
1739209606.0582623;-38.13080360867914
1739209606.0582666;-45.120503652039325
1739209606.0582707;-38.13080360867914
1739209606.058275;-33.981070128970906
1739209606.0582793;-45.120503652039325
1739209606.0582836;-45.120503652039325
1739209606.0582876;-38.13080360867914
1739209606.058292;-38.13080360867914
1739209606.0582962;-45.120503652039325
1739209606.0583003;-45.120503652039325
1739209606.0583045;-33.981070128970906
1739209606.0583088;-45.120503652039325
1739209606.058313;-45.120503652039325
1739209606.0583172;-45.120503652039325
1739209606.0583215;-38.13080360867914
1739209606.0583255;-45.120503652039325
1739209606.0583298;-38.13080360867914
1739209606.058334;-38.13080360867914
1739209606.0583384;-38.13080360867914
1739209606.0583425;-45.120503652039325
1739209606.0583467;-38.13080360867914
1739209606.058351;-35.57807855764607
1739209606.058355;-33.981070128970906
1739209606.0583594;-45.120503652039325
1739209606.0583637;-45.120503652039325
1739209606.0583677;-38.13080360867914
1739209606.058372;-33.981070128970906
1739209606.0583763;-45.120503652039325
1739209606.0583806;-38.13080360867914
1739209606.0583847;-38.13080360867914
1739209606.058389;-38.13080360867914
1739209606.0583932;-45.120503652039325
