CAN Message; 0x1d3:0000a056d24c8b34
Timestamp;Amplitude
1739209745.476385;-45.120503652039325
1739209745.4763932;-38.13080360867914
1739209745.4764016;-35.57807855764607
1739209745.47641;-38.13080360867914
1739209745.476418;-45.120503652039325
1739209745.4764264;-45.120503652039325
1739209745.4764345;-38.13080360867914
1739209745.4764428;-45.120503652039325
1739209745.4764512;-45.120503652039325
1739209745.4764593;-45.120503652039325
1739209745.4764676;-45.120503652039325
1739209745.476476;-38.13080360867914
1739209745.476484;-45.120503652039325
1739209745.4764924;-45.120503652039325
1739209745.4765007;-38.13080360867914
1739209745.4765089;-38.13080360867914
1739209745.4765172;-45.120503652039325
1739209745.4765255;-38.13080360867914
1739209745.4765337;-29.438486411369333
1739209745.476542;-35.57807855764607
1739209745.47655;-38.13080360867914
1739209745.4765584;-32.816014438256545
1739209745.4765668;-31.141103565318915
1739209745.476575;-45.120503652039325
1739209745.4765832;-38.13080360867914
1739209745.4765916;-38.13080360867914
1739209745.4765997;-45.120503652039325
1739209745.476608;-38.13080360867914
1739209745.4766164;-45.120503652039325
1739209745.4766245;-45.120503652039325
1739209745.4766328;-38.13080360867914
1739209745.4766412;-38.13080360867914
1739209745.4766493;-45.120503652039325
1739209745.4766576;-38.13080360867914
1739209745.4766657;-32.816014438256545
1739209745.476674;-38.13080360867914
1739209745.4766824;-45.120503652039325
1739209745.4766905;-35.57807855764607
1739209745.4766989;-32.816014438256545
1739209745.4767072;-38.13080360867914
1739209745.4767153;-38.13080360867914
1739209745.4767237;-45.120503652039325
1739209745.476732;-38.13080360867914
1739209745.4767401;-38.13080360867914
1739209745.4767485;-38.13080360867914
1739209745.4767568;-38.13080360867914
1739209745.476765;-35.57807855764607
1739209745.4767733;-38.13080360867914
1739209745.4767814;-35.57807855764607
1739209745.4767897;-35.57807855764607
1739209745.476798;-45.120503652039325
1739209745.4768062;-38.13080360867914
1739209745.4768145;-38.13080360867914
1739209745.4768229;-38.13080360867914
1739209745.476831;-45.120503652039325
1739209745.4768393;-38.13080360867914
1739209745.4768476;-38.13080360867914
1739209745.4768558;-45.120503652039325
1739209745.476864;-45.120503652039325
1739209745.4768722;-38.13080360867914
1739209745.4768806;-45.120503652039325
1739209745.476889;-45.120503652039325
1739209745.476897;-38.13080360867914
1739209745.4769053;-38.13080360867914
1739209745.4769137;-35.57807855764607
1739209745.4769218;-38.13080360867914
1739209745.4769301;-45.120503652039325
1739209745.4769385;-33.981070128970906
1739209745.4769466;-38.13080360867914
1739209745.476955;-38.13080360867914
1739209745.4769633;-45.120503652039325
1739209745.4769714;-38.13080360867914
1739209745.4769797;-38.13080360867914
1739209745.4769878;-45.120503652039325
1739209745.4769962;-45.120503652039325
1739209745.4770045;-38.13080360867914
1739209745.4770126;-45.120503652039325
1739209745.477021;-45.120503652039325
1739209745.4770293;-38.13080360867914
1739209745.4770374;-38.13080360867914
1739209745.4770458;-45.120503652039325
1739209745.477054;-45.120503652039325
1739209745.4770622;-45.120503652039325
1739209745.4770706;-45.120503652039325
1739209745.477079;-45.120503652039325
1739209745.477087;-38.13080360867914
1739209745.4770954;-38.13080360867914
1739209745.4771035;-33.981070128970906
1739209745.4771118;-45.120503652039325
1739209745.4771202;-45.120503652039325
1739209745.4771283;-38.13080360867914
1739209745.4771366;-33.981070128970906
1739209745.477145;-38.13080360867914
1739209745.477153;-38.13080360867914
1739209745.4771614;-45.120503652039325
1739209745.4771698;-45.120503652039325
1739209745.4771779;-45.120503652039325
1739209745.4771862;-45.120503652039325
1739209745.4771945;-45.120503652039325
1739209745.4772027;-31.141103565318915
1739209745.477211;-38.13080360867914
1739209745.477219;-45.120503652039325
1739209745.4772274;-35.57807855764607
1739209745.4772358;-38.13080360867914
1739209745.477244;-38.13080360867914
1739209745.4772522;-45.120503652039325
1739209745.4772606;-38.13080360867914
1739209745.4772687;-30.49652367304973
1739209745.477277;-38.13080360867914
1739209745.4772854;-45.120503652039325
1739209745.4772935;-45.120503652039325
1739209745.4773018;-45.120503652039325
1739209745.4773102;-38.13080360867914
1739209745.4773183;-38.13080360867914
1739209745.4773266;-45.120503652039325
1739209745.4773347;-31.141103565318915
1739209745.477343;-33.981070128970906
1739209745.4773514;-45.120503652039325
1739209745.4773595;-45.120503652039325
1739209745.4773679;-33.981070128970906
1739209745.4773762;-38.13080360867914
1739209745.4773843;-45.120503652039325
1739209745.4773927;-45.120503652039325
1739209745.477401;-45.120503652039325
1739209745.4774091;-38.13080360867914
1739209745.4774175;-38.13080360867914
1739209745.4774256;-45.120503652039325
1739209745.477434;-45.120503652039325
1739209745.4774423;-38.13080360867914
1739209745.4774504;-38.13080360867914
1739209745.4774587;-45.120503652039325
1739209745.477467;-38.13080360867914
1739209745.4774752;-35.57807855764607
1739209745.4774835;-38.13080360867914
1739209745.4774919;-45.120503652039325
1739209745.4775;-45.120503652039325
1739209745.4775083;-45.120503652039325
1739209745.4775167;-33.981070128970906
1739209745.4775248;-45.120503652039325
1739209745.477533;-31.141103565318915
1739209745.4775412;-28.58837851428586
1739209745.4775496;-38.13080360867914
1739209745.477558;-38.13080360867914
1739209745.477566;-33.981070128970906
1739209745.4775743;-38.13080360867914
1739209745.4775827;-45.120503652039325
1739209745.4775908;-32.816014438256545
1739209745.4775991;-38.13080360867914
1739209745.4776075;-33.981070128970956
1739209745.4776156;-45.120503652039325
1739209745.477624;-45.120503652039325
1739209745.4776323;-45.120503652039325
1739209745.4776404;-45.120503652039325
1739209745.4776487;-45.120503652039325
1739209745.4776568;-35.57807855764607
1739209745.4776652;-32.816014438256545
1739209745.4776735;-31.141103565318915
1739209745.4776816;-38.13080360867914
1739209745.47769;-38.13080360867914
1739209745.4776983;-38.13080360867914
1739209745.4777064;-33.981070128970906
1739209745.4777148;-45.120503652039325
1739209745.4777231;-45.120503652039325
1739209745.4777312;-45.120503652039325
1739209745.4777396;-38.13080360867914
1739209745.477748;-45.120503652039325
1739209745.477756;-45.120503652039325
1739209745.4777644;-45.120503652039325
