CAN Message; 0x39:02b8273e37780ad2
Timestamp;Amplitude
1739209642.0394433;-45.120503652039325
1739209642.0394485;-45.120503652039325
1739209642.0394535;-38.13080360867914
1739209642.0394585;-45.120503652039325
1739209642.0394635;-45.120503652039325
1739209642.0394688;-45.120503652039325
1739209642.0394738;-38.13080360867914
1739209642.0394788;-38.13080360867914
1739209642.0394838;-45.120503652039325
1739209642.039489;-45.120503652039325
1739209642.039494;-45.120503652039325
1739209642.039499;-45.120503652039325
1739209642.039504;-45.120503652039325
1739209642.0395093;-45.120503652039325
1739209642.0395143;-33.981070128970906
1739209642.0395193;-38.13080360867914
1739209642.0395243;-38.13080360867914
1739209642.0395296;-45.120503652039325
1739209642.0395346;-38.13080360867914
1739209642.0395396;-45.120503652039325
1739209642.0395448;-45.120503652039325
1739209642.0395498;-35.57807855764607
1739209642.0395548;-38.13080360867914
1739209642.0395598;-45.120503652039325
1739209642.039565;-45.120503652039325
1739209642.03957;-38.13080360867914
1739209642.039575;-38.13080360867914
1739209642.03958;-45.120503652039325
1739209642.0395854;-45.120503652039325
1739209642.0395904;-45.120503652039325
1739209642.0395954;-45.120503652039325
1739209642.0396004;-38.13080360867914
1739209642.0396056;-31.141103565318915
1739209642.0396106;-38.13080360867914
1739209642.0396156;-33.981070128970906
1739209642.0396206;-38.13080360867914
1739209642.039626;-45.120503652039325
1739209642.039631;-38.13080360867914
1739209642.039636;-38.13080360867914
1739209642.0396411;-45.120503652039325
1739209642.0396461;-38.13080360867914
1739209642.0396512;-35.57807855764607
1739209642.0396562;-38.13080360867914
1739209642.0396614;-45.120503652039325
1739209642.0396664;-35.57807855764607
1739209642.0396714;-38.13080360867914
1739209642.0396764;-45.120503652039325
1739209642.0396817;-38.13080360867914
1739209642.0396867;-45.120503652039325
1739209642.0396917;-38.13080360867914
1739209642.0396967;-30.49652367304973
1739209642.039702;-38.13080360867914
1739209642.039707;-38.13080360867914
1739209642.039712;-35.57807855764607
1739209642.0397172;-35.57807855764607
1739209642.0397222;-38.13080360867914
1739209642.0397272;-38.13080360867914
1739209642.0397322;-38.13080360867914
1739209642.0397375;-45.120503652039325
1739209642.0397425;-45.120503652039325
1739209642.0397475;-45.120503652039325
1739209642.0397525;-45.120503652039325
1739209642.0397577;-38.13080360867914
1739209642.0397627;-45.120503652039325
1739209642.0397677;-38.13080360867914
1739209642.0397727;-38.13080360867914
1739209642.039778;-38.13080360867914
1739209642.039783;-45.120503652039325
1739209642.039788;-45.120503652039325
1739209642.039793;-45.120503652039325
1739209642.0397983;-33.981070128970906
1739209642.0398033;-45.120503652039325
1739209642.0398083;-38.13080360867914
1739209642.0398135;-38.13080360867914
1739209642.0398185;-31.141103565318915
1739209642.0398235;-33.981070128970906
1739209642.0398285;-45.120503652039325
1739209642.0398338;-38.13080360867914
1739209642.0398388;-35.57807855764607
1739209642.0398438;-38.13080360867914
1739209642.0398488;-45.120503652039325
1739209642.039854;-45.120503652039325
1739209642.039859;-38.13080360867914
1739209642.039864;-45.120503652039325
1739209642.039869;-33.981070128970906
1739209642.0398743;-45.120503652039325
1739209642.0398793;-45.120503652039325
1739209642.0398843;-38.13080360867914
1739209642.0398893;-38.13080360867914
1739209642.0398946;-45.120503652039325
1739209642.0398996;-28.58837851428586
1739209642.0399046;-29.438486411369333
1739209642.0399098;-45.120503652039325
1739209642.0399148;-38.13080360867914
1739209642.0399199;-35.57807855764607
1739209642.0399249;-32.816014438256545
1739209642.03993;-45.120503652039325
1739209642.039935;-45.120503652039325
1739209642.03994;-45.120503652039325
