CAN Message; 0x24:00f61c1123eabc72
Timestamp;Amplitude
1739209593.924946;-45.120503652039325
1739209593.924957;-35.57807855764607
1739209593.924968;-38.13080360867914
1739209593.924979;-38.13080360867914
1739209593.92499;-45.120503652039325
1739209593.925001;-45.120503652039325
1739209593.9250119;-27.8777449560314
1739209593.9250228;-33.981070128970906
1739209593.9250338;-45.120503652039325
1739209593.9250448;-33.981070128970906
1739209593.9250557;-31.141103565318893
1739209593.9250667;-38.13080360867914
1739209593.9250777;-45.120503652039325
1739209593.9250886;-45.120503652039325
1739209593.9250996;-31.141103565318915
1739209593.9251106;-33.981070128970906
1739209593.9251215;-45.120503652039325
1739209593.9251325;-45.120503652039325
1739209593.9251435;-35.57807855764607
1739209593.9251544;-38.13080360867914
1739209593.9251654;-45.120503652039325
1739209593.9251764;-38.13080360867914
1739209593.9251873;-45.120503652039325
1739209593.9251983;-45.120503652039325
1739209593.9252093;-38.13080360867914
1739209593.9252203;-38.13080360867914
1739209593.9252312;-45.120503652039325
1739209593.9252422;-33.981070128970906
1739209593.9252532;-45.120503652039325
1739209593.9252641;-45.120503652039325
1739209593.925275;-38.13080360867914
1739209593.925286;-38.13080360867914
1739209593.925297;-45.120503652039325
1739209593.925308;-45.120503652039325
1739209593.925319;-45.120503652039325
1739209593.92533;-45.120503652039325
1739209593.925341;-45.120503652039325
1739209593.9253519;-45.120503652039325
1739209593.9253628;-45.120503652039325
1739209593.9253738;-38.13080360867914
1739209593.9253848;-38.13080360867914
1739209593.9253957;-45.120503652039325
1739209593.9254067;-35.57807855764607
1739209593.9254177;-38.13080360867914
1739209593.9254286;-45.120503652039325
1739209593.9254396;-45.120503652039325
1739209593.9254506;-45.120503652039325
1739209593.9254615;-33.981070128970906
1739209593.9254725;-38.13080360867914
1739209593.9254835;-45.120503652039325
1739209593.9254944;-45.120503652039325
1739209593.9255054;-38.13080360867914
1739209593.9255164;-38.13080360867914
1739209593.9255273;-45.120503652039325
1739209593.9255383;-38.13080360867914
1739209593.9255493;-45.120503652039325
1739209593.9255602;-38.13080360867914
1739209593.9255712;-38.13080360867914
1739209593.9255822;-38.13080360867914
1739209593.9255931;-45.120503652039325
1739209593.925604;-45.120503652039325
1739209593.925615;-45.120503652039325
1739209593.925626;-38.13080360867914
1739209593.9256368;-33.981070128970906
1739209593.9256477;-45.120503652039325
1739209593.9256587;-45.120503652039325
1739209593.9256697;-38.13080360867914
1739209593.9256806;-38.13080360867914
1739209593.9256916;-45.120503652039325
1739209593.9257026;-45.120503652039325
1739209593.9257135;-45.120503652039325
1739209593.9257245;-33.981070128970906
1739209593.9257355;-45.120503652039325
1739209593.9257464;-45.120503652039325
1739209593.9257574;-45.120503652039325
1739209593.9257684;-38.13080360867914
1739209593.9257793;-45.120503652039325
1739209593.9257903;-45.120503652039325
1739209593.9258013;-38.13080360867914
1739209593.9258122;-33.981070128970906
1739209593.9258232;-45.120503652039325
1739209593.9258342;-33.981070128970906
1739209593.9258451;-45.120503652039325
1739209593.925856;-38.13080360867914
1739209593.925867;-45.120503652039325
1739209593.925878;-45.120503652039325
1739209593.925889;-35.57807855764607
1739209593.9259;-31.14110356531892
1739209593.925911;-45.120503652039325
1739209593.925922;-38.13080360867914
1739209593.925933;-45.120503652039325
1739209593.9259439;-38.13080360867914
1739209593.9259548;-35.57807855764607
1739209593.9259658;-38.13080360867914
1739209593.9259768;-38.13080360867914
1739209593.9259877;-28.992665084841942
1739209593.9259987;-38.13080360867914
1739209593.9260097;-38.13080360867914
1739209593.9260206;-45.120503652039325
1739209593.9260316;-33.981070128970906
1739209593.9260426;-38.13080360867914
1739209593.9260535;-38.13080360867914
1739209593.9260645;-45.120503652039325
1739209593.9260755;-30.49652367304973
1739209593.9260864;-38.13080360867914
1739209593.9260974;-45.120503652039325
1739209593.9261084;-45.120503652039325
1739209593.9261193;-45.120503652039325
1739209593.9261303;-45.120503652039325
1739209593.9261413;-38.13080360867914
1739209593.9261522;-35.57807855764607
1739209593.9261632;-38.13080360867914
1739209593.9261742;-45.120503652039325
1739209593.9261851;-38.13080360867914
1739209593.926196;-38.13080360867914
1739209593.926207;-45.120503652039325
1739209593.926218;-45.120503652039325
1739209593.926229;-38.13080360867914
1739209593.92624;-38.13080360867914
1739209593.926251;-28.992665084841942
1739209593.926262;-28.58837851428586
1739209593.9262729;-38.13080360867914
1739209593.9262838;-38.13080360867914
1739209593.9262948;-33.981070128970906
1739209593.9263058;-38.13080360867914
1739209593.9263167;-38.13080360867914
1739209593.9263277;-38.13080360867914
1739209593.9263387;-45.120503652039325
