CAN Message; 0x1b8:02003b0e47822179
Timestamp;Amplitude
1739209613.8585596;-35.57807855764607
1739209613.858564;-32.816014438256545
1739209613.858568;-45.120503652039325
1739209613.8585722;-38.13080360867914
1739209613.8585765;-33.981070128970906
1739209613.8585808;-32.816014438256545
1739209613.8585851;-45.120503652039325
1739209613.8585892;-45.120503652039325
1739209613.8585935;-38.13080360867914
1739209613.8585978;-38.13080360867914
1739209613.858602;-45.120503652039325
1739209613.8586063;-45.120503652039325
1739209613.8586104;-38.13080360867914
1739209613.8586147;-45.120503652039325
1739209613.858619;-38.13080360867914
1739209613.8586233;-45.120503652039325
1739209613.8586276;-38.13080360867914
1739209613.8586316;-38.13080360867914
1739209613.858636;-35.57807855764607
1739209613.8586402;-45.120503652039325
1739209613.8586445;-45.120503652039325
1739209613.8586485;-45.120503652039325
1739209613.8586528;-35.57807855764607
1739209613.8586571;-33.981070128970906
1739209613.8586614;-45.120503652039325
1739209613.8586657;-45.120503652039325
1739209613.8586698;-45.120503652039325
1739209613.858674;-38.13080360867914
1739209613.8586783;-33.981070128970906
1739209613.8586826;-35.57807855764607
1739209613.858687;-38.13080360867914
1739209613.858691;-33.981070128970906
1739209613.8586953;-32.816014438256545
1739209613.8586996;-38.13080360867914
1739209613.8587039;-38.13080360867914
1739209613.8587081;-38.13080360867914
1739209613.8587122;-38.13080360867914
1739209613.8587165;-45.120503652039325
1739209613.8587208;-38.13080360867914
1739209613.858725;-38.13080360867914
1739209613.8587294;-45.120503652039325
1739209613.8587334;-45.120503652039325
1739209613.8587377;-33.981070128970906
1739209613.858742;-33.981070128970906
1739209613.8587463;-33.981070128970906
1739209613.8587506;-38.13080360867914
1739209613.8587546;-45.120503652039325
1739209613.858759;-45.120503652039325
1739209613.8587632;-35.57807855764607
1739209613.8587675;-38.13080360867914
1739209613.8587718;-38.13080360867914
1739209613.8587759;-45.120503652039325
1739209613.8587801;-45.120503652039325
1739209613.8587844;-45.120503652039325
1739209613.8587887;-38.13080360867914
1739209613.858793;-35.57807855764607
1739209613.858797;-45.120503652039325
1739209613.8588014;-45.120503652039325
1739209613.8588057;-38.13080360867914
1739209613.85881;-45.120503652039325
1739209613.858814;-38.13080360867914
1739209613.8588183;-38.13080360867914
1739209613.8588226;-38.13080360867914
1739209613.8588269;-38.13080360867914
1739209613.8588312;-38.13080360867914
1739209613.8588352;-45.120503652039325
1739209613.8588395;-45.120503652039325
1739209613.8588438;-35.57807855764607
1739209613.858848;-38.13080360867914
1739209613.8588524;-38.13080360867914
1739209613.8588564;-38.13080360867914
1739209613.8588607;-45.120503652039325
1739209613.858865;-45.120503652039325
1739209613.8588693;-45.120503652039325
1739209613.8588736;-45.120503652039325
1739209613.8588777;-45.120503652039325
1739209613.858882;-45.120503652039325
1739209613.8588862;-45.120503652039325
1739209613.8588905;-45.120503652039325
1739209613.8588948;-45.120503652039325
1739209613.8588989;-38.13080360867914
1739209613.8589032;-38.13080360867914
1739209613.8589075;-45.120503652039325
1739209613.8589118;-45.120503652039325
1739209613.858916;-35.57807855764607
1739209613.85892;-35.57807855764607
1739209613.8589244;-45.120503652039325
1739209613.8589287;-35.57807855764607
1739209613.858933;-45.120503652039325
1739209613.8589373;-38.13080360867914
1739209613.8589413;-45.120503652039325
1739209613.8589456;-45.120503652039325
1739209613.85895;-45.120503652039325
1739209613.8589542;-45.120503652039325
1739209613.8589585;-38.13080360867914
1739209613.8589625;-45.120503652039325
1739209613.8589668;-38.13080360867914
1739209613.858971;-45.120503652039325
1739209613.8589754;-45.120503652039325
1739209613.8589795;-38.13080360867914
1739209613.8589838;-35.57807855764607
1739209613.858988;-32.816014438256545
1739209613.8589923;-38.13080360867914
1739209613.8589966;-45.120503652039325
1739209613.8590007;-45.120503652039325
1739209613.859005;-38.13080360867914
1739209613.8590093;-45.120503652039325
1739209613.8590136;-38.13080360867914
1739209613.8590178;-38.13080360867914
1739209613.859022;-45.120503652039325
1739209613.8590262;-35.57807855764607
1739209613.8590305;-32.816014438256545
1739209613.8590348;-45.120503652039325
1739209613.859039;-45.120503652039325
1739209613.8590431;-38.13080360867914
1739209613.8590474;-45.120503652039325
1739209613.8590517;-45.120503652039325
1739209613.859056;-45.120503652039325
1739209613.8590603;-45.120503652039325
1739209613.8590643;-45.120503652039325
1739209613.8590686;-35.57807855764607
1739209613.859073;-38.13080360867914
1739209613.8590772;-45.120503652039325
1739209613.8590815;-38.13080360867914
1739209613.8590856;-45.120503652039325
1739209613.8590899;-33.981070128970906
1739209613.8590941;-33.981070128970906
1739209613.8590984;-38.13080360867914
1739209613.8591027;-38.13080360867914
1739209613.8591068;-45.120503652039325
1739209613.859111;-38.13080360867914
