CAN Message; 0x1a7:0000f7db7167cccd
Timestamp;Amplitude
1739209763.4051435;-38.13080360867914
1739209763.4051504;-38.13080360867914
1739209763.405157;-45.120503652039325
1739209763.405164;-35.57807855764607
1739209763.405171;-25.826314394896357
1739209763.4051778;-45.120503652039325
1739209763.4051847;-45.120503652039325
1739209763.4051914;-45.120503652039325
1739209763.4051983;-38.13080360867914
1739209763.4052052;-45.120503652039325
1739209763.4052122;-38.13080360867914
1739209763.405219;-38.13080360867914
1739209763.405226;-32.81601443825658
1739209763.4052327;-45.120503652039325
1739209763.4052396;-35.57807855764607
1739209763.4052465;-35.57807855764607
1739209763.4052534;-45.120503652039325
1739209763.4052603;-38.13080360867914
1739209763.405267;-38.13080360867914
1739209763.405274;-45.120503652039325
1739209763.4052808;-31.141103565318915
1739209763.4052877;-38.13080360867914
1739209763.4052947;-33.981070128970906
1739209763.4053013;-35.57807855764607
1739209763.4053082;-38.13080360867914
1739209763.4053152;-45.120503652039325
1739209763.405322;-38.13080360867914
1739209763.405329;-35.57807855764607
1739209763.405336;-45.120503652039325
1739209763.4053426;-45.120503652039325
1739209763.4053495;-38.13080360867914
1739209763.4053564;-38.13080360867914
1739209763.4053633;-38.13080360867914
1739209763.4053702;-38.13080360867914
1739209763.405377;-38.13080360867914
1739209763.4053838;-38.13080360867914
1739209763.4053907;-45.120503652039325
1739209763.4053977;-45.120503652039325
1739209763.4054046;-38.13080360867914
1739209763.4054112;-38.13080360867914
1739209763.4054182;-45.120503652039325
1739209763.405425;-45.120503652039325
1739209763.405432;-33.981070128970906
1739209763.405439;-35.57807855764607
1739209763.4054456;-27.8777449560314
1739209763.4054525;-32.816014438256545
1739209763.4054594;-38.13080360867914
1739209763.4054663;-32.816014438256545
1739209763.4054732;-38.13080360867914
1739209763.4054801;-45.120503652039325
1739209763.4054868;-45.120503652039325
1739209763.4054937;-32.816014438256545
1739209763.4055007;-33.981070128970956
1739209763.4055076;-45.120503652039325
1739209763.4055145;-45.120503652039325
1739209763.4055212;-45.120503652039325
1739209763.405528;-38.13080360867914
1739209763.405535;-38.13080360867914
1739209763.405542;-35.57807855764607
1739209763.4055488;-38.13080360867914
1739209763.4055555;-35.57807855764607
1739209763.4055624;-35.57807855764607
1739209763.4055693;-38.13080360867914
1739209763.4055762;-35.57807855764607
1739209763.4055831;-45.120503652039325
1739209763.4055898;-45.120503652039325
1739209763.4055967;-45.120503652039325
1739209763.4056036;-45.120503652039325
1739209763.4056106;-35.57807855764607
1739209763.4056175;-38.13080360867914
1739209763.4056244;-45.120503652039325
1739209763.405631;-45.120503652039325
1739209763.405638;-32.816014438256545
1739209763.405645;-38.13080360867914
1739209763.4056518;-45.120503652039325
1739209763.4056587;-38.13080360867914
1739209763.4056654;-45.120503652039325
1739209763.4056723;-38.13080360867914
1739209763.4056792;-38.13080360867914
1739209763.4056861;-45.120503652039325
1739209763.405693;-45.120503652039325
1739209763.4056997;-38.13080360867914
1739209763.4057066;-38.13080360867914
1739209763.4057136;-45.120503652039325
1739209763.4057205;-32.816014438256545
1739209763.4057274;-35.57807855764607
1739209763.4057343;-45.120503652039325
1739209763.405741;-45.120503652039325
1739209763.405748;-38.13080360867914
1739209763.4057548;-38.13080360867914
1739209763.4057617;-45.120503652039325
1739209763.4057686;-45.120503652039325
1739209763.4057753;-45.120503652039325
1739209763.4057822;-45.120503652039325
1739209763.4057891;-38.13080360867914
1739209763.405796;-45.120503652039325
1739209763.405803;-45.120503652039325
1739209763.4058096;-38.13080360867914
1739209763.4058166;-38.13080360867914
1739209763.4058235;-45.120503652039325
1739209763.4058304;-38.13080360867914
1739209763.4058373;-35.57807855764607
1739209763.405844;-38.13080360867914
1739209763.405851;-45.120503652039325
1739209763.4058578;-45.120503652039325
1739209763.4058647;-38.13080360867914
1739209763.4058716;-45.120503652039325
1739209763.4058785;-45.120503652039325
1739209763.4058852;-38.13080360867914
1739209763.4058921;-45.120503652039325
1739209763.405899;-45.120503652039325
1739209763.405906;-38.13080360867914
1739209763.4059129;-45.120503652039325
1739209763.4059196;-38.13080360867914
1739209763.4059265;-45.120503652039325
1739209763.4059334;-45.120503652039325
1739209763.4059403;-45.120503652039325
1739209763.4059472;-38.13080360867914
1739209763.405954;-38.13080360867914
1739209763.4059608;-45.120503652039325
1739209763.4059677;-45.120503652039325
1739209763.4059746;-38.13080360867914
