CAN Message; 0x1bb:000043c119eb692f
Timestamp;Amplitude
1739209765.5667706;-45.120503652039325
1739209765.5667756;-38.13080360867914
1739209765.5667806;-38.13080360867914
1739209765.5667856;-38.13080360867914
1739209765.5667906;-45.120503652039325
1739209765.5667956;-45.120503652039325
1739209765.5668006;-35.57807855764607
1739209765.5668056;-31.141103565318915
1739209765.5668106;-38.13080360867914
1739209765.5668156;-38.13080360867914
1739209765.5668206;-45.120503652039325
1739209765.5668256;-38.13080360867914
1739209765.5668306;-38.13080360867914
1739209765.5668356;-45.120503652039325
1739209765.5668406;-38.13080360867914
1739209765.5668457;-38.13080360867914
1739209765.5668507;-38.13080360867914
1739209765.5668557;-45.120503652039325
1739209765.5668607;-38.13080360867914
1739209765.5668657;-45.120503652039325
1739209765.5668707;-45.120503652039325
1739209765.5668757;-38.13080360867914
1739209765.5668807;-45.120503652039325
1739209765.5668857;-38.13080360867914
1739209765.5668907;-38.13080360867914
1739209765.5668957;-45.120503652039325
1739209765.5669007;-45.120503652039325
1739209765.5669057;-33.981070128970906
1739209765.5669107;-35.57807855764607
1739209765.5669158;-35.57807855764607
1739209765.5669208;-33.981070128970906
1739209765.5669258;-33.981070128970906
1739209765.5669308;-38.13080360867914
1739209765.5669358;-38.13080360867914
1739209765.5669408;-38.13080360867914
1739209765.5669458;-38.13080360867914
1739209765.5669508;-35.57807855764607
1739209765.5669558;-35.57807855764607
1739209765.5669608;-45.120503652039325
1739209765.5669658;-28.58837851428586
1739209765.5669708;-31.141103565318915
1739209765.5669758;-38.13080360867914
1739209765.5669808;-45.120503652039325
1739209765.5669858;-38.13080360867914
1739209765.5669909;-38.13080360867914
1739209765.5669959;-38.13080360867914
1739209765.5670009;-45.120503652039325
1739209765.5670059;-33.981070128970906
1739209765.5670109;-38.13080360867914
1739209765.567016;-32.816014438256545
1739209765.567021;-45.120503652039325
1739209765.567026;-45.120503652039325
1739209765.567031;-35.57807855764607
1739209765.567036;-38.13080360867914
1739209765.567041;-45.120503652039325
1739209765.567046;-45.120503652039325
1739209765.567051;-38.13080360867914
1739209765.567056;-38.13080360867914
1739209765.567061;-45.120503652039325
1739209765.567066;-45.120503652039325
1739209765.567071;-35.57807855764607
1739209765.567076;-38.13080360867914
1739209765.567081;-38.13080360867914
1739209765.567086;-31.141103565318915
1739209765.567091;-27.267205301931607
1739209765.567096;-38.13080360867914
1739209765.567101;-45.120503652039325
1739209765.567106;-38.13080360867914
1739209765.567111;-38.13080360867914
1739209765.567116;-38.13080360867914
1739209765.567121;-38.13080360867914
1739209765.567126;-38.13080360867914
1739209765.567131;-38.13080360867914
1739209765.567136;-45.120503652039325
1739209765.567141;-38.13080360867914
1739209765.567146;-45.120503652039325
1739209765.567151;-38.13080360867914
1739209765.567156;-45.120503652039325
1739209765.567161;-38.13080360867914
1739209765.567166;-45.120503652039325
1739209765.567171;-38.13080360867914
1739209765.567176;-38.13080360867914
1739209765.567181;-45.120503652039325
1739209765.567186;-45.120503652039325
1739209765.5671911;-38.13080360867914
1739209765.5671964;-38.13080360867914
1739209765.5672014;-38.13080360867914
1739209765.5672064;-38.13080360867914
1739209765.5672114;-38.13080360867914
1739209765.5672164;-45.120503652039325
1739209765.5672214;-38.13080360867914
1739209765.5672264;-35.57807855764607
1739209765.5672314;-45.120503652039325
1739209765.5672364;-45.120503652039325
1739209765.5672414;-30.49652367304973
1739209765.5672464;-38.13080360867914
1739209765.5672514;-45.120503652039325
1739209765.5672565;-33.981070128970906
1739209765.5672615;-38.13080360867914
1739209765.5672665;-45.120503652039325
1739209765.5672715;-31.141103565318893
1739209765.5672765;-38.13080360867914
1739209765.5672815;-45.120503652039325
1739209765.5672865;-35.57807855764607
1739209765.5672915;-45.120503652039325
1739209765.5672965;-45.120503652039325
1739209765.5673015;-33.981070128970906
1739209765.5673065;-38.13080360867914
1739209765.5673115;-45.120503652039325
1739209765.5673165;-45.120503652039325
1739209765.5673215;-38.13080360867914
1739209765.5673265;-38.13080360867914
1739209765.5673316;-45.120503652039325
1739209765.5673366;-45.120503652039325
1739209765.5673416;-38.13080360867914
1739209765.5673466;-45.120503652039325
1739209765.5673516;-38.13080360867914
1739209765.5673566;-45.120503652039325
1739209765.5673616;-38.13080360867914
1739209765.5673666;-45.120503652039325
1739209765.5673716;-38.13080360867914
1739209765.5673766;-35.57807855764607
1739209765.5673816;-38.13080360867914
1739209765.5673866;-38.13080360867914
1739209765.5673916;-45.120503652039325
1739209765.5673966;-38.13080360867914
1739209765.5674016;-38.13080360867914
1739209765.5674067;-45.120503652039325
1739209765.5674117;-45.120503652039325
1739209765.5674167;-45.120503652039325
1739209765.5674217;-38.13080360867914
1739209765.5674267;-45.120503652039325
1739209765.5674317;-32.816014438256545
1739209765.5674367;-45.120503652039325
1739209765.5674417;-38.13080360867914
1739209765.5674467;-45.120503652039325
1739209765.5674517;-32.816014438256545
1739209765.5674567;-30.49652367304973
1739209765.5674617;-45.120503652039325
1739209765.5674667;-45.120503652039325
1739209765.5674717;-45.120503652039325
1739209765.5674767;-33.981070128970906
1739209765.5674818;-45.120503652039325
1739209765.5674868;-38.13080360867914
1739209765.5674918;-45.120503652039325
1739209765.5674968;-38.13080360867914
1739209765.5675018;-45.120503652039325
