CAN Message; 0x1b8:0200e1348a4d7053
Timestamp;Amplitude
1739209873.8494492;-38.13080360867914
1739209873.8494554;-38.13080360867914
1739209873.8494618;-45.120503652039325
1739209873.849468;-45.120503652039325
1739209873.8494742;-38.13080360867914
1739209873.8494804;-45.120503652039325
1739209873.8494866;-45.120503652039325
1739209873.8494928;-38.13080360867914
1739209873.8494992;-45.120503652039325
1739209873.8495054;-38.13080360867914
1739209873.8495116;-38.13080360867914
1739209873.8495178;-38.13080360867914
1739209873.849524;-45.120503652039325
1739209873.8495305;-32.816014438256545
1739209873.8495367;-26.991370085610736
1739209873.8495429;-33.981070128970906
1739209873.849549;-35.57807855764607
1739209873.8495553;-38.13080360867914
1739209873.8495615;-35.57807855764607
1739209873.849568;-45.120503652039325
1739209873.849574;-35.57807855764607
1739209873.8495803;-38.13080360867914
1739209873.8495865;-45.120503652039325
1739209873.8495927;-38.13080360867914
1739209873.8495991;-45.120503652039325
1739209873.8496053;-38.13080360867914
1739209873.8496115;-45.120503652039325
1739209873.8496177;-45.120503652039325
1739209873.849624;-38.13080360867914
1739209873.84963;-38.13080360867914
1739209873.8496366;-45.120503652039325
1739209873.8496428;-45.120503652039325
1739209873.849649;-45.120503652039325
1739209873.8496552;-38.13080360867914
1739209873.8496614;-45.120503652039325
1739209873.8496678;-38.13080360867914
1739209873.849674;-38.13080360867914
1739209873.8496802;-38.13080360867914
1739209873.8496864;-28.21854285175415
1739209873.8496926;-38.13080360867914
1739209873.8496988;-38.13080360867914
1739209873.8497052;-45.120503652039325
1739209873.8497114;-45.120503652039325
1739209873.8497176;-38.13080360867914
1739209873.8497238;-38.13080360867914
1739209873.84973;-45.120503652039325
1739209873.8497365;-45.120503652039325
1739209873.8497427;-38.13080360867914
1739209873.8497488;-35.57807855764607
1739209873.849755;-38.13080360867914
1739209873.8497612;-35.57807855764607
1739209873.8497674;-45.120503652039325
1739209873.849774;-38.13080360867914
1739209873.84978;-35.57807855764607
1739209873.8497863;-45.120503652039325
1739209873.8497925;-38.13080360867914
1739209873.8497987;-45.120503652039325
1739209873.849805;-38.13080360867914
1739209873.8498113;-38.13080360867914
1739209873.8498175;-33.981070128970906
1739209873.8498237;-38.13080360867914
1739209873.84983;-38.13080360867914
1739209873.8498363;-35.57807855764607
1739209873.8498425;-38.13080360867914
1739209873.8498487;-38.13080360867914
1739209873.849855;-38.13080360867914
1739209873.8498611;-45.120503652039325
1739209873.8498673;-38.13080360867914
1739209873.8498738;-45.120503652039325
1739209873.84988;-45.120503652039325
1739209873.8498862;-45.120503652039325
1739209873.8498924;-38.13080360867914
1739209873.8498986;-45.120503652039325
1739209873.849905;-45.120503652039325
1739209873.8499112;-35.57807855764607
1739209873.8499174;-38.13080360867914
1739209873.8499236;-45.120503652039325
1739209873.8499298;-45.120503652039325
1739209873.849936;-38.13080360867914
1739209873.8499424;-33.981070128970906
1739209873.8499486;-35.57807855764607
1739209873.8499548;-38.13080360867914
1739209873.849961;-45.120503652039325
1739209873.8499672;-38.13080360867914
1739209873.8499737;-35.57807855764607
1739209873.8499799;-33.981070128970906
1739209873.849986;-45.120503652039325
1739209873.8499923;-38.13080360867914
1739209873.8499985;-35.57807855764607
1739209873.8500047;-38.13080360867914
1739209873.850011;-38.13080360867914
1739209873.8500173;-45.120503652039325
1739209873.8500235;-38.13080360867914
1739209873.8500297;-45.120503652039325
1739209873.850036;-45.120503652039325
1739209873.8500423;-45.120503652039325
1739209873.8500485;-45.120503652039325
1739209873.8500547;-38.13080360867914
1739209873.850061;-45.120503652039325
1739209873.8500671;-45.120503652039325
1739209873.8500733;-45.120503652039325
1739209873.8500798;-38.13080360867914
1739209873.850086;-35.57807855764607
1739209873.8500922;-31.141103565318915
1739209873.8500984;-35.57807855764607
1739209873.8501046;-38.13080360867914
1739209873.850111;-45.120503652039325
1739209873.8501172;-45.120503652039325
1739209873.8501234;-45.120503652039325
1739209873.8501296;-38.13080360867914
1739209873.8501358;-45.120503652039325
1739209873.850142;-38.13080360867914
1739209873.8501484;-38.13080360867914
1739209873.8501546;-45.120503652039325
1739209873.8501608;-45.120503652039325
1739209873.850167;-38.13080360867914
1739209873.8501732;-45.120503652039325
1739209873.8501797;-31.141103565318915
1739209873.8501859;-38.13080360867914
1739209873.850192;-33.981070128970906
1739209873.8501983;-38.13080360867914
1739209873.8502045;-38.13080360867914
1739209873.8502107;-38.13080360867914
1739209873.850217;-38.13080360867914
1739209873.8502233;-45.120503652039325
1739209873.8502295;-45.120503652039325
1739209873.8502357;-38.13080360867914
1739209873.850242;-28.992665084841942
1739209873.8502483;-35.57807855764607
1739209873.8502545;-38.13080360867914
1739209873.8502607;-45.120503652039325
1739209873.850267;-38.13080360867914
1739209873.8502731;-35.57807855764607
1739209873.8502793;-33.981070128970906
1739209873.8502858;-45.120503652039325
1739209873.850292;-30.49652367304973
1739209873.8502982;-33.981070128970906
1739209873.8503044;-45.120503652039325
1739209873.8503106;-45.120503652039325
1739209873.850317;-45.120503652039325
1739209873.8503232;-45.120503652039325
1739209873.8503294;-38.13080360867914
1739209873.8503356;-32.816014438256545
1739209873.8503418;-33.981070128970906
1739209873.850348;-45.120503652039325
1739209873.8503544;-38.13080360867914
1739209873.8503606;-33.981070128970906
1739209873.8503668;-45.120503652039325
1739209873.850373;-38.13080360867914
1739209873.8503792;-38.13080360867914
1739209873.8503857;-45.120503652039325
1739209873.8503919;-45.120503652039325
1739209873.850398;-35.57807855764607
1739209873.8504043;-38.13080360867914
1739209873.8504105;-45.120503652039325
1739209873.8504167;-38.13080360867914
1739209873.850423;-38.13080360867914
1739209873.8504293;-45.120503652039325
1739209873.8504355;-45.120503652039325
1739209873.8504417;-33.981070128970906
1739209873.850448;-38.13080360867914
1739209873.8504543;-45.120503652039325
1739209873.8504605;-45.120503652039325
1739209873.8504667;-33.981070128970906
1739209873.850473;-45.120503652039325
1739209873.8504791;-38.13080360867914
1739209873.8504853;-35.57807855764607
1739209873.8504918;-31.141103565318915
1739209873.850498;-45.120503652039325
1739209873.8505042;-38.13080360867914
1739209873.8505104;-45.120503652039325
1739209873.8505166;-38.13080360867914
1739209873.850523;-29.438486411369333
1739209873.8505292;-45.120503652039325
1739209873.8505354;-45.120503652039325
1739209873.8505416;-38.13080360867914
1739209873.8505478;-35.57807855764607
1739209873.8505542;-38.13080360867914
1739209873.8505604;-45.120503652039325
1739209873.8505666;-45.120503652039325
1739209873.8505728;-45.120503652039325
1739209873.850579;-45.120503652039325
1739209873.8505852;-45.120503652039325
1739209873.8505917;-38.13080360867914
1739209873.8505979;-45.120503652039325
1739209873.850604;-33.981070128970906
1739209873.8506103;-45.120503652039325
1739209873.8506165;-38.13080360867914
1739209873.850623;-32.816014438256545
1739209873.850629;-38.13080360867914
1739209873.8506353;-45.120503652039325
1739209873.8506415;-38.13080360867914
1739209873.8506477;-45.120503652039325
1739209873.850654;-38.13080360867914
1739209873.8506603;-38.13080360867914
1739209873.8506665;-38.13080360867914
1739209873.8506727;-45.120503652039325
1739209873.850679;-45.120503652039325
1739209873.8506851;-45.120503652039325
1739209873.8506916;-38.13080360867914
1739209873.8506978;-38.13080360867914
1739209873.850704;-45.120503652039325
1739209873.8507102;-45.120503652039325
1739209873.8507164;-33.981070128970906
1739209873.8507226;-32.816014438256545
1739209873.850729;-38.13080360867914
1739209873.8507352;-35.57807855764607
1739209873.8507414;-45.120503652039325
1739209873.8507476;-38.13080360867914
1739209873.8507538;-35.57807855764607
1739209873.8507602;-38.13080360867914
1739209873.8507664;-45.120503652039325
1739209873.8507726;-38.13080360867914
1739209873.8507788;-35.57807855764607
1739209873.850785;-45.120503652039325
1739209873.8507912;-38.13080360867914
1739209873.8507977;-45.120503652039325
1739209873.8508039;-45.120503652039325
1739209873.85081;-35.57807855764607
1739209873.8508162;-45.120503652039325
1739209873.8508224;-45.120503652039325
1739209873.850829;-33.981070128970906
1739209873.850835;-45.120503652039325
1739209873.8508413;-45.120503652039325
1739209873.8508475;-31.141103565318915
1739209873.8508537;-35.57807855764607
1739209873.8508599;-45.120503652039325
1739209873.8508663;-45.120503652039325
1739209873.8508725;-45.120503652039325
1739209873.8508787;-45.120503652039325
1739209873.850885;-45.120503652039325
1739209873.850891;-45.120503652039325
1739209873.8508976;-45.120503652039325
1739209873.8509037;-45.120503652039325
1739209873.85091;-35.57807855764607
1739209873.8509161;-38.13080360867914
1739209873.8509223;-45.120503652039325
1739209873.8509285;-45.120503652039325
1739209873.850935;-45.120503652039325
1739209873.8509412;-45.120503652039325
1739209873.8509474;-45.120503652039325
1739209873.8509536;-38.13080360867914
1739209873.8509598;-45.120503652039325
1739209873.8509662;-38.13080360867914
1739209873.8509724;-31.141103565318893
1739209873.8509786;-38.13080360867914
1739209873.8509848;-45.120503652039325
1739209873.850991;-38.13080360867914
1739209873.8509972;-27.8777449560314
1739209873.8510036;-31.141103565318915
1739209873.8510098;-45.120503652039325
1739209873.851016;-45.120503652039325
1739209873.8510222;-45.120503652039325
1739209873.8510284;-38.13080360867914
1739209873.8510349;-38.13080360867914
1739209873.851041;-38.13080360867914
1739209873.8510473;-33.981070128970956
1739209873.8510535;-45.120503652039325
1739209873.8510597;-45.120503652039325
1739209873.8510659;-45.120503652039325
1739209873.8510723;-45.120503652039325
1739209873.8510785;-38.13080360867914
1739209873.8510847;-45.120503652039325
1739209873.851091;-38.13080360867914
1739209873.851097;-31.141103565318893
1739209873.8511035;-38.13080360867914
1739209873.8511097;-45.120503652039325
1739209873.851116;-38.13080360867914
1739209873.8511221;-38.13080360867914
1739209873.8511283;-45.120503652039325
1739209873.8511345;-33.981070128970906
1739209873.851141;-45.120503652039325
1739209873.8511472;-33.981070128970906
1739209873.8511534;-30.49652367304973
1739209873.8511596;-38.13080360867914
1739209873.8511658;-38.13080360867914
1739209873.8511722;-38.13080360867914
1739209873.8511784;-35.57807855764607
1739209873.8511846;-45.120503652039325
1739209873.8511908;-45.120503652039325
1739209873.851197;-38.13080360867914
1739209873.8512032;-38.13080360867914
1739209873.8512096;-38.13080360867914
1739209873.8512158;-45.120503652039325
1739209873.851222;-45.120503652039325
1739209873.8512282;-45.120503652039325
1739209873.8512344;-45.120503652039325
1739209873.8512409;-33.981070128970906
1739209873.851247;-33.981070128970906
1739209873.8512533;-27.267205301931607
1739209873.8512595;-45.120503652039325
1739209873.8512657;-38.13080360867914
1739209873.851272;-38.13080360867914
1739209873.8512783;-35.57807855764607
1739209873.8512845;-38.13080360867914
1739209873.8512907;-38.13080360867914
1739209873.851297;-45.120503652039325
1739209873.851303;-33.981070128970906
1739209873.8513095;-38.13080360867914
1739209873.8513157;-38.13080360867914
1739209873.851322;-45.120503652039325
1739209873.8513281;-45.120503652039325
1739209873.8513343;-45.120503652039325
1739209873.8513408;-38.13080360867914
1739209873.851347;-32.816014438256545
1739209873.8513532;-33.981070128970906
1739209873.8513594;-45.120503652039325
1739209873.8513656;-38.13080360867914
1739209873.8513718;-38.13080360867914
1739209873.8513782;-45.120503652039325
1739209873.8513844;-45.120503652039325
1739209873.8513906;-45.120503652039325
1739209873.8513968;-35.57807855764607
1739209873.851403;-38.13080360867914
1739209873.8514094;-35.57807855764607
1739209873.8514156;-45.120503652039325
1739209873.8514218;-45.120503652039325
1739209873.851428;-35.57807855764607
1739209873.8514342;-38.13080360867914
1739209873.8514404;-38.13080360867914
1739209873.8514469;-38.13080360867914
1739209873.851453;-33.981070128970906
1739209873.8514593;-45.120503652039325
1739209873.8514655;-38.13080360867914
1739209873.8514717;-38.13080360867914
1739209873.851478;-45.120503652039325
1739209873.8514843;-33.981070128970956
1739209873.8514905;-38.13080360867914
1739209873.8514967;-35.57807855764607
1739209873.851503;-33.981070128970906
1739209873.851509;-45.120503652039325
1739209873.8515155;-38.13080360867914
1739209873.8515217;-38.13080360867914
1739209873.851528;-35.57807855764607
1739209873.8515341;-38.13080360867914
1739209873.8515403;-38.13080360867914
1739209873.8515468;-38.13080360867914
1739209873.851553;-45.120503652039325
