CAN Message; 0x77:b1bb20d10f6f1175
Timestamp;Amplitude
1739209912.3476274;-45.120503652039325
1739209912.3476293;-45.120503652039325
1739209912.3476315;-45.120503652039325
1739209912.3476336;-38.13080360867914
1739209912.3476355;-45.120503652039325
1739209912.3476377;-45.120503652039325
1739209912.3476396;-45.120503652039325
1739209912.3476417;-35.57807855764607
1739209912.3476439;-45.120503652039325
1739209912.3476458;-45.120503652039325
1739209912.347648;-38.13080360867914
1739209912.34765;-45.120503652039325
1739209912.347652;-38.13080360867914
1739209912.347654;-45.120503652039325
1739209912.3476562;-38.13080360867914
1739209912.3476582;-38.13080360867914
1739209912.3476603;-45.120503652039325
1739209912.3476622;-45.120503652039325
1739209912.3476644;-35.57807855764607
1739209912.3476665;-35.57807855764607
1739209912.3476684;-45.120503652039325
1739209912.3476706;-35.57807855764607
1739209912.3476727;-45.120503652039325
1739209912.3476746;-45.120503652039325
1739209912.3476768;-45.120503652039325
1739209912.3476787;-38.13080360867914
1739209912.3476808;-38.13080360867914
1739209912.347683;-45.120503652039325
1739209912.3476849;-45.120503652039325
1739209912.347687;-45.120503652039325
1739209912.3476892;-38.13080360867914
1739209912.347691;-45.120503652039325
1739209912.3476932;-45.120503652039325
1739209912.3476954;-38.13080360867914
1739209912.3476973;-35.57807855764607
1739209912.3476994;-33.981070128970906
1739209912.3477013;-45.120503652039325
1739209912.3477035;-38.13080360867914
1739209912.3477056;-38.13080360867914
1739209912.3477075;-45.120503652039325
1739209912.3477097;-45.120503652039325
1739209912.3477118;-38.13080360867914
1739209912.3477137;-38.13080360867914
1739209912.3477159;-45.120503652039325
1739209912.347718;-33.981070128970906
1739209912.34772;-45.120503652039325
1739209912.347722;-45.120503652039325
1739209912.347724;-45.120503652039325
1739209912.347726;-35.57807855764607
1739209912.3477283;-38.13080360867914
1739209912.3477302;-38.13080360867914
1739209912.3477323;-38.13080360867914
1739209912.3477345;-38.13080360867914
1739209912.3477364;-38.13080360867914
1739209912.3477385;-45.120503652039325
1739209912.3477404;-45.120503652039325
1739209912.3477426;-35.57807855764607
1739209912.3477447;-35.57807855764607
1739209912.3477466;-45.120503652039325
1739209912.3477488;-45.120503652039325
1739209912.347751;-45.120503652039325
1739209912.3477528;-38.13080360867914
1739209912.347755;-38.13080360867914
1739209912.347757;-45.120503652039325
1739209912.347759;-45.120503652039325
1739209912.3477612;-38.13080360867914
1739209912.347763;-35.57807855764607
1739209912.3477652;-45.120503652039325
1739209912.3477674;-45.120503652039325
1739209912.3477693;-38.13080360867914
1739209912.3477714;-31.141103565318915
1739209912.3477736;-33.981070128970906
1739209912.3477755;-38.13080360867914
1739209912.3477776;-45.120503652039325
1739209912.3477798;-45.120503652039325
1739209912.3477817;-45.120503652039325
1739209912.3477838;-45.120503652039325
1739209912.3477857;-45.120503652039325
1739209912.3477879;-45.120503652039325
1739209912.34779;-45.120503652039325
1739209912.347792;-45.120503652039325
1739209912.347794;-45.120503652039325
1739209912.3477962;-45.120503652039325
1739209912.347798;-45.120503652039325
