CAN Message; 0x1a7:0000a732bfaa5287
Timestamp;Amplitude
1739209725.663887;-45.120503652039325
1739209725.6638906;-45.120503652039325
1739209725.6638944;-33.981070128970906
1739209725.6638982;-32.816014438256545
1739209725.663902;-33.981070128970906
1739209725.6639056;-38.13080360867914
1739209725.6639094;-38.13080360867914
1739209725.6639132;-35.57807855764607
1739209725.6639168;-38.13080360867914
1739209725.6639206;-45.120503652039325
1739209725.6639245;-38.13080360867914
1739209725.6639283;-35.57807855764607
1739209725.6639318;-45.120503652039325
1739209725.6639357;-45.120503652039325
1739209725.6639395;-38.13080360867914
1739209725.663943;-38.13080360867914
1739209725.6639469;-38.13080360867914
1739209725.6639507;-45.120503652039325
1739209725.6639545;-45.120503652039325
1739209725.663958;-45.120503652039325
1739209725.663962;-33.981070128970906
1739209725.6639657;-45.120503652039325
1739209725.6639693;-45.120503652039325
1739209725.663973;-45.120503652039325
1739209725.663977;-33.981070128970906
1739209725.6639807;-38.13080360867914
1739209725.6639843;-38.13080360867914
1739209725.663988;-45.120503652039325
1739209725.663992;-32.816014438256545
1739209725.6639955;-38.13080360867914
1739209725.6639993;-45.120503652039325
1739209725.6640031;-45.120503652039325
1739209725.664007;-45.120503652039325
1739209725.6640105;-45.120503652039325
1739209725.6640143;-38.13080360867914
1739209725.6640182;-45.120503652039325
1739209725.6640217;-27.267205301931607
1739209725.6640255;-35.57807855764607
1739209725.6640294;-38.13080360867914
1739209725.6640332;-45.120503652039325
1739209725.6640368;-33.981070128970906
1739209725.6640406;-38.13080360867914
1739209725.6640444;-38.13080360867914
1739209725.664048;-38.13080360867914
1739209725.6640518;-38.13080360867914
1739209725.6640556;-38.13080360867914
1739209725.6640594;-38.13080360867914
1739209725.664063;-45.120503652039325
1739209725.6640668;-38.13080360867914
1739209725.6640706;-32.816014438256545
1739209725.6640744;-45.120503652039325
1739209725.664078;-45.120503652039325
1739209725.6640818;-33.981070128970906
1739209725.6640856;-35.57807855764607
1739209725.6640892;-45.120503652039325
1739209725.664093;-45.120503652039325
1739209725.6640968;-45.120503652039325
1739209725.6641006;-45.120503652039325
1739209725.6641042;-45.120503652039325
1739209725.664108;-45.120503652039325
1739209725.6641119;-38.13080360867914
1739209725.6641154;-38.13080360867914
1739209725.6641192;-38.13080360867914
1739209725.664123;-45.120503652039325
1739209725.6641269;-35.57807855764607
1739209725.6641304;-38.13080360867914
1739209725.6641343;-45.120503652039325
1739209725.664138;-38.13080360867914
1739209725.6641417;-45.120503652039325
1739209725.6641455;-45.120503652039325
1739209725.6641493;-38.13080360867914
1739209725.664153;-45.120503652039325
1739209725.6641567;-38.13080360867914
1739209725.6641605;-32.816014438256545
1739209725.6641643;-38.13080360867914
1739209725.664168;-45.120503652039325
1739209725.6641717;-38.13080360867914
1739209725.6641755;-38.13080360867914
1739209725.6641793;-38.13080360867914
1739209725.664183;-38.13080360867914
1739209725.6641867;-38.13080360867914
1739209725.6641905;-45.120503652039325
1739209725.664194;-38.13080360867914
1739209725.664198;-38.13080360867914
1739209725.6642017;-45.120503652039325
1739209725.6642056;-38.13080360867914
1739209725.6642091;-38.13080360867914
1739209725.664213;-35.57807855764607
1739209725.6642168;-38.13080360867914
1739209725.6642203;-45.120503652039325
1739209725.6642241;-33.981070128970906
1739209725.664228;-35.57807855764607
1739209725.6642318;-38.13080360867914
1739209725.6642354;-32.816014438256545
1739209725.6642392;-35.57807855764607
1739209725.664243;-35.57807855764607
1739209725.6642466;-45.120503652039325
1739209725.6642504;-45.120503652039325
1739209725.6642542;-35.57807855764607
1739209725.664258;-35.57807855764607
1739209725.6642616;-38.13080360867914
1739209725.6642654;-45.120503652039325
1739209725.6642692;-45.120503652039325
1739209725.6642728;-38.13080360867914
1739209725.6642766;-38.13080360867914
1739209725.6642804;-38.13080360867914
1739209725.6642842;-38.13080360867914
1739209725.6642878;-32.816014438256545
1739209725.6642916;-38.13080360867914
1739209725.6642954;-33.981070128970906
1739209725.664299;-38.13080360867914
1739209725.6643028;-38.13080360867914
1739209725.6643066;-38.13080360867914
1739209725.6643105;-45.120503652039325
1739209725.664314;-38.13080360867914
1739209725.6643178;-38.13080360867914
1739209725.6643217;-38.13080360867914
1739209725.6643252;-38.13080360867914
1739209725.664329;-38.13080360867914
1739209725.6643329;-35.57807855764607
1739209725.6643367;-38.13080360867914
1739209725.6643403;-45.120503652039325
1739209725.664344;-45.120503652039325
1739209725.664348;-38.13080360867914
1739209725.6643515;-45.120503652039325
1739209725.6643553;-45.120503652039325
1739209725.664359;-35.57807855764607
1739209725.664363;-35.57807855764607
1739209725.6643665;-38.13080360867914
1739209725.6643703;-32.816014438256545
1739209725.664374;-38.13080360867914
1739209725.6643777;-38.13080360867914
1739209725.6643815;-38.13080360867914
1739209725.6643853;-38.13080360867914
1739209725.6643891;-45.120503652039325
1739209725.6643927;-45.120503652039325
1739209725.6643965;-38.13080360867914
1739209725.6644003;-45.120503652039325
1739209725.664404;-45.120503652039325
1739209725.6644077;-45.120503652039325
1739209725.6644115;-38.13080360867914
1739209725.6644154;-45.120503652039325
1739209725.664419;-45.120503652039325
1739209725.6644228;-38.13080360867914
1739209725.6644266;-38.13080360867914
1739209725.6644304;-31.141103565318915
1739209725.664434;-38.13080360867914
1739209725.6644378;-45.120503652039325
1739209725.6644416;-33.981070128970906
1739209725.6644452;-31.141103565318915
1739209725.664449;-31.141103565318915
1739209725.6644528;-38.13080360867914
1739209725.6644566;-38.13080360867914
1739209725.6644602;-45.120503652039325
1739209725.664464;-38.13080360867914
1739209725.6644678;-45.120503652039325
1739209725.6644714;-38.13080360867914
1739209725.6644752;-33.981070128970906
