CAN Message; 0x1a7:0000f638e3143582
Timestamp;Amplitude
1739209879.2805567;-45.120503652039325
1739209879.2805645;-45.120503652039325
1739209879.2805722;-38.13080360867914
1739209879.28058;-38.13080360867914
1739209879.280588;-45.120503652039325
1739209879.2805958;-33.981070128970906
1739209879.2806036;-45.120503652039325
1739209879.2806113;-45.120503652039325
1739209879.2806191;-38.13080360867914
1739209879.280627;-35.57807855764607
1739209879.2806349;-38.13080360867914
1739209879.2806427;-38.13080360867914
1739209879.2806504;-33.981070128970906
1739209879.2806582;-45.120503652039325
1739209879.280666;-45.120503652039325
1739209879.280674;-38.13080360867914
1739209879.2806818;-35.57807855764607
1739209879.2806895;-38.13080360867914
1739209879.2806973;-45.120503652039325
1739209879.2807052;-45.120503652039325
1739209879.280713;-35.57807855764607
1739209879.280721;-38.13080360867914
1739209879.2807286;-45.120503652039325
1739209879.2807364;-45.120503652039325
1739209879.2807443;-45.120503652039325
1739209879.2807522;-45.120503652039325
1739209879.28076;-38.13080360867914
1739209879.2807677;-38.13080360867914
1739209879.2807755;-45.120503652039325
1739209879.2807834;-38.13080360867914
1739209879.2807913;-33.981070128970906
1739209879.2807992;-45.120503652039325
1739209879.2808068;-45.120503652039325
1739209879.2808146;-38.13080360867914
1739209879.2808225;-38.13080360867914
1739209879.2808304;-45.120503652039325
1739209879.2808383;-35.57807855764607
1739209879.2808459;-45.120503652039325
1739209879.2808537;-45.120503652039325
1739209879.2808616;-33.981070128970906
1739209879.2808695;-35.57807855764607
1739209879.2808774;-38.13080360867914
1739209879.280885;-45.120503652039325
1739209879.2808928;-38.13080360867914
1739209879.2809007;-38.13080360867914
1739209879.2809086;-32.816014438256545
1739209879.2809165;-32.816014438256545
1739209879.280924;-38.13080360867914
1739209879.280932;-38.13080360867914
1739209879.2809398;-38.13080360867914
1739209879.2809477;-32.816014438256545
1739209879.2809556;-35.57807855764607
1739209879.2809632;-32.816014438256545
1739209879.280971;-45.120503652039325
1739209879.280979;-38.13080360867914
1739209879.2809868;-35.57807855764607
1739209879.2809947;-35.57807855764607
1739209879.2810023;-45.120503652039325
1739209879.2810102;-38.13080360867914
1739209879.281018;-38.13080360867914
1739209879.281026;-38.13080360867914
1739209879.2810338;-38.13080360867914
1739209879.2810414;-35.57807855764607
1739209879.2810493;-35.57807855764607
1739209879.2810571;-35.57807855764607
1739209879.281065;-33.981070128970906
1739209879.2810729;-38.13080360867914
1739209879.2810805;-45.120503652039325
1739209879.2810884;-38.13080360867914
1739209879.2810962;-38.13080360867914
1739209879.281104;-45.120503652039325
1739209879.281112;-38.13080360867914
1739209879.2811196;-35.57807855764607
1739209879.2811275;-33.981070128970906
1739209879.2811353;-45.120503652039325
1739209879.2811432;-38.13080360867914
1739209879.281151;-32.816014438256545
1739209879.2811587;-45.120503652039325
1739209879.2811666;-38.13080360867914
1739209879.2811744;-38.13080360867914
1739209879.2811823;-38.13080360867914
1739209879.2811902;-35.57807855764607
1739209879.2811978;-35.57807855764607
1739209879.2812057;-33.981070128970906
1739209879.2812135;-45.120503652039325
1739209879.2812214;-38.13080360867914
1739209879.2812293;-26.991370085610736
1739209879.281237;-38.13080360867914
1739209879.2812448;-45.120503652039325
1739209879.2812526;-38.13080360867914
1739209879.2812605;-38.13080360867914
1739209879.2812684;-38.13080360867914
1739209879.281276;-38.13080360867914
1739209879.2812839;-45.120503652039325
1739209879.2812917;-35.57807855764607
1739209879.2812996;-45.120503652039325
1739209879.2813075;-45.120503652039325
1739209879.281315;-38.13080360867914
1739209879.281323;-45.120503652039325
1739209879.2813308;-33.981070128970906
1739209879.2813387;-33.981070128970906
1739209879.2813466;-45.120503652039325
1739209879.2813542;-35.57807855764607
1739209879.281362;-45.120503652039325
1739209879.28137;-45.120503652039325
1739209879.2813778;-45.120503652039325
1739209879.2813857;-45.120503652039325
1739209879.2813933;-38.13080360867914
1739209879.2814012;-38.13080360867914
1739209879.281409;-38.13080360867914
1739209879.281417;-45.120503652039325
1739209879.2814248;-45.120503652039325
1739209879.2814324;-45.120503652039325
1739209879.2814403;-45.120503652039325
1739209879.2814481;-45.120503652039325
1739209879.281456;-35.57807855764607
1739209879.2814639;-33.981070128970906
1739209879.2814715;-45.120503652039325
1739209879.2814794;-45.120503652039325
1739209879.2814872;-45.120503652039325
1739209879.281495;-38.13080360867914
1739209879.281503;-38.13080360867914
1739209879.2815106;-45.120503652039325
1739209879.2815185;-38.13080360867914
1739209879.2815263;-35.57807855764607
1739209879.2815342;-45.120503652039325
1739209879.281542;-29.438486411369333
1739209879.28155;-32.816014438256545
1739209879.2815576;-35.57807855764607
1739209879.2815654;-45.120503652039325
1739209879.2815733;-45.120503652039325
1739209879.2815812;-38.13080360867914
1739209879.281589;-35.57807855764607
1739209879.2815967;-33.981070128970906
1739209879.2816045;-38.13080360867914
1739209879.2816124;-38.13080360867914
1739209879.2816203;-38.13080360867914
1739209879.2816281;-38.13080360867914
1739209879.2816358;-38.13080360867914
1739209879.2816436;-33.981070128970906
1739209879.2816515;-45.120503652039325
1739209879.2816594;-45.120503652039325
1739209879.2816672;-30.49652367304973
1739209879.2816749;-33.981070128970906
1739209879.2816827;-45.120503652039325
1739209879.2816906;-38.13080360867914
1739209879.2816985;-45.120503652039325
1739209879.2817063;-45.120503652039325
1739209879.281714;-45.120503652039325
1739209879.2817218;-45.120503652039325
1739209879.2817297;-45.120503652039325
1739209879.2817376;-45.120503652039325
1739209879.2817454;-38.13080360867914
1739209879.281753;-45.120503652039325
1739209879.281761;-38.13080360867914
1739209879.2817688;-35.57807855764607
1739209879.2817767;-32.816014438256545
1739209879.2817845;-38.13080360867914
1739209879.2817922;-45.120503652039325
1739209879.2818;-45.120503652039325
1739209879.281808;-38.13080360867914
1739209879.2818158;-38.13080360867914
1739209879.2818236;-45.120503652039325
1739209879.2818313;-45.120503652039325
1739209879.2818391;-35.57807855764607
1739209879.281847;-35.57807855764607
1739209879.2818549;-33.981070128970906
1739209879.2818627;-32.816014438256545
1739209879.2818704;-38.13080360867914
1739209879.2818782;-45.120503652039325
1739209879.281886;-38.13080360867914
1739209879.281894;-35.57807855764607
1739209879.2819018;-38.13080360867914
1739209879.2819095;-45.120503652039325
1739209879.2819173;-45.120503652039325
1739209879.2819252;-45.120503652039325
