CAN Message; 0x24:0ca3eba5862f150e
Timestamp;Amplitude
1739209842.9610853;-38.13080360867914
1739209842.9611053;-38.13080360867914
1739209842.9611251;-38.13080360867914
1739209842.961145;-45.120503652039325
1739209842.961165;-33.981070128970906
1739209842.9611847;-38.13080360867914
1739209842.9612045;-45.120503652039325
1739209842.9612246;-45.120503652039325
1739209842.9612443;-45.120503652039325
1739209842.9612641;-45.120503652039325
1739209842.9612842;-45.120503652039325
1739209842.961304;-45.120503652039325
1739209842.9613237;-33.981070128970906
1739209842.9613438;-38.13080360867914
1739209842.9613636;-45.120503652039325
1739209842.9613833;-45.120503652039325
1739209842.9614034;-38.13080360867914
1739209842.9614232;-38.13080360867914
1739209842.9614432;-38.13080360867914
1739209842.961463;-32.816014438256545
1739209842.9614828;-31.141103565318915
1739209842.9615028;-38.13080360867914
1739209842.9615226;-38.13080360867914
1739209842.9615424;-45.120503652039325
1739209842.9615624;-38.13080360867914
1739209842.9615822;-38.13080360867914
1739209842.961602;-38.13080360867914
1739209842.961622;-38.13080360867914
1739209842.9616418;-33.981070128970906
1739209842.9616616;-33.981070128970906
1739209842.9616816;-38.13080360867914
1739209842.9617014;-45.120503652039325
1739209842.9617212;-45.120503652039325
1739209842.9617412;-38.13080360867914
1739209842.961761;-38.13080360867914
1739209842.9617808;-45.120503652039325
1739209842.9618008;-45.120503652039325
1739209842.9618206;-38.13080360867914
1739209842.9618404;-38.13080360867914
1739209842.9618604;-45.120503652039325
1739209842.9618802;-38.13080360867914
1739209842.9619;-35.57807855764607
1739209842.96192;-38.13080360867914
1739209842.9619398;-45.120503652039325
1739209842.9619596;-45.120503652039325
1739209842.9619796;-33.981070128970906
1739209842.9619994;-32.816014438256545
1739209842.9620192;-38.13080360867914
1739209842.9620392;-38.13080360867914
1739209842.962059;-38.13080360867914
1739209842.9620788;-33.981070128970906
1739209842.9620988;-38.13080360867914
1739209842.9621186;-31.141103565318915
1739209842.9621387;-28.992665084841942
1739209842.9621584;-31.141103565318915
1739209842.9621782;-38.13080360867914
1739209842.9621983;-38.13080360867914
1739209842.962218;-38.13080360867914
1739209842.9622378;-45.120503652039325
1739209842.9622579;-38.13080360867914
1739209842.9622777;-38.13080360867914
1739209842.9622974;-35.57807855764607
1739209842.9623175;-33.981070128970906
1739209842.9623373;-38.13080360867914
1739209842.962357;-38.13080360867914
1739209842.962377;-38.13080360867914
1739209842.9623969;-38.13080360867914
1739209842.9624166;-35.57807855764607
1739209842.9624367;-35.57807855764607
1739209842.9624565;-33.981070128970906
1739209842.9624763;-45.120503652039325
1739209842.9624963;-35.57807855764607
1739209842.962516;-35.57807855764607
1739209842.9625359;-45.120503652039325
1739209842.962556;-45.120503652039325
1739209842.9625757;-33.981070128970906
1739209842.9625955;-33.981070128970906
1739209842.9626155;-38.13080360867914
1739209842.9626353;-38.13080360867914
1739209842.962655;-35.57807855764607
1739209842.962675;-38.13080360867914
1739209842.962695;-38.13080360867914
1739209842.9627147;-38.13080360867914
1739209842.9627347;-38.13080360867914
1739209842.9627545;-45.120503652039325
1739209842.9627743;-38.13080360867914
1739209842.9627943;-45.120503652039325
1739209842.962814;-45.120503652039325
1739209842.9628341;-45.120503652039325
1739209842.962854;-38.13080360867914
1739209842.9628737;-38.13080360867914
1739209842.9628937;-45.120503652039325
1739209842.9629135;-38.13080360867914
1739209842.9629333;-33.981070128970906
1739209842.9629533;-45.120503652039325
1739209842.962973;-45.120503652039325
1739209842.962993;-38.13080360867914
1739209842.963013;-38.13080360867914
1739209842.9630327;-45.120503652039325
1739209842.9630525;-45.120503652039325
1739209842.9630725;-45.120503652039325
1739209842.9630923;-45.120503652039325
1739209842.963112;-33.981070128970906
1739209842.9631321;-38.13080360867914
1739209842.963152;-45.120503652039325
1739209842.9631717;-38.13080360867914
1739209842.9631917;-32.816014438256545
1739209842.9632115;-45.120503652039325
1739209842.9632313;-45.120503652039325
1739209842.9632514;-30.49652367304973
1739209842.9632711;-38.13080360867914
1739209842.963291;-45.120503652039325
1739209842.963311;-45.120503652039325
1739209842.9633307;-38.13080360867914
1739209842.9633505;-45.120503652039325
1739209842.9633706;-38.13080360867914
