CAN Message; 0x1d3:0000df717cd8fe31
Timestamp;Amplitude
1739209792.965738;-35.57807855764607
1739209792.96574;-38.13080360867914
1739209792.965742;-35.57807855764607
1739209792.965744;-45.120503652039325
1739209792.9657462;-38.13080360867914
1739209792.965748;-38.13080360867914
1739209792.9657502;-38.13080360867914
1739209792.9657521;-45.120503652039325
1739209792.9657543;-35.57807855764607
1739209792.9657562;-38.13080360867914
1739209792.9657583;-45.120503652039325
1739209792.9657602;-38.13080360867914
1739209792.9657624;-38.13080360867914
1739209792.9657643;-38.13080360867914
1739209792.9657664;-33.981070128970906
1739209792.9657683;-45.120503652039325
1739209792.9657705;-38.13080360867914
1739209792.9657724;-45.120503652039325
1739209792.9657745;-38.13080360867914
1739209792.9657764;-38.13080360867914
1739209792.9657786;-45.120503652039325
1739209792.9657805;-32.816014438256545
1739209792.9657826;-38.13080360867914
1739209792.9657845;-38.13080360867914
1739209792.9657867;-35.57807855764607
1739209792.9657886;-30.49652367304973
1739209792.9657907;-38.13080360867914
1739209792.9657927;-45.120503652039325
1739209792.9657948;-38.13080360867914
1739209792.965797;-38.13080360867914
1739209792.9657989;-38.13080360867914
1739209792.965801;-45.120503652039325
1739209792.965803;-45.120503652039325
1739209792.965805;-38.13080360867914
1739209792.965807;-38.13080360867914
1739209792.965809;-38.13080360867914
1739209792.965811;-45.120503652039325
1739209792.9658132;-38.13080360867914
1739209792.965815;-45.120503652039325
1739209792.9658172;-45.120503652039325
1739209792.9658191;-38.13080360867914
1739209792.9658213;-45.120503652039325
1739209792.9658232;-33.981070128970906
1739209792.9658253;-45.120503652039325
1739209792.9658272;-38.13080360867914
1739209792.9658294;-32.816014438256545
1739209792.9658313;-38.13080360867914
1739209792.9658334;-38.13080360867914
1739209792.9658353;-38.13080360867914
1739209792.9658375;-38.13080360867914
1739209792.9658394;-45.120503652039325
1739209792.9658415;-45.120503652039325
1739209792.9658434;-38.13080360867914
1739209792.9658456;-45.120503652039325
1739209792.9658475;-45.120503652039325
1739209792.9658496;-45.120503652039325
1739209792.9658518;-38.13080360867914
1739209792.9658537;-45.120503652039325
1739209792.9658558;-38.13080360867914
1739209792.9658577;-38.13080360867914
1739209792.96586;-45.120503652039325
1739209792.9658618;-45.120503652039325
1739209792.965864;-38.13080360867914
1739209792.9658659;-35.57807855764607
1739209792.965868;-35.57807855764607
1739209792.96587;-38.13080360867914
1739209792.965872;-38.13080360867914
1739209792.965874;-38.13080360867914
1739209792.965876;-35.57807855764607
1739209792.965878;-30.49652367304973
1739209792.9658802;-45.120503652039325
1739209792.965882;-45.120503652039325
1739209792.9658842;-38.13080360867914
1739209792.965886;-38.13080360867914
1739209792.9658883;-45.120503652039325
