CAN Message; 0x1d3:0000a4f64fe51bd8
Timestamp;Amplitude
1739209615.7058833;-45.120503652039325
1739209615.7058926;-38.13080360867914
1739209615.705902;-45.120503652039325
1739209615.7059116;-33.981070128970956
1739209615.7059212;-45.120503652039325
1739209615.7059305;-45.120503652039325
1739209615.70594;-45.120503652039325
1739209615.7059495;-38.13080360867914
1739209615.705959;-38.13080360867914
1739209615.7059684;-38.13080360867914
1739209615.705978;-38.13080360867914
1739209615.7059875;-27.267205301931607
1739209615.705997;-38.13080360867914
1739209615.7060063;-38.13080360867914
1739209615.7060158;-35.57807855764607
1739209615.7060254;-33.981070128970906
1739209615.706035;-45.120503652039325
1739209615.7060442;-45.120503652039325
1739209615.7060537;-38.13080360867914
1739209615.7060633;-38.13080360867914
1739209615.7060728;-45.120503652039325
1739209615.706082;-38.13080360867914
1739209615.7060916;-38.13080360867914
1739209615.7061012;-38.13080360867914
1739209615.7061107;-38.13080360867914
1739209615.70612;-38.13080360867914
1739209615.7061296;-38.13080360867914
1739209615.706139;-35.57807855764607
1739209615.7061486;-35.57807855764607
1739209615.706158;-38.13080360867914
1739209615.7061675;-38.13080360867914
1739209615.706177;-45.120503652039325
1739209615.7061865;-45.120503652039325
1739209615.7061958;-33.981070128970906
1739209615.7062054;-38.13080360867914
1739209615.706215;-45.120503652039325
1739209615.7062244;-45.120503652039325
1739209615.7062337;-38.13080360867914
1739209615.7062433;-38.13080360867914
1739209615.7062528;-38.13080360867914
1739209615.7062624;-45.120503652039325
1739209615.7062716;-38.13080360867914
1739209615.7062812;-31.141103565318893
1739209615.7062907;-45.120503652039325
1739209615.7063003;-45.120503652039325
1739209615.7063096;-35.57807855764607
1739209615.706319;-38.13080360867914
1739209615.7063286;-45.120503652039325
1739209615.7063382;-45.120503652039325
1739209615.7063475;-38.13080360867914
1739209615.706357;-38.13080360867914
1739209615.7063665;-35.57807855764607
1739209615.706376;-35.57807855764607
1739209615.7063854;-38.13080360867914
1739209615.706395;-38.13080360867914
1739209615.7064044;-38.13080360867914
1739209615.706414;-45.120503652039325
1739209615.7064233;-45.120503652039325
1739209615.7064328;-38.13080360867914
1739209615.7064424;-45.120503652039325
1739209615.706452;-45.120503652039325
1739209615.7064612;-35.57807855764607
1739209615.7064707;-38.13080360867914
1739209615.7064803;-45.120503652039325
1739209615.7064898;-38.13080360867914
1739209615.706499;-38.13080360867914
1739209615.7065086;-35.57807855764607
1739209615.7065182;-45.120503652039325
1739209615.7065277;-38.13080360867914
1739209615.706537;-35.57807855764607
1739209615.7065465;-35.57807855764607
1739209615.706556;-45.120503652039325
1739209615.7065656;-45.120503652039325
1739209615.706575;-32.816014438256545
1739209615.7065845;-38.13080360867914
1739209615.706594;-38.13080360867914
1739209615.7066035;-38.13080360867914
1739209615.7066128;-45.120503652039325
1739209615.7066224;-45.120503652039325
1739209615.706632;-45.120503652039325
1739209615.7066414;-38.13080360867914
1739209615.7066507;-38.13080360867914
1739209615.7066603;-38.13080360867914
1739209615.7066698;-45.120503652039325
1739209615.7066793;-33.981070128970906
1739209615.7066886;-38.13080360867914
1739209615.7066982;-38.13080360867914
1739209615.7067077;-45.120503652039325
1739209615.7067173;-38.13080360867914
1739209615.7067266;-38.13080360867914
1739209615.706736;-45.120503652039325
1739209615.7067456;-45.120503652039325
1739209615.7067552;-45.120503652039325
1739209615.7067645;-38.13080360867914
1739209615.706774;-38.13080360867914
1739209615.7067835;-45.120503652039325
1739209615.706793;-45.120503652039325
1739209615.7068024;-38.13080360867914
1739209615.706812;-32.816014438256545
1739209615.7068214;-45.120503652039325
1739209615.706831;-38.13080360867914
1739209615.7068403;-38.13080360867914
1739209615.7068498;-38.13080360867914
1739209615.7068594;-38.13080360867914
1739209615.706869;-35.57807855764607
1739209615.7068782;-33.981070128970906
1739209615.7068877;-35.57807855764607
1739209615.7068973;-45.120503652039325
1739209615.7069068;-31.141103565318915
1739209615.706916;-33.981070128970906
1739209615.7069256;-35.57807855764607
1739209615.7069352;-45.120503652039325
1739209615.7069447;-38.13080360867914
1739209615.706954;-35.57807855764607
1739209615.7069635;-38.13080360867914
1739209615.706973;-38.13080360867914
1739209615.7069826;-29.438486411369354
1739209615.706992;-31.141103565318915
1739209615.7070014;-38.13080360867914
1739209615.707011;-38.13080360867914
1739209615.7070205;-38.13080360867914
1739209615.7070298;-33.981070128970906
1739209615.7070394;-35.57807855764607
1739209615.707049;-45.120503652039325
1739209615.7070584;-33.981070128970906
1739209615.7070677;-38.13080360867914
1739209615.7070773;-38.13080360867914
1739209615.7070868;-45.120503652039325
1739209615.707096;-38.13080360867914
1739209615.7071056;-35.57807855764607
1739209615.7071152;-38.13080360867914
1739209615.7071247;-45.120503652039325
1739209615.707134;-38.13080360867914
1739209615.7071435;-38.13080360867914
1739209615.707153;-38.13080360867914
1739209615.7071626;-38.13080360867914
1739209615.707172;-45.120503652039325
1739209615.7071815;-38.13080360867914
1739209615.707191;-45.120503652039325
1739209615.7072005;-38.13080360867914
1739209615.7072098;-33.981070128970906
1739209615.7072194;-31.141103565318915
1739209615.707229;-38.13080360867914
1739209615.7072384;-45.120503652039325
1739209615.7072477;-38.13080360867914
1739209615.7072573;-38.13080360867914
1739209615.7072668;-38.13080360867914
1739209615.7072763;-38.13080360867914
1739209615.7072856;-33.981070128970906
1739209615.7072952;-30.49652367304973
1739209615.7073047;-45.120503652039325
1739209615.7073143;-45.120503652039325
1739209615.7073236;-45.120503652039325
1739209615.707333;-38.13080360867914
1739209615.7073426;-35.57807855764607
1739209615.7073522;-38.13080360867914
1739209615.7073615;-38.13080360867914
1739209615.707371;-33.981070128970906
1739209615.7073805;-45.120503652039325
1739209615.70739;-38.13080360867914
1739209615.7073994;-45.120503652039325
1739209615.707409;-38.13080360867914
1739209615.7074184;-35.57807855764607
1739209615.707428;-38.13080360867914
1739209615.7074373;-35.57807855764607
1739209615.7074468;-38.13080360867914
1739209615.7074564;-38.13080360867914
1739209615.707466;-38.13080360867914
1739209615.7074752;-38.13080360867914
1739209615.7074847;-38.13080360867914
1739209615.7074943;-38.13080360867914
1739209615.7075038;-38.13080360867914
1739209615.707513;-45.120503652039325
