CAN Message; 0x150:02002a2445ba538b
Timestamp;Amplitude
1739209856.1328783;-38.13080360867914
1739209856.1328802;-38.13080360867914
1739209856.1328819;-45.120503652039325
1739209856.1328835;-45.120503652039325
1739209856.1328855;-45.120503652039325
1739209856.1328871;-38.13080360867914
1739209856.1328888;-35.57807855764607
1739209856.1328907;-33.981070128970906
1739209856.1328924;-38.13080360867914
1739209856.132894;-33.981070128970906
1739209856.132896;-45.120503652039325
1739209856.1328976;-45.120503652039325
1739209856.1328993;-32.816014438256545
1739209856.1329012;-45.120503652039325
1739209856.1329029;-45.120503652039325
1739209856.1329048;-33.981070128970906
1739209856.1329064;-45.120503652039325
1739209856.132908;-45.120503652039325
1739209856.13291;-45.120503652039325
1739209856.1329117;-38.13080360867914
1739209856.1329134;-45.120503652039325
1739209856.1329153;-32.816014438256545
1739209856.132917;-27.8777449560314
1739209856.1329186;-45.120503652039325
1739209856.1329205;-45.120503652039325
1739209856.1329222;-38.13080360867914
1739209856.1329238;-31.141103565318893
1739209856.1329257;-38.13080360867914
1739209856.1329274;-38.13080360867914
1739209856.132929;-38.13080360867914
1739209856.132931;-45.120503652039325
1739209856.1329327;-38.13080360867914
1739209856.1329343;-45.120503652039325
1739209856.1329362;-38.13080360867914
1739209856.132938;-45.120503652039325
1739209856.1329396;-45.120503652039325
1739209856.1329415;-45.120503652039325
1739209856.1329432;-38.13080360867914
1739209856.1329448;-45.120503652039325
1739209856.1329467;-45.120503652039325
1739209856.1329484;-45.120503652039325
1739209856.1329503;-35.57807855764607
1739209856.132952;-38.13080360867914
1739209856.1329536;-38.13080360867914
1739209856.1329556;-38.13080360867914
1739209856.1329572;-33.981070128970906
1739209856.132959;-32.816014438256545
1739209856.1329608;-45.120503652039325
1739209856.1329625;-35.57807855764607
1739209856.1329641;-38.13080360867914
1739209856.132966;-45.120503652039325
1739209856.1329677;-45.120503652039325
1739209856.1329694;-35.57807855764607
1739209856.1329713;-45.120503652039325
1739209856.132973;-38.13080360867914
1739209856.1329746;-38.13080360867914
1739209856.1329765;-45.120503652039325
1739209856.1329782;-45.120503652039325
1739209856.1329799;-45.120503652039325
1739209856.1329818;-38.13080360867914
1739209856.1329834;-45.120503652039325
1739209856.132985;-35.57807855764607
1739209856.132987;-29.438486411369333
1739209856.1329887;-38.13080360867914
1739209856.1329904;-35.57807855764607
1739209856.1329923;-38.13080360867914
1739209856.132994;-45.120503652039325
1739209856.1329958;-45.120503652039325
1739209856.1329975;-31.141103565318893
1739209856.1329992;-38.13080360867914
1739209856.133001;-45.120503652039325
1739209856.1330028;-45.120503652039325
1739209856.1330044;-38.13080360867914
1739209856.1330063;-45.120503652039325
1739209856.133008;-45.120503652039325
1739209856.1330097;-38.13080360867914
1739209856.1330116;-38.13080360867914
1739209856.1330132;-45.120503652039325
1739209856.133015;-45.120503652039325
1739209856.1330168;-45.120503652039325
1739209856.1330185;-45.120503652039325
1739209856.1330202;-45.120503652039325
1739209856.133022;-45.120503652039325
1739209856.1330237;-33.981070128970906
1739209856.1330254;-38.13080360867914
1739209856.1330273;-38.13080360867914
1739209856.133029;-26.991370085610736
1739209856.1330307;-35.57807855764607
1739209856.1330326;-45.120503652039325
1739209856.1330342;-33.981070128970906
1739209856.133036;-38.13080360867914
1739209856.1330378;-38.13080360867914
1739209856.1330395;-45.120503652039325
1739209856.1330411;-38.13080360867914
1739209856.133043;-45.120503652039325
1739209856.1330447;-45.120503652039325
1739209856.1330466;-38.13080360867914
1739209856.1330483;-45.120503652039325
1739209856.13305;-38.13080360867914
1739209856.1330519;-38.13080360867914
1739209856.1330535;-35.57807855764607
1739209856.1330552;-38.13080360867914
1739209856.133057;-45.120503652039325
1739209856.1330588;-38.13080360867914
1739209856.1330605;-38.13080360867914
1739209856.1330624;-38.13080360867914
1739209856.133064;-45.120503652039325
1739209856.1330657;-38.13080360867914
1739209856.1330676;-45.120503652039325
1739209856.1330693;-45.120503652039325
1739209856.133071;-35.57807855764607
1739209856.1330729;-35.57807855764607
1739209856.1330745;-45.120503652039325
1739209856.1330762;-45.120503652039325
1739209856.133078;-35.57807855764607
1739209856.1330798;-38.13080360867914
1739209856.1330814;-45.120503652039325
1739209856.1330833;-35.57807855764607
1739209856.133085;-45.120503652039325
1739209856.1330867;-45.120503652039325
1739209856.1330886;-45.120503652039325
1739209856.1330903;-38.13080360867914
1739209856.1330922;-45.120503652039325
1739209856.1330938;-45.120503652039325
1739209856.1330955;-35.57807855764607
1739209856.1330974;-38.13080360867914
1739209856.133099;-38.13080360867914
1739209856.1331007;-38.13080360867914
1739209856.1331027;-32.816014438256545
1739209856.1331043;-38.13080360867914
1739209856.133106;-45.120503652039325
1739209856.133108;-38.13080360867914
1739209856.1331096;-35.57807855764607
1739209856.1331112;-45.120503652039325
1739209856.1331131;-45.120503652039325
1739209856.1331148;-38.13080360867914
1739209856.1331165;-45.120503652039325
1739209856.1331184;-45.120503652039325
1739209856.13312;-38.13080360867914
1739209856.1331217;-35.57807855764607
1739209856.1331236;-38.13080360867914
1739209856.1331253;-38.13080360867914
1739209856.133127;-38.13080360867914
1739209856.133129;-33.981070128970906
1739209856.1331306;-45.120503652039325
1739209856.1331322;-38.13080360867914
1739209856.1331341;-38.13080360867914
1739209856.1331358;-45.120503652039325
1739209856.1331377;-45.120503652039325
1739209856.1331394;-45.120503652039325
1739209856.133141;-38.13080360867914
1739209856.133143;-33.981070128970906
1739209856.1331446;-38.13080360867914
1739209856.1331463;-45.120503652039325
1739209856.1331482;-45.120503652039325
1739209856.1331499;-33.981070128970906
1739209856.1331515;-38.13080360867914
1739209856.1331534;-38.13080360867914
