CAN Message; 0x62:08a38450dbba2495
Timestamp;Amplitude
1739209616.0712137;-33.981070128970906
1739209616.0712214;-45.120503652039325
1739209616.0712292;-35.57807855764607
1739209616.0712368;-35.57807855764607
1739209616.0712445;-45.120503652039325
1739209616.071252;-38.13080360867914
1739209616.07126;-38.13080360867914
1739209616.0712676;-33.981070128970906
1739209616.0712752;-45.120503652039325
1739209616.0712829;-38.13080360867914
1739209616.0712907;-45.120503652039325
1739209616.0712984;-45.120503652039325
1739209616.071306;-33.981070128970906
1739209616.0713136;-38.13080360867914
1739209616.0713212;-45.120503652039325
1739209616.071329;-38.13080360867914
1739209616.0713367;-35.57807855764607
1739209616.0713444;-45.120503652039325
1739209616.071352;-38.13080360867914
1739209616.0713599;-32.816014438256545
1739209616.0713675;-38.13080360867914
1739209616.0713751;-35.57807855764607
1739209616.0713828;-38.13080360867914
1739209616.0713906;-45.120503652039325
1739209616.0713983;-45.120503652039325
1739209616.071406;-45.120503652039325
1739209616.0714135;-45.120503652039325
1739209616.0714211;-45.120503652039325
1739209616.071429;-45.120503652039325
1739209616.0714366;-45.120503652039325
1739209616.0714443;-38.13080360867914
1739209616.071452;-35.57807855764607
1739209616.0714598;-38.13080360867914
1739209616.0714674;-38.13080360867914
1739209616.071475;-38.13080360867914
1739209616.0714827;-35.57807855764607
1739209616.0714903;-38.13080360867914
1739209616.0714982;-45.120503652039325
1739209616.0715058;-38.13080360867914
1739209616.0715134;-38.13080360867914
1739209616.071521;-38.13080360867914
1739209616.071529;-45.120503652039325
1739209616.0715365;-38.13080360867914
1739209616.0715442;-32.816014438256545
1739209616.0715518;-45.120503652039325
1739209616.0715597;-45.120503652039325
1739209616.0715673;-45.120503652039325
1739209616.071575;-35.57807855764607
1739209616.0715826;-45.120503652039325
1739209616.0715902;-45.120503652039325
1739209616.071598;-38.13080360867914
1739209616.0716057;-33.981070128970906
1739209616.0716133;-33.981070128970906
1739209616.071621;-45.120503652039325
1739209616.0716288;-38.13080360867914
1739209616.0716364;-45.120503652039325
1739209616.071644;-33.981070128970906
1739209616.0716517;-45.120503652039325
1739209616.0716596;-38.13080360867914
1739209616.0716672;-45.120503652039325
1739209616.0716748;-38.13080360867914
1739209616.0716825;-45.120503652039325
1739209616.07169;-38.13080360867914
1739209616.071698;-35.57807855764607
1739209616.0717056;-38.13080360867914
1739209616.0717132;-45.120503652039325
1739209616.0717208;-45.120503652039325
1739209616.0717287;-38.13080360867914
1739209616.0717363;-33.981070128970906
1739209616.071744;-38.13080360867914
1739209616.0717516;-35.57807855764607
1739209616.0717595;-35.57807855764607
1739209616.071767;-38.13080360867914
1739209616.0717747;-45.120503652039325
1739209616.0717824;-45.120503652039325
1739209616.07179;-35.57807855764607
1739209616.0717978;-38.13080360867914
1739209616.0718055;-45.120503652039325
1739209616.071813;-33.981070128970906
1739209616.0718207;-32.816014438256545
1739209616.0718286;-45.120503652039325
1739209616.0718362;-45.120503652039325
1739209616.0718439;-38.13080360867914
1739209616.0718515;-45.120503652039325
1739209616.0718594;-33.981070128970906
1739209616.071867;-45.120503652039325
1739209616.0718746;-33.981070128970906
1739209616.0718822;-35.57807855764607
1739209616.0718899;-38.13080360867914
1739209616.0718977;-45.120503652039325
1739209616.0719054;-45.120503652039325
1739209616.071913;-38.13080360867914
1739209616.0719206;-38.13080360867914
1739209616.0719285;-45.120503652039325
1739209616.0719361;-38.13080360867914
1739209616.0719438;-35.57807855764607
1739209616.0719514;-38.13080360867914
1739209616.071959;-45.120503652039325
1739209616.071967;-38.13080360867914
1739209616.0719745;-45.120503652039325
1739209616.0719821;-38.13080360867914
1739209616.0719898;-45.120503652039325
1739209616.0719976;-38.13080360867914
1739209616.0720053;-33.981070128970906
1739209616.072013;-31.141103565318915
1739209616.0720205;-45.120503652039325
1739209616.0720284;-45.120503652039325
1739209616.072036;-38.13080360867914
1739209616.0720437;-38.13080360867914
1739209616.0720513;-38.13080360867914
1739209616.072059;-45.120503652039325
1739209616.0720668;-45.120503652039325
1739209616.0720744;-38.13080360867914
1739209616.072082;-45.120503652039325
1739209616.0720897;-38.13080360867914
1739209616.0720975;-38.13080360867914
1739209616.0721052;-31.141103565318915
1739209616.0721128;-45.120503652039325
1739209616.0721204;-45.120503652039325
1739209616.0721283;-45.120503652039325
1739209616.072136;-38.13080360867914
1739209616.0721436;-45.120503652039325
1739209616.0721512;-45.120503652039325
1739209616.0721588;-32.816014438256545
1739209616.0721667;-29.438486411369354
1739209616.0721743;-45.120503652039325
1739209616.072182;-38.13080360867914
1739209616.0721896;-45.120503652039325
1739209616.0721974;-45.120503652039325
1739209616.072205;-45.120503652039325
1739209616.0722127;-38.13080360867914
1739209616.0722203;-38.13080360867914
1739209616.0722282;-28.992665084841942
1739209616.0722358;-31.141103565318915
1739209616.0722435;-38.13080360867914
1739209616.072251;-35.57807855764607
1739209616.0722587;-38.13080360867914
1739209616.0722666;-45.120503652039325
1739209616.0722742;-45.120503652039325
1739209616.0722818;-32.816014438256545
1739209616.0722895;-32.81601443825658
1739209616.0722973;-38.13080360867914
1739209616.072305;-38.13080360867914
1739209616.0723126;-45.120503652039325
1739209616.0723202;-45.120503652039325
1739209616.072328;-45.120503652039325
1739209616.0723357;-45.120503652039325
1739209616.0723433;-45.120503652039325
1739209616.072351;-30.49652367304973
1739209616.0723586;-31.141103565318915
1739209616.0723665;-45.120503652039325
1739209616.072374;-45.120503652039325
1739209616.0723817;-33.981070128970906
1739209616.0723894;-38.13080360867914
1739209616.0723972;-45.120503652039325
1739209616.0724049;-45.120503652039325
1739209616.0724125;-45.120503652039325
1739209616.0724201;-45.120503652039325
1739209616.0724277;-45.120503652039325
1739209616.0724356;-45.120503652039325
1739209616.0724432;-45.120503652039325
1739209616.0724509;-45.120503652039325
1739209616.0724585;-38.13080360867914
1739209616.0724664;-45.120503652039325
1739209616.072474;-33.981070128970906
1739209616.0724816;-35.57807855764607
1739209616.0724893;-38.13080360867914
1739209616.0724971;-45.120503652039325
1739209616.0725048;-38.13080360867914
1739209616.0725124;-35.57807855764607
1739209616.07252;-38.13080360867914
1739209616.0725276;-45.120503652039325
1739209616.0725355;-45.120503652039325
1739209616.0725431;-45.120503652039325
1739209616.0725508;-33.981070128970906
1739209616.0725584;-32.816014438256545
1739209616.0725663;-45.120503652039325
1739209616.072574;-38.13080360867914
1739209616.0725815;-38.13080360867914
1739209616.0725892;-35.57807855764607
1739209616.072597;-45.120503652039325
1739209616.0726047;-45.120503652039325
1739209616.0726123;-38.13080360867914
1739209616.07262;-45.120503652039325
1739209616.0726275;-38.13080360867914
1739209616.0726354;-38.13080360867914
1739209616.072643;-38.13080360867914
1739209616.0726507;-45.120503652039325
1739209616.0726583;-32.816014438256545
1739209616.0726662;-25.077289914212862
1739209616.0726738;-38.13080360867914
1739209616.0726814;-45.120503652039325
1739209616.072689;-35.57807855764607
1739209616.072697;-32.816014438256545
1739209616.0727046;-45.120503652039325
1739209616.0727122;-45.120503652039325
1739209616.0727198;-38.13080360867914
1739209616.0727274;-45.120503652039325
1739209616.0727353;-45.120503652039325
1739209616.072743;-45.120503652039325
1739209616.0727506;-45.120503652039325
1739209616.0727582;-45.120503652039325
1739209616.072766;-45.120503652039325
1739209616.0727737;-45.120503652039325
1739209616.0727813;-35.57807855764607
1739209616.072789;-26.991370085610736
1739209616.0727968;-38.13080360867914
1739209616.0728045;-45.120503652039325
1739209616.072812;-38.13080360867914
1739209616.0728197;-38.13080360867914
1739209616.0728273;-45.120503652039325
1739209616.0728352;-38.13080360867914
1739209616.0728428;-45.120503652039325
1739209616.0728505;-33.981070128970956
1739209616.072858;-45.120503652039325
1739209616.072866;-45.120503652039325
1739209616.0728736;-38.13080360867914
1739209616.0728812;-38.13080360867914
1739209616.0728889;-35.57807855764607
1739209616.0728965;-38.13080360867914
1739209616.0729043;-45.120503652039325
1739209616.072912;-27.8777449560314
1739209616.0729196;-38.13080360867914
1739209616.0729272;-45.120503652039325
1739209616.072935;-38.13080360867914
1739209616.0729427;-45.120503652039325
1739209616.0729504;-38.13080360867914
1739209616.072958;-45.120503652039325
