CAN Message; 0x1bb:00006aed26c0874b
Timestamp;Amplitude
1739209639.191955;-35.57807855764607
1739209639.1919556;-33.981070128970906
1739209639.191956;-38.13080360867914
1739209639.1919565;-45.120503652039325
1739209639.191957;-33.981070128970906
1739209639.1919572;-45.120503652039325
1739209639.1919577;-32.816014438256545
1739209639.1919582;-27.8777449560314
1739209639.1919587;-35.57807855764607
1739209639.1919591;-35.57807855764607
1739209639.1919596;-38.13080360867914
1739209639.19196;-35.57807855764607
1739209639.1919606;-45.120503652039325
1739209639.191961;-38.13080360867914
1739209639.1919615;-45.120503652039325
1739209639.1919618;-38.13080360867914
1739209639.1919622;-35.57807855764607
1739209639.1919627;-35.57807855764607
1739209639.1919632;-45.120503652039325
1739209639.1919637;-38.13080360867914
1739209639.1919641;-45.120503652039325
1739209639.1919646;-45.120503652039325
1739209639.191965;-38.13080360867914
1739209639.1919656;-33.981070128970906
1739209639.191966;-38.13080360867914
1739209639.1919665;-38.13080360867914
1739209639.1919668;-45.120503652039325
1739209639.1919672;-38.13080360867914
1739209639.1919677;-38.13080360867914
1739209639.1919682;-38.13080360867914
1739209639.1919687;-45.120503652039325
1739209639.1919692;-45.120503652039325
1739209639.1919696;-33.981070128970906
1739209639.19197;-38.13080360867914
1739209639.1919706;-45.120503652039325
1739209639.191971;-38.13080360867914
1739209639.1919713;-32.816014438256545
1739209639.1919718;-35.57807855764607
1739209639.1919723;-45.120503652039325
1739209639.1919727;-38.13080360867914
1739209639.1919732;-38.13080360867914
1739209639.1919737;-45.120503652039325
1739209639.1919742;-45.120503652039325
1739209639.1919746;-45.120503652039325
1739209639.191975;-38.13080360867914
1739209639.1919756;-38.13080360867914
1739209639.191976;-45.120503652039325
1739209639.1919763;-38.13080360867914
1739209639.1919768;-38.13080360867914
1739209639.1919773;-45.120503652039325
1739209639.1919777;-45.120503652039325
1739209639.1919782;-35.57807855764607
1739209639.1919787;-33.981070128970906
1739209639.1919792;-33.981070128970906
1739209639.1919796;-45.120503652039325
1739209639.1919801;-45.120503652039325
1739209639.1919806;-38.13080360867914
1739209639.191981;-38.13080360867914
1739209639.1919813;-45.120503652039325
1739209639.1919818;-45.120503652039325
1739209639.1919823;-38.13080360867914
1739209639.1919827;-35.57807855764607
1739209639.1919832;-45.120503652039325
1739209639.1919837;-35.57807855764607
1739209639.1919842;-45.120503652039325
1739209639.1919847;-38.13080360867914
1739209639.1919851;-45.120503652039325
1739209639.1919856;-45.120503652039325
1739209639.1919858;-38.13080360867914
1739209639.1919863;-38.13080360867914
1739209639.1919868;-45.120503652039325
1739209639.1919873;-45.120503652039325
1739209639.1919878;-33.981070128970906
1739209639.1919882;-45.120503652039325
1739209639.1919887;-38.13080360867914
1739209639.1919892;-38.13080360867914
1739209639.1919897;-38.13080360867914
1739209639.1919901;-38.13080360867914
1739209639.1919906;-38.13080360867914
1739209639.1919909;-45.120503652039325
1739209639.1919913;-45.120503652039325
1739209639.1919918;-38.13080360867914
1739209639.1919923;-45.120503652039325
1739209639.1919928;-45.120503652039325
1739209639.1919932;-45.120503652039325
1739209639.1919937;-38.13080360867914
1739209639.1919942;-45.120503652039325
1739209639.1919947;-38.13080360867914
1739209639.1919951;-31.141103565318915
1739209639.1919954;-38.13080360867914
1739209639.1919959;-38.13080360867914
1739209639.1919963;-35.57807855764607
1739209639.1919968;-30.49652367304973
1739209639.1919973;-33.981070128970906
1739209639.1919978;-38.13080360867914
1739209639.1919982;-38.13080360867914
