CAN Message; 0x98:00004e637fc900be
Timestamp;Amplitude
1739209836.18388;-33.981070128970906
1739209836.1838882;-31.141103565318915
1739209836.183896;-45.120503652039325
1739209836.1839042;-45.120503652039325
1739209836.183912;-38.13080360867914
1739209836.18392;-35.57807855764607
1739209836.183928;-45.120503652039325
1739209836.1839359;-38.13080360867914
1739209836.1839437;-33.981070128970906
1739209836.1839519;-33.981070128970956
1739209836.1839597;-38.13080360867914
1739209836.1839678;-38.13080360867914
1739209836.1839757;-45.120503652039325
1739209836.1839836;-45.120503652039325
1739209836.1839917;-38.13080360867914
1739209836.1839995;-45.120503652039325
1739209836.1840074;-38.13080360867914
1739209836.1840155;-33.981070128970906
1739209836.1840234;-38.13080360867914
1739209836.1840315;-35.57807855764607
1739209836.1840394;-38.13080360867914
1739209836.1840472;-45.120503652039325
1739209836.1840553;-38.13080360867914
1739209836.1840632;-38.13080360867914
1739209836.184071;-45.120503652039325
1739209836.1840792;-32.816014438256545
1739209836.184087;-38.13080360867914
1739209836.1840951;-35.57807855764607
1739209836.184103;-38.13080360867914
1739209836.1841109;-38.13080360867914
1739209836.184119;-45.120503652039325
1739209836.1841269;-38.13080360867914
1739209836.1841347;-38.13080360867914
1739209836.1841428;-38.13080360867914
1739209836.1841507;-45.120503652039325
1739209836.1841588;-45.120503652039325
1739209836.1841667;-45.120503652039325
1739209836.1841745;-45.120503652039325
1739209836.1841826;-38.13080360867914
1739209836.1841905;-45.120503652039325
1739209836.1841984;-35.57807855764607
1739209836.1842065;-26.991370085610722
1739209836.1842144;-45.120503652039325
1739209836.1842225;-45.120503652039325
1739209836.1842303;-38.13080360867914
1739209836.1842382;-33.981070128970906
1739209836.1842463;-45.120503652039325
1739209836.1842542;-32.816014438256545
1739209836.184262;-45.120503652039325
1739209836.1842701;-31.141103565318943
1739209836.184278;-45.120503652039325
1739209836.184286;-38.13080360867914
1739209836.184294;-45.120503652039325
1739209836.1843019;-38.13080360867914
1739209836.18431;-38.13080360867914
1739209836.1843178;-45.120503652039325
1739209836.1843257;-45.120503652039325
1739209836.1843338;-32.816014438256545
1739209836.1843417;-38.13080360867914
1739209836.1843498;-35.57807855764607
1739209836.1843576;-38.13080360867914
1739209836.1843655;-45.120503652039325
1739209836.1843736;-38.13080360867914
1739209836.1843815;-45.120503652039325
1739209836.1843894;-38.13080360867914
1739209836.1843975;-45.120503652039325
1739209836.1844053;-45.120503652039325
1739209836.1844134;-45.120503652039325
1739209836.1844213;-38.13080360867914
1739209836.1844292;-33.981070128970906
1739209836.1844373;-38.13080360867914
1739209836.1844451;-45.120503652039325
1739209836.184453;-45.120503652039325
1739209836.184461;-45.120503652039325
1739209836.184469;-38.13080360867914
1739209836.184477;-45.120503652039325
1739209836.184485;-45.120503652039325
1739209836.1844928;-45.120503652039325
1739209836.184501;-38.13080360867914
1739209836.1845088;-38.13080360867914
1739209836.1845167;-45.120503652039325
1739209836.1845248;-32.816014438256545
1739209836.1845326;-33.981070128970906
1739209836.1845407;-38.13080360867914
1739209836.1845486;-45.120503652039325
1739209836.1845565;-45.120503652039325
1739209836.1845646;-38.13080360867914
1739209836.1845725;-38.13080360867914
1739209836.1845803;-45.120503652039325
1739209836.1845884;-45.120503652039325
1739209836.1845963;-38.13080360867914
1739209836.1846044;-38.13080360867914
1739209836.1846123;-38.13080360867914
1739209836.1846201;-38.13080360867914
1739209836.1846282;-35.57807855764607
1739209836.184636;-35.57807855764607
