CAN Message; 0x39:0bd625ba7bbda114
Timestamp;Amplitude
1739209589.387256;-38.13080360867914
1739209589.387258;-38.13080360867914
1739209589.3872602;-38.13080360867914
1739209589.387262;-33.981070128970906
1739209589.3872643;-45.120503652039325
1739209589.3872664;-38.13080360867914
1739209589.3872685;-35.57807855764607
1739209589.3872707;-38.13080360867914
1739209589.3872728;-45.120503652039325
1739209589.387275;-45.120503652039325
1739209589.3872771;-38.13080360867914
1739209589.387279;-45.120503652039325
1739209589.3872812;-38.13080360867914
1739209589.3872833;-33.981070128970906
1739209589.3872855;-45.120503652039325
1739209589.3872876;-38.13080360867914
1739209589.3872898;-35.57807855764607
1739209589.387292;-38.13080360867914
1739209589.387294;-38.13080360867914
1739209589.387296;-33.981070128970906
1739209589.387298;-45.120503652039325
1739209589.3873003;-33.981070128970906
1739209589.3873024;-45.120503652039325
1739209589.3873045;-45.120503652039325
1739209589.3873067;-33.981070128970906
1739209589.3873088;-38.13080360867914
1739209589.387311;-38.13080360867914
1739209589.387313;-45.120503652039325
1739209589.387315;-45.120503652039325
1739209589.3873172;-45.120503652039325
1739209589.3873193;-45.120503652039325
1739209589.3873215;-45.120503652039325
1739209589.3873236;-45.120503652039325
1739209589.3873258;-38.13080360867914
1739209589.387328;-45.120503652039325
1739209589.3873298;-38.13080360867914
1739209589.387332;-38.13080360867914
1739209589.387334;-38.13080360867914
1739209589.3873363;-38.13080360867914
1739209589.3873384;-38.13080360867914
1739209589.3873405;-45.120503652039325
1739209589.3873427;-38.13080360867914
1739209589.3873448;-45.120503652039325
1739209589.3873467;-38.13080360867914
1739209589.387349;-38.13080360867914
1739209589.387351;-38.13080360867914
1739209589.3873532;-45.120503652039325
1739209589.3873553;-38.13080360867914
1739209589.3873575;-45.120503652039325
1739209589.3873596;-38.13080360867914
1739209589.3873618;-45.120503652039325
1739209589.3873637;-38.13080360867914
1739209589.3873658;-45.120503652039325
1739209589.387368;-33.981070128970906
1739209589.38737;-31.141103565318915
1739209589.3873723;-38.13080360867914
1739209589.3873744;-45.120503652039325
1739209589.3873765;-45.120503652039325
1739209589.3873787;-38.13080360867914
1739209589.3873806;-38.13080360867914
1739209589.3873827;-45.120503652039325
1739209589.387385;-38.13080360867914
1739209589.387387;-35.57807855764607
1739209589.3873892;-45.120503652039325
1739209589.3873913;-38.13080360867914
1739209589.3873935;-38.13080360867914
1739209589.3873954;-38.13080360867914
1739209589.3873975;-38.13080360867914
1739209589.3873997;-38.13080360867914
1739209589.3874018;-38.13080360867914
1739209589.387404;-31.141103565318915
1739209589.387406;-45.120503652039325
1739209589.3874083;-45.120503652039325
1739209589.3874104;-38.13080360867914
1739209589.3874123;-38.13080360867914
1739209589.3874145;-38.13080360867914
1739209589.3874166;-45.120503652039325
1739209589.3874187;-38.13080360867914
1739209589.387421;-38.13080360867914
