CAN Message; 0x1bb:0000f3cfb592e256
Timestamp;Amplitude
1739209755.065208;-45.120503652039325
1739209755.0652103;-38.13080360867914
1739209755.0652127;-45.120503652039325
1739209755.065215;-45.120503652039325
1739209755.0652177;-38.13080360867914
1739209755.06522;-38.13080360867914
1739209755.0652225;-38.13080360867914
1739209755.065225;-38.13080360867914
1739209755.0652273;-45.120503652039325
1739209755.0652297;-38.13080360867914
1739209755.065232;-35.57807855764607
1739209755.0652344;-38.13080360867914
1739209755.065237;-38.13080360867914
1739209755.0652394;-35.57807855764607
1739209755.0652418;-45.120503652039325
1739209755.0652442;-38.13080360867914
1739209755.0652466;-38.13080360867914
1739209755.065249;-45.120503652039325
1739209755.0652514;-32.816014438256545
1739209755.0652537;-38.13080360867914
1739209755.065256;-38.13080360867914
1739209755.0652587;-38.13080360867914
1739209755.0652611;-35.57807855764607
1739209755.0652635;-33.981070128970906
1739209755.065266;-45.120503652039325
1739209755.0652683;-45.120503652039325
1739209755.0652707;-45.120503652039325
1739209755.065273;-45.120503652039325
1739209755.0652754;-38.13080360867914
1739209755.0652778;-38.13080360867914
1739209755.0652804;-45.120503652039325
1739209755.0652828;-45.120503652039325
1739209755.0652852;-35.57807855764607
1739209755.0652876;-38.13080360867914
1739209755.06529;-35.57807855764607
1739209755.0652924;-33.981070128970906
1739209755.0652947;-35.57807855764607
1739209755.0652971;-38.13080360867914
1739209755.0652997;-45.120503652039325
1739209755.0653021;-38.13080360867914
1739209755.0653045;-35.57807855764607
1739209755.065307;-38.13080360867914
1739209755.0653093;-45.120503652039325
1739209755.0653117;-45.120503652039325
1739209755.065314;-38.13080360867914
1739209755.0653164;-45.120503652039325
1739209755.0653188;-33.981070128970906
1739209755.0653214;-33.981070128970906
1739209755.0653238;-45.120503652039325
1739209755.0653262;-38.13080360867914
1739209755.0653286;-38.13080360867914
1739209755.065331;-33.981070128970906
1739209755.0653334;-45.120503652039325
1739209755.0653358;-45.120503652039325
1739209755.0653381;-45.120503652039325
1739209755.0653408;-38.13080360867914
1739209755.0653431;-45.120503652039325
1739209755.0653455;-38.13080360867914
1739209755.065348;-45.120503652039325
1739209755.0653503;-38.13080360867914
1739209755.0653527;-45.120503652039325
