CAN Message; 0x62:00cd2c226275ce2b
Timestamp;Amplitude
1739209588.1159763;-38.13080360867914
1739209588.1159832;-45.120503652039325
1739209588.1159902;-38.13080360867914
1739209588.1159973;-35.57807855764607
1739209588.1160042;-38.13080360867914
1739209588.1160111;-45.120503652039325
1739209588.116018;-45.120503652039325
1739209588.116025;-45.120503652039325
1739209588.116032;-33.981070128970906
1739209588.1160388;-38.13080360867914
1739209588.116046;-38.13080360867914
1739209588.1160529;-38.13080360867914
1739209588.1160598;-38.13080360867914
1739209588.1160667;-38.13080360867914
1739209588.1160736;-38.13080360867914
1739209588.1160805;-35.57807855764607
1739209588.1160874;-38.13080360867914
1739209588.1160946;-45.120503652039325
1739209588.1161015;-38.13080360867914
1739209588.1161084;-32.816014438256545
1739209588.1161153;-38.13080360867914
1739209588.1161222;-45.120503652039325
1739209588.1161292;-45.120503652039325
1739209588.116136;-38.13080360867914
1739209588.1161432;-35.57807855764607
1739209588.1161501;-45.120503652039325
1739209588.116157;-38.13080360867914
1739209588.116164;-45.120503652039325
1739209588.116171;-45.120503652039325
1739209588.1161778;-38.13080360867914
1739209588.1161847;-35.57807855764607
1739209588.1161919;-38.13080360867914
1739209588.1161988;-38.13080360867914
1739209588.1162057;-32.816014438256545
1739209588.1162126;-38.13080360867914
1739209588.1162195;-33.981070128970906
1739209588.1162264;-38.13080360867914
1739209588.1162333;-45.120503652039325
1739209588.1162403;-45.120503652039325
1739209588.1162474;-38.13080360867914
1739209588.1162543;-35.57807855764607
1739209588.1162612;-45.120503652039325
1739209588.1162682;-35.57807855764607
1739209588.116275;-45.120503652039325
1739209588.116282;-45.120503652039325
1739209588.116289;-45.120503652039325
1739209588.116296;-38.13080360867914
1739209588.116303;-38.13080360867914
1739209588.11631;-45.120503652039325
1739209588.1163168;-33.981070128970906
1739209588.1163237;-45.120503652039325
1739209588.1163306;-38.13080360867914
1739209588.1163375;-35.57807855764607
1739209588.1163447;-35.57807855764607
1739209588.1163516;-45.120503652039325
1739209588.1163585;-45.120503652039325
1739209588.1163654;-38.13080360867914
1739209588.1163723;-38.13080360867914
1739209588.1163793;-38.13080360867914
1739209588.1163862;-38.13080360867914
1739209588.1163933;-45.120503652039325
1739209588.1164002;-45.120503652039325
1739209588.1164072;-38.13080360867914
1739209588.116414;-35.57807855764607
1739209588.116421;-45.120503652039325
1739209588.116428;-45.120503652039325
1739209588.1164348;-45.120503652039325
1739209588.116442;-38.13080360867914
1739209588.1164489;-38.13080360867914
1739209588.1164558;-38.13080360867914
1739209588.1164627;-38.13080360867914
1739209588.1164696;-45.120503652039325
1739209588.1164765;-35.57807855764607
1739209588.1164834;-35.57807855764607
1739209588.1164906;-38.13080360867914
1739209588.1164975;-45.120503652039325
1739209588.1165044;-33.981070128970906
1739209588.1165113;-35.57807855764607
1739209588.1165183;-45.120503652039325
1739209588.1165252;-45.120503652039325
1739209588.116532;-45.120503652039325
1739209588.1165392;-45.120503652039325
1739209588.1165462;-38.13080360867914
1739209588.116553;-38.13080360867914
1739209588.11656;-45.120503652039325
1739209588.116567;-45.120503652039325
1739209588.1165738;-33.981070128970906
1739209588.1165807;-33.981070128970906
1739209588.1165879;-45.120503652039325
1739209588.1165948;-45.120503652039325
1739209588.1166017;-45.120503652039325
1739209588.1166086;-38.13080360867914
1739209588.1166155;-38.13080360867914
1739209588.1166224;-35.57807855764607
1739209588.1166294;-38.13080360867914
1739209588.1166363;-45.120503652039325
