CAN Message; 0x98:00006a17e7328d0c
Timestamp;Amplitude
1739209662.209431;-38.13080360867914
1739209662.2094436;-35.57807855764607
1739209662.209456;-38.13080360867914
1739209662.2094686;-38.13080360867914
1739209662.209481;-38.13080360867914
1739209662.2094936;-45.120503652039325
1739209662.209506;-45.120503652039325
1739209662.2095187;-38.13080360867914
1739209662.209531;-45.120503652039325
1739209662.2095435;-35.57807855764607
1739209662.209556;-38.13080360867914
1739209662.2095685;-45.120503652039325
1739209662.2095811;-45.120503652039325
1739209662.2095935;-35.57807855764607
1739209662.2096062;-38.13080360867914
1739209662.2096186;-45.120503652039325
1739209662.2096312;-38.13080360867914
1739209662.2096436;-45.120503652039325
1739209662.209656;-45.120503652039325
1739209662.2096686;-33.981070128970906
1739209662.209681;-45.120503652039325
1739209662.2096937;-38.13080360867914
1739209662.209706;-38.13080360867914
1739209662.2097187;-45.120503652039325
1739209662.209731;-45.120503652039325
1739209662.2097437;-35.57807855764607
1739209662.2097561;-35.57807855764607
1739209662.2097685;-45.120503652039325
1739209662.2097812;-45.120503652039325
1739209662.2097936;-38.13080360867914
1739209662.2098062;-45.120503652039325
1739209662.2098186;-45.120503652039325
1739209662.2098312;-45.120503652039325
1739209662.2098436;-45.120503652039325
1739209662.209856;-45.120503652039325
1739209662.2098687;-38.13080360867914
1739209662.209881;-38.13080360867914
1739209662.2098937;-35.57807855764607
1739209662.209906;-33.981070128970906
1739209662.2099187;-38.13080360867914
1739209662.2099311;-38.13080360867914
1739209662.2099438;-38.13080360867914
1739209662.2099562;-35.57807855764607
1739209662.2099686;-38.13080360867914
1739209662.2099812;-45.120503652039325
1739209662.2099936;-38.13080360867914
1739209662.2100062;-38.13080360867914
1739209662.2100186;-38.13080360867914
1739209662.2100313;-45.120503652039325
1739209662.2100437;-38.13080360867914
1739209662.2100563;-45.120503652039325
1739209662.2100687;-45.120503652039325
1739209662.210081;-45.120503652039325
1739209662.2100937;-38.13080360867914
1739209662.2101061;-45.120503652039325
1739209662.2101188;-45.120503652039325
1739209662.2101312;-45.120503652039325
1739209662.2101438;-45.120503652039325
1739209662.2101562;-38.13080360867914
1739209662.2101688;-45.120503652039325
1739209662.2101812;-45.120503652039325
1739209662.2101936;-45.120503652039325
1739209662.2102063;-45.120503652039325
1739209662.2102187;-38.13080360867914
1739209662.2102313;-45.120503652039325
1739209662.2102437;-38.13080360867914
1739209662.2102563;-38.13080360867914
1739209662.2102687;-45.120503652039325
1739209662.2102814;-45.120503652039325
1739209662.2102938;-32.816014438256545
1739209662.2103062;-38.13080360867914
1739209662.2103188;-45.120503652039325
1739209662.2103312;-35.57807855764607
1739209662.2103438;-45.120503652039325
1739209662.2103562;-38.13080360867914
1739209662.2103689;-32.816014438256545
1739209662.2103813;-38.13080360867914
1739209662.210394;-45.120503652039325
1739209662.2104063;-45.120503652039325
1739209662.2104187;-32.816014438256545
1739209662.2104313;-38.13080360867914
1739209662.2104437;-38.13080360867914
1739209662.2104564;-38.13080360867914
1739209662.2104688;-38.13080360867914
1739209662.2104814;-35.57807855764607
1739209662.2104938;-38.13080360867914
1739209662.2105062;-35.57807855764607
1739209662.2105188;-33.981070128970906
1739209662.2105312;-33.981070128970906
1739209662.2105439;-45.120503652039325
1739209662.2105563;-38.13080360867914
1739209662.210569;-38.13080360867914
1739209662.2105813;-38.13080360867914
1739209662.210594;-38.13080360867914
1739209662.2106063;-45.120503652039325
1739209662.2106187;-45.120503652039325
1739209662.2106314;-38.13080360867914
1739209662.2106438;-38.13080360867914
1739209662.2106564;-35.57807855764607
1739209662.2106688;-33.981070128970906
1739209662.2106814;-38.13080360867914
1739209662.2106938;-38.13080360867914
1739209662.2107065;-45.120503652039325
1739209662.2107189;-38.13080360867914
1739209662.2107313;-38.13080360867914
1739209662.210744;-45.120503652039325
1739209662.2107563;-45.120503652039325
1739209662.210769;-38.13080360867914
1739209662.2107813;-45.120503652039325
