CAN Message; 0x62:00f6df15e3db0bde
Timestamp;Amplitude
1739209626.4918444;-45.120503652039325
1739209626.4918473;-38.13080360867914
1739209626.4918504;-38.13080360867914
1739209626.4918532;-45.120503652039325
1739209626.491856;-45.120503652039325
1739209626.491859;-45.120503652039325
1739209626.4918618;-38.13080360867914
1739209626.491865;-45.120503652039325
1739209626.4918678;-45.120503652039325
1739209626.4918706;-38.13080360867914
1739209626.4918735;-35.57807855764607
1739209626.4918764;-31.141103565318915
1739209626.4918795;-45.120503652039325
1739209626.4918823;-45.120503652039325
1739209626.4918852;-38.13080360867914
1739209626.491888;-35.57807855764607
1739209626.491891;-38.13080360867914
1739209626.491894;-33.981070128970906
1739209626.4918969;-45.120503652039325
1739209626.4918997;-38.13080360867914
1739209626.4919026;-38.13080360867914
1739209626.4919057;-38.13080360867914
1739209626.4919086;-45.120503652039325
1739209626.4919114;-45.120503652039325
1739209626.4919143;-38.13080360867914
1739209626.4919171;-45.120503652039325
1739209626.4919202;-38.13080360867914
1739209626.491923;-27.267205301931607
1739209626.491926;-45.120503652039325
1739209626.4919288;-45.120503652039325
1739209626.4919317;-45.120503652039325
1739209626.4919348;-38.13080360867914
1739209626.4919376;-38.13080360867914
1739209626.4919405;-45.120503652039325
1739209626.4919434;-45.120503652039325
1739209626.4919462;-35.57807855764607
1739209626.4919493;-38.13080360867914
1739209626.4919522;-38.13080360867914
1739209626.491955;-38.13080360867914
1739209626.491958;-38.13080360867914
1739209626.4919608;-35.57807855764607
1739209626.4919639;-38.13080360867914
1739209626.4919667;-45.120503652039325
1739209626.4919696;-38.13080360867914
1739209626.4919724;-38.13080360867914
1739209626.4919753;-33.981070128970906
1739209626.4919784;-38.13080360867914
1739209626.4919813;-45.120503652039325
1739209626.4919841;-45.120503652039325
1739209626.491987;-45.120503652039325
1739209626.4919899;-45.120503652039325
1739209626.491993;-45.120503652039325
1739209626.4919958;-35.57807855764607
1739209626.4919987;-45.120503652039325
1739209626.4920015;-38.13080360867914
1739209626.4920044;-38.13080360867914
1739209626.4920075;-35.57807855764607
1739209626.4920104;-38.13080360867914
1739209626.4920132;-45.120503652039325
1739209626.492016;-45.120503652039325
1739209626.4920192;-38.13080360867914
1739209626.492022;-38.13080360867914
1739209626.492025;-38.13080360867914
1739209626.4920278;-45.120503652039325
1739209626.4920306;-38.13080360867914
1739209626.4920337;-33.981070128970906
1739209626.4920366;-38.13080360867914
1739209626.4920394;-38.13080360867914
1739209626.4920423;-38.13080360867914
1739209626.4920452;-45.120503652039325
1739209626.4920483;-38.13080360867914
1739209626.4920511;-33.981070128970906
1739209626.492054;-38.13080360867914
1739209626.4920568;-45.120503652039325
1739209626.4920597;-35.57807855764607
1739209626.4920628;-38.13080360867914
1739209626.4920657;-45.120503652039325
1739209626.4920685;-38.13080360867914
1739209626.4920714;-38.13080360867914
1739209626.4920743;-38.13080360867914
1739209626.4920774;-38.13080360867914
1739209626.4920802;-38.13080360867914
1739209626.492083;-38.13080360867914
1739209626.492086;-38.13080360867914
1739209626.4920888;-45.120503652039325
1739209626.492092;-45.120503652039325
1739209626.4920948;-35.57807855764607
1739209626.4920976;-35.57807855764607
1739209626.4921005;-45.120503652039325
1739209626.4921033;-38.13080360867914
1739209626.4921064;-38.13080360867914
1739209626.4921093;-35.57807855764607
1739209626.4921122;-33.981070128970906
1739209626.492115;-45.120503652039325
1739209626.492118;-45.120503652039325
1739209626.492121;-38.13080360867914
1739209626.4921238;-35.57807855764607
1739209626.4921267;-45.120503652039325
1739209626.4921296;-38.13080360867914
1739209626.4921327;-38.13080360867914
1739209626.4921355;-45.120503652039325
1739209626.4921384;-45.120503652039325
1739209626.4921412;-35.57807855764607
1739209626.492144;-35.57807855764607
1739209626.4921472;-45.120503652039325
1739209626.49215;-45.120503652039325
1739209626.492153;-35.57807855764607
1739209626.4921558;-38.13080360867914
1739209626.4921587;-45.120503652039325
1739209626.4921618;-45.120503652039325
1739209626.4921646;-45.120503652039325
1739209626.4921675;-38.13080360867914
1739209626.4921703;-38.13080360867914
1739209626.4921732;-38.13080360867914
1739209626.4921763;-38.13080360867914
1739209626.4921792;-45.120503652039325
1739209626.492182;-33.981070128970906
1739209626.4921849;-45.120503652039325
1739209626.4921877;-45.120503652039325
1739209626.4921908;-45.120503652039325
1739209626.4921937;-38.13080360867914
1739209626.4921966;-38.13080360867914
1739209626.4921994;-45.120503652039325
1739209626.4922023;-45.120503652039325
1739209626.4922054;-38.13080360867914
1739209626.4922082;-38.13080360867914
1739209626.492211;-38.13080360867914
1739209626.492214;-38.13080360867914
1739209626.4922168;-38.13080360867914
1739209626.49222;-38.13080360867914
1739209626.4922228;-45.120503652039325
1739209626.4922256;-38.13080360867914
1739209626.4922285;-26.487275050834715
1739209626.4922314;-35.57807855764607
1739209626.4922345;-45.120503652039325
1739209626.4922373;-45.120503652039325
1739209626.4922402;-30.49652367304973
1739209626.492243;-35.57807855764607
1739209626.4922462;-45.120503652039325
1739209626.492249;-45.120503652039325
1739209626.4922519;-45.120503652039325
1739209626.4922547;-45.120503652039325
1739209626.4922576;-45.120503652039325
1739209626.4922607;-45.120503652039325
1739209626.4922636;-45.120503652039325
1739209626.4922664;-38.13080360867914
1739209626.4922693;-38.13080360867914
1739209626.4922721;-45.120503652039325
1739209626.4922752;-45.120503652039325
1739209626.492278;-45.120503652039325
1739209626.492281;-45.120503652039325
1739209626.4922838;-45.120503652039325
1739209626.4922867;-45.120503652039325
1739209626.4922898;-38.13080360867914
1739209626.4922926;-38.13080360867914
1739209626.4922955;-45.120503652039325
1739209626.4922984;-28.21854285175415
1739209626.4923012;-33.981070128970906
1739209626.4923043;-45.120503652039325
1739209626.4923072;-35.57807855764607
1739209626.49231;-32.816014438256545
1739209626.492313;-33.981070128970906
1739209626.4923158;-38.13080360867914
1739209626.4923189;-38.13080360867914
1739209626.4923217;-38.13080360867914
1739209626.4923246;-45.120503652039325
1739209626.4923275;-35.57807855764607
1739209626.4923303;-45.120503652039325
1739209626.4923334;-45.120503652039325
1739209626.4923363;-38.13080360867914
1739209626.4923391;-45.120503652039325
1739209626.492342;-45.120503652039325
1739209626.4923449;-32.816014438256545
1739209626.492348;-32.816014438256545
1739209626.4923508;-45.120503652039325
1739209626.4923537;-33.981070128970906
1739209626.4923565;-38.13080360867914
1739209626.4923596;-38.13080360867914
1739209626.4923625;-35.57807855764607
1739209626.4923654;-35.57807855764607
1739209626.4923682;-45.120503652039325
1739209626.492371;-45.120503652039325
1739209626.4923742;-38.13080360867914
1739209626.492377;-45.120503652039325
1739209626.49238;-45.120503652039325
1739209626.4923828;-45.120503652039325
1739209626.4923856;-45.120503652039325
1739209626.4923887;-45.120503652039325
1739209626.4923916;-45.120503652039325
1739209626.4923944;-45.120503652039325
1739209626.4923973;-33.981070128970906
1739209626.4924002;-38.13080360867914
1739209626.4924033;-45.120503652039325
1739209626.4924061;-38.13080360867914
1739209626.492409;-35.57807855764607
1739209626.4924119;-33.981070128970906
1739209626.4924147;-38.13080360867914
1739209626.4924178;-38.13080360867914
1739209626.4924207;-35.57807855764607
1739209626.4924235;-38.13080360867914
1739209626.4924264;-38.13080360867914
1739209626.4924293;-32.816014438256545
1739209626.4924324;-38.13080360867914
1739209626.4924352;-33.981070128970906
1739209626.492438;-45.120503652039325
1739209626.492441;-45.120503652039325
1739209626.4924438;-38.13080360867914
1739209626.492447;-45.120503652039325
1739209626.4924498;-45.120503652039325
1739209626.4924526;-45.120503652039325
1739209626.4924555;-38.13080360867914
1739209626.4924583;-38.13080360867914
1739209626.4924614;-38.13080360867914
1739209626.4924643;-38.13080360867914
1739209626.4924672;-38.13080360867914
1739209626.49247;-38.13080360867914
1739209626.4924731;-38.13080360867914
1739209626.492476;-45.120503652039325
1739209626.4924788;-38.13080360867914
1739209626.4924817;-38.13080360867914
1739209626.4924846;-45.120503652039325
1739209626.4924877;-45.120503652039325
1739209626.4924905;-45.120503652039325
1739209626.4924934;-45.120503652039325
1739209626.4924963;-45.120503652039325
