CAN Message; 0x1a7:00001b5c7cf1c2ce
Timestamp;Amplitude
1739209620.162816;-45.120503652039325
1739209620.162835;-45.120503652039325
1739209620.162854;-35.57807855764607
1739209620.162873;-38.13080360867914
1739209620.1628919;-45.120503652039325
1739209620.162911;-45.120503652039325
1739209620.16293;-33.981070128970906
1739209620.1629488;-45.120503652039325
1739209620.162968;-45.120503652039325
1739209620.162987;-38.13080360867914
1739209620.163006;-45.120503652039325
1739209620.163025;-45.120503652039325
1739209620.163044;-45.120503652039325
1739209620.163063;-45.120503652039325
1739209620.163082;-38.13080360867914
1739209620.163101;-31.141103565318915
1739209620.16312;-45.120503652039325
1739209620.1631389;-38.13080360867914
1739209620.163158;-32.816014438256545
1739209620.163177;-35.57807855764607
1739209620.1631958;-38.13080360867914
1739209620.163215;-45.120503652039325
1739209620.163234;-38.13080360867914
1739209620.1632528;-45.120503652039325
1739209620.163272;-38.13080360867914
1739209620.163291;-35.57807855764607
1739209620.1633098;-38.13080360867914
1739209620.163329;-33.981070128970906
1739209620.163348;-45.120503652039325
1739209620.163367;-45.120503652039325
1739209620.1633859;-32.816014438256545
1739209620.163405;-38.13080360867914
1739209620.163424;-45.120503652039325
1739209620.1634429;-38.13080360867914
1739209620.163462;-45.120503652039325
1739209620.163481;-33.981070128970906
1739209620.1634998;-45.120503652039325
1739209620.163519;-45.120503652039325
1739209620.163538;-38.13080360867914
1739209620.1635568;-38.13080360867914
1739209620.163576;-45.120503652039325
1739209620.163595;-38.13080360867914
1739209620.1636138;-45.120503652039325
1739209620.1636329;-45.120503652039325
1739209620.163652;-38.13080360867914
1739209620.1636708;-38.13080360867914
1739209620.1636899;-45.120503652039325
1739209620.163709;-45.120503652039325
1739209620.1637278;-45.120503652039325
1739209620.1637468;-45.120503652039325
1739209620.163766;-38.13080360867914
1739209620.163785;-38.13080360867914
1739209620.1638038;-45.120503652039325
1739209620.163823;-45.120503652039325
1739209620.163842;-45.120503652039325
1739209620.1638608;-45.120503652039325
1739209620.1638799;-38.13080360867914
1739209620.163899;-35.57807855764607
1739209620.1639178;-38.13080360867914
1739209620.1639369;-45.120503652039325
1739209620.163956;-45.120503652039325
1739209620.1639748;-45.120503652039325
1739209620.1639938;-38.13080360867914
1739209620.164013;-38.13080360867914
1739209620.1640317;-45.120503652039325
1739209620.1640508;-38.13080360867914
1739209620.16407;-38.13080360867914
1739209620.1640887;-33.981070128970906
1739209620.1641078;-35.57807855764607
1739209620.1641269;-35.57807855764607
1739209620.164146;-45.120503652039325
1739209620.1641648;-45.120503652039325
1739209620.1641839;-32.816014438256545
1739209620.164203;-35.57807855764607
1739209620.1642218;-45.120503652039325
1739209620.1642408;-38.13080360867914
1739209620.16426;-38.13080360867914
1739209620.1642787;-38.13080360867914
1739209620.1642978;-45.120503652039325
1739209620.164317;-38.13080360867914
1739209620.1643357;-45.120503652039325
1739209620.1643548;-33.981070128970906
1739209620.1643739;-45.120503652039325
1739209620.1643927;-38.13080360867914
1739209620.1644118;-38.13080360867914
1739209620.1644309;-38.13080360867914
1739209620.1644497;-38.13080360867914
1739209620.1644688;-45.120503652039325
1739209620.1644878;-35.57807855764607
1739209620.164507;-38.13080360867914
1739209620.1645257;-45.120503652039325
1739209620.1645448;-38.13080360867914
1739209620.164564;-38.13080360867914
1739209620.1645827;-45.120503652039325
1739209620.1646018;-38.13080360867914
1739209620.1646209;-35.57807855764607
1739209620.1646397;-38.13080360867914
1739209620.1646588;-33.981070128970906
1739209620.1646779;-38.13080360867914
1739209620.1646967;-45.120503652039325
1739209620.1647158;-38.13080360867914
1739209620.1647348;-45.120503652039325
1739209620.1647537;-35.57807855764607
1739209620.1647727;-33.981070128970906
1739209620.1647918;-45.120503652039325
1739209620.1648107;-45.120503652039325
1739209620.1648297;-38.13080360867914
1739209620.1648488;-38.13080360867914
