CAN Message; 0x150:0500a6dc4c692e61
Timestamp;Amplitude
1739209878.048587;-45.120503652039325
1739209878.0485904;-45.120503652039325
1739209878.0485935;-45.120503652039325
1739209878.0485969;-45.120503652039325
1739209878.0486;-38.13080360867914
1739209878.0486033;-32.816014438256545
1739209878.0486064;-45.120503652039325
1739209878.0486097;-45.120503652039325
1739209878.0486128;-45.120503652039325
1739209878.048616;-35.57807855764607
1739209878.0486193;-45.120503652039325
1739209878.0486224;-45.120503652039325
1739209878.0486257;-45.120503652039325
1739209878.0486288;-45.120503652039325
1739209878.0486321;-38.13080360867914
1739209878.0486352;-38.13080360867914
1739209878.0486383;-45.120503652039325
1739209878.0486417;-45.120503652039325
1739209878.0486448;-35.57807855764607
1739209878.048648;-35.57807855764607
1739209878.0486512;-45.120503652039325
1739209878.0486546;-38.13080360867914
1739209878.0486577;-33.981070128970906
1739209878.048661;-32.816014438256545
1739209878.048664;-38.13080360867914
1739209878.0486672;-38.13080360867914
1739209878.0486705;-33.981070128970906
1739209878.0486736;-38.13080360867914
1739209878.048677;-45.120503652039325
1739209878.04868;-45.120503652039325
1739209878.0486834;-45.120503652039325
1739209878.0486865;-45.120503652039325
1739209878.0486896;-33.981070128970906
1739209878.048693;-45.120503652039325
1739209878.048696;-33.981070128970906
1739209878.0486994;-45.120503652039325
1739209878.0487025;-45.120503652039325
1739209878.0487058;-33.981070128970906
1739209878.048709;-38.13080360867914
1739209878.0487123;-45.120503652039325
1739209878.0487154;-38.13080360867914
1739209878.0487185;-38.13080360867914
1739209878.0487218;-38.13080360867914
1739209878.048725;-45.120503652039325
1739209878.0487282;-45.120503652039325
1739209878.0487313;-45.120503652039325
1739209878.0487347;-45.120503652039325
1739209878.0487378;-45.120503652039325
1739209878.0487409;-45.120503652039325
1739209878.0487442;-33.981070128970906
1739209878.0487473;-32.816014438256545
1739209878.0487506;-35.57807855764607
1739209878.0487537;-45.120503652039325
1739209878.048757;-45.120503652039325
1739209878.0487602;-45.120503652039325
1739209878.0487635;-33.981070128970906
1739209878.0487666;-38.13080360867914
1739209878.0487697;-45.120503652039325
1739209878.048773;-45.120503652039325
1739209878.0487761;-45.120503652039325
1739209878.0487795;-45.120503652039325
1739209878.0487826;-38.13080360867914
1739209878.048786;-33.981070128970906
1739209878.048789;-45.120503652039325
1739209878.0487924;-45.120503652039325
1739209878.0487955;-38.13080360867914
1739209878.0487986;-38.13080360867914
1739209878.048802;-45.120503652039325
1739209878.048805;-38.13080360867914
1739209878.0488083;-38.13080360867914
1739209878.0488114;-38.13080360867914
1739209878.0488148;-45.120503652039325
1739209878.0488179;-38.13080360867914
1739209878.048821;-45.120503652039325
1739209878.0488243;-45.120503652039325
1739209878.0488274;-45.120503652039325
1739209878.0488307;-38.13080360867914
1739209878.0488338;-45.120503652039325
1739209878.0488372;-45.120503652039325
1739209878.0488403;-38.13080360867914
1739209878.0488436;-45.120503652039325
1739209878.0488467;-45.120503652039325
1739209878.0488498;-33.981070128970906
1739209878.0488532;-32.816014438256545
1739209878.0488563;-45.120503652039325
1739209878.0488596;-45.120503652039325
1739209878.0488627;-28.992665084841942
1739209878.048866;-35.57807855764607
1739209878.0488691;-45.120503652039325
1739209878.0488722;-38.13080360867914
1739209878.0488756;-38.13080360867914
1739209878.0488787;-38.13080360867914
1739209878.048882;-45.120503652039325
1739209878.048885;-38.13080360867914
1739209878.0488884;-31.14110356531892
1739209878.0488915;-45.120503652039325
1739209878.048895;-45.120503652039325
1739209878.048898;-45.120503652039325
1739209878.048901;-33.981070128970906
1739209878.0489044;-45.120503652039325
1739209878.0489075;-38.13080360867914
1739209878.0489109;-38.13080360867914
1739209878.048914;-45.120503652039325
